trial_id,trial_dir,model,virtual_initial_freq,pi_initial_freq,duration,repeat,seed,trial_seed,random_phase_enabled,virtual_initial_phase_rad,pi_initial_phase_rad,initial_phase_difference_rad,feedback_enabled,model_parameters_json,eapf_g_p,eapf_g_f,eapf_alpha_p,eapf_alpha_f,eapf_delta_theta_max_rad,eapf_delta_f_max_hz,kuramoto_K,virtual_fire_count_start,virtual_fire_count_end,actual_virtual_flashes,pi_detected_virtual_flashes,actual_detection_fcr,nominal_expected_flashes,nominal_fcr,virtual_frequency_start,virtual_frequency_end,pi_final_frequency_hz,final_frequency_error_hz,mean_frequency_error_final_10s,median_frequency_error_final_10s,mean_timing_error_final_10s,median_timing_error_final_10s,time_to_frequency_lock_s,time_to_timing_lock_s,virtual_flash_count,pi_flash_count,flash_count_ratio,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,virtual_freq_final_5s_mean,pi_freq_final_5s_mean,frequency_error_final_5s_mean_abs,frequency_error_final_5s_abs_of_means,virtual_freq_final_5s_std,pi_freq_final_5s_std,loop_rate_hz,timeout_or_failure,error_message,appendix_workflow,appendix_label,locked_k_main_step5b,sensitivity_analysis,phase_seed,phase_seed_index,condition_key,frequency_mismatch_hz,angular_mismatch_rad_s,one_way_Kc_approx,mutual_Kc_approx,api_drop_count,capture_drop_count,short_interval_warning_count,frontend_warning_count,kuramoto_debug_warning_count,failed_or_invalid_trial,theory_note,model_parameters,pi_flash_events_consumed_end,pi_flash_events_consumed_start,pi_flash_posts_received_end,pi_flash_posts_received_start
kuramoto_K2p5_V2_P1p2_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P1p2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""K"": 2.5}",,,,,,,2.5,0,57,57,47,0.8246,60,0.7833,2.0,1.631999,1.244161,0.660007,0.620358,0.591528,0.259179,0.176748,,,47,35,0.614035,34,34,34,1.933514,1.272257,0.661258,0.661258,0.272343,0.260337,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260621,1,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,0,0,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},34,0,34,0
kuramoto_K2p5_V2_P1p2_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P1p2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 2.5}",,,,,,,2.5,0,56,56,52,0.9286,60,0.8667,2.0,1.719895,1.149222,0.688166,0.643703,0.702649,0.15784,0.12596,,,52,35,0.625,35,35,35,1.929844,1.217429,0.712415,0.712415,0.253537,0.242128,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260624,4,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,1,1,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},35,0,35,0
kuramoto_K2p5_V2_P1p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P1p5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 2.5}",,,,,,,2.5,0,54,54,49,0.9074,60,0.8167,2.0,1.642606,1.627748,0.157068,0.250898,0.177402,0.14376,0.138722,,19.670568,49,45,0.833333,45,45,45,1.683399,1.580461,0.222383,0.102938,0.100485,0.246613,29.86,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260622,2,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,4,4,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},45,0,45,0
kuramoto_K2p5_V2_P1p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P1p5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""K"": 2.5}",,,,,,,2.5,0,54,54,52,0.963,60,0.8667,2.0,1.735866,1.542123,0.2482,0.351816,0.363318,0.133784,0.140008,,,52,45,0.833333,45,45,45,1.879998,1.472276,0.408199,0.407723,0.2906,0.269711,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260625,5,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,5,5,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},45,0,45,0
kuramoto_K2p5_V2_P2p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P2p5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""K"": 2.5}",,,,,,,2.5,0,64,64,47,0.7344,60,0.7833,2.0,2.041931,2.138943,0.41673,0.331108,0.182426,0.171514,0.119511,,,47,59,0.921875,59,59,59,1.994461,2.338017,0.396036,0.343557,0.226484,0.27794,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260623,3,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,1,1,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},59,0,59,0
kuramoto_K2p5_V2_P2p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K2p5_V2_P2p5_r02,kuramoto,2.0,2.5,30.0,2,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 2.5}",,,,,,,2.5,0,65,65,46,0.7077,60,0.7667,2.0,2.397307,2.263661,0.497908,0.20929,0.121727,0.218381,0.187754,,,46,64,0.984615,64,64,64,2.233915,2.359841,0.188983,0.125925,0.133295,0.243951,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260626,6,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,0,0,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 2.5},64,0,64,0
kuramoto_K3_V2_P1p2_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P1p2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""K"": 3.0}",,,,,,,3.0,0,52,52,49,0.9423,60,0.8167,2.0,1.769002,1.150297,0.740466,0.540181,0.523292,0.13303,0.135295,,,49,35,0.673077,35,35,35,1.814661,1.237845,0.576815,0.576815,0.332139,0.30448,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260621,1,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,65,65,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},35,0,35,0
kuramoto_K3_V2_P1p2_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P1p2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 3.0}",,,,,,,3.0,0,52,52,50,0.9615,60,0.8333,2.0,1.576233,1.284465,0.511861,0.569675,0.628746,0.139444,0.129785,,,50,36,0.692308,36,36,36,1.731872,1.210353,0.543684,0.521519,0.377717,0.343431,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260624,4,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,59,59,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},36,0,36,0
kuramoto_K3_V2_P1p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P1p5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 3.0}",,,,,,,3.0,0,55,55,51,0.9273,60,0.85,2.0,1.871883,1.786282,0.03186,0.15839,0.08137,0.134428,0.050292,,2.111029,51,49,0.890909,49,49,49,1.864268,1.697187,0.234484,0.167081,0.09601,0.273938,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260622,2,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,30,30,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},49,0,49,0
kuramoto_K3_V2_P1p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P1p5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""K"": 3.0}",,,,,,,3.0,0,55,55,48,0.8727,60,0.8,2.0,1.660305,1.820155,0.007278,0.164033,0.089756,0.123925,0.0508,,4.186199,48,50,0.909091,50,50,50,1.83827,1.684048,0.190865,0.154223,0.213423,0.269941,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260625,5,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,35,35,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},50,0,50,0
