trial_id,model,pi_initial_freq,capture_fps,processing_fps,api_post_latency_mean_ms,api_post_latency_p95_ms,api_ok_ratio,detector_events,on_samples,loop_rate_hz,duplicate_suppressed_count
eapf_consensus_V2_P1.2_r01,eapf_consensus,1.2,20.266666666666666,25.531316994774183,34.50027272727272,109.68959999999998,1.0,55,257,29.99,
eapf_consensus_V2_P1.2_r02,eapf_consensus,1.2,22.2,27.261806920749436,24.891480769230768,87.47379999999994,1.0,55,257,29.98,
eapf_consensus_V2_P1.2_r03,eapf_consensus,1.2,21.833333333333332,25.755462772975463,13.738611111111108,31.166449999999973,1.0,55,256,29.98,
eapf_consensus_V2_P1.5_r01,eapf_consensus,1.5,22.566666666666666,26.613759927138837,13.163603773584907,23.537399999999998,1.0,56,245,29.99,
eapf_consensus_V2_P1.5_r02,eapf_consensus,1.5,22.4,27.10158581783693,20.145074074074074,68.83709999999992,1.0,52,247,29.99,
eapf_consensus_V2_P1.5_r03,eapf_consensus,1.5,23.433333333333334,27.507999819378487,12.022518518518519,22.10059999999998,1.0,56,253,30.0,
eapf_consensus_V2_P2.5_r01,eapf_consensus,2.5,20.8,25.805607434430083,19.602349206349206,53.9905,1.0,58,244,29.99,
eapf_consensus_V2_P2.5_r02,eapf_consensus,2.5,21.7,26.132053818061653,11.578190476190478,19.428699999999996,1.0,58,260,29.99,
eapf_consensus_V2_P2.5_r03,eapf_consensus,2.5,20.633333333333333,25.40914782685082,13.181046153846156,21.6284,1.0,61,248,29.99,
kuramoto_V2_P1.2_r01,kuramoto,1.2,22.866666666666667,26.922403862980346,30.862071428571433,93.5602,1.0,49,312,29.98,
kuramoto_V2_P1.2_r02,kuramoto,1.2,23.533333333333335,26.93506196914608,11.530860465116278,16.0074,1.0,52,336,29.94,
kuramoto_V2_P1.2_r03,kuramoto,1.2,20.866666666666667,25.258310609596013,43.16076086956521,117.00725,1.0,48,284,29.98,
kuramoto_V2_P1.5_r01,kuramoto,1.5,22.166666666666668,26.765539508753744,24.593260000000004,60.63139999999994,1.0,50,275,29.97,
kuramoto_V2_P1.5_r02,kuramoto,1.5,22.2,26.581022028323556,18.57144230769231,49.84124999999993,1.0,53,269,29.98,
kuramoto_V2_P1.5_r03,kuramoto,1.5,21.166666666666668,25.02941448907476,13.195456140350876,24.353599999999965,1.0,57,269,29.97,
kuramoto_V2_P2.5_r01,kuramoto,2.5,21.8,27.414081272187744,27.128774193548388,141.86879999999968,1.0,49,207,29.97,
kuramoto_V2_P2.5_r02,kuramoto,2.5,22.2,26.837729657021068,12.45701515151515,26.00925,1.0,57,207,29.98,
kuramoto_V2_P2.5_r03,kuramoto,2.5,21.733333333333334,27.59930532717812,15.810451612903226,55.69559999999987,1.0,54,172,29.97,
