step,time,drone_0_phase,drone_0_is_firing,drone_0_coupling,drone_0_pos_x,drone_0_pos_y,drone_1_phase,drone_1_is_firing,drone_1_coupling,drone_1_pos_x,drone_1_pos_y,drone_2_phase,drone_2_is_firing,drone_2_coupling,drone_2_pos_x,drone_2_pos_y
0,0.0,4.872111,0,-0.079816,4.3888,8.586,4.393083,0,0.089075,0.9418,9.7562,4.793289,0,-0.009259,7.8606,1.2811
1,0.01,4.881317,0,-0.079391,4.3888,8.586,4.404471,0,0.088746,0.9418,9.7562,4.804196,0,-0.009355,7.8606,1.2811
2,0.02,4.890528,0,-0.078968,4.3888,8.586,4.415855,0,0.088418,0.9418,9.7562,4.815101,0,-0.009451,7.8606,1.2811
3,0.03,4.899742,0,-0.078545,4.3888,8.586,4.427236,0,0.088091,0.9418,9.7562,4.826006,0,-0.009546,7.8606,1.2811
4,0.04,4.908961,0,-0.078123,4.3888,8.586,4.438613,0,0.087764,0.9418,9.7562,4.836909,0,-0.009641,7.8606,1.2811
5,0.05,4.918184,0,-0.077702,4.3888,8.586,4.449988,0,0.087438,0.9418,9.7562,4.847812,0,-0.009736,7.8606,1.2811
6,0.06,4.927411,0,-0.077283,4.3888,8.586,4.461359,0,0.087113,0.9418,9.7562,4.858714,0,-0.00983,7.8606,1.2811
7,0.07,4.936642,0,-0.076864,4.3888,8.586,4.472727,0,0.086789,0.9418,9.7562,4.869614,0,-0.009924,7.8606,1.2811
8,0.08,4.945878,0,-0.076447,4.3888,8.586,4.484092,0,0.086465,0.9418,9.7562,4.880514,0,-0.010018,7.8606,1.2811
9,0.09,4.955118,0,-0.07603,4.3888,8.586,4.495453,0,0.086142,0.9418,9.7562,4.891413,0,-0.010112,7.8606,1.2811
10,0.1,4.964361,0,-0.075615,4.3888,8.586,4.506811,0,0.085821,0.9418,9.7562,4.902311,0,-0.010206,7.8606,1.2811
11,0.11,4.973609,0,-0.075201,4.3888,8.586,4.518166,0,0.0855,0.9418,9.7562,4.913208,0,-0.010299,7.8606,1.2811
12,0.12,4.982862,0,-0.074787,4.3888,8.586,4.529518,0,0.085179,0.9418,9.7562,4.924104,0,-0.010392,7.8606,1.2811
13,0.13,4.992118,0,-0.074375,4.3888,8.586,4.540867,0,0.08486,0.9418,9.7562,4.934999,0,-0.010485,7.8606,1.2811
14,0.14,5.001378,0,-0.073964,4.3888,8.586,4.552212,0,0.084541,0.9418,9.7562,4.945893,0,-0.010577,7.8606,1.2811
15,0.15,5.010643,0,-0.073554,4.3888,8.586,4.563554,0,0.084224,0.9418,9.7562,4.956787,0,-0.01067,7.8606,1.2811
16,0.16,5.019911,0,-0.073145,4.3888,8.586,4.574893,0,0.083907,0.9418,9.7562,4.967679,0,-0.010762,7.8606,1.2811
17,0.17,5.029184,0,-0.072737,4.3888,8.586,4.586229,0,0.083591,0.9418,9.7562,4.978571,0,-0.010854,7.8606,1.2811
18,0.18,5.038461,0,-0.07233,4.3888,8.586,4.597562,0,0.083276,0.9418,9.7562,4.989461,0,-0.010945,7.8606,1.2811
19,0.19,5.047741,0,-0.071925,4.3888,8.586,4.608892,0,0.082961,0.9418,9.7562,5.000351,0,-0.011037,7.8606,1.2811
20,0.2,5.057026,0,-0.07152,4.3888,8.586,4.620218,0,0.082648,0.9418,9.7562,5.01124,0,-0.011128,7.8606,1.2811
21,0.21,5.066315,0,-0.071116,4.3888,8.586,4.631541,0,0.082335,0.9418,9.7562,5.022127,0,-0.011218,7.8606,1.2811
22,0.22,5.075608,0,-0.070714,4.3888,8.586,4.642862,0,0.082023,0.9418,9.7562,5.033014,0,-0.011309,7.8606,1.2811
23,0.23,5.084905,0,-0.070313,4.3888,8.586,4.654179,0,0.081712,0.9418,9.7562,5.0439,0,-0.011399,7.8606,1.2811
