t,event_type,source,leader_flash_time,follower_flash_time,timing_error_s
0.0,leader_flash,synthetic,0.0,,
0.43,follower_flash,follower_oscillator,0.0,0.43,-0.43
0.5,leader_flash,synthetic,0.5,,
0.94,follower_flash,follower_oscillator,0.5,0.94,-0.44
1.0,leader_flash,synthetic,1.0,,
1.45,follower_flash,follower_oscillator,1.0,1.45,-0.45
1.5,leader_flash,synthetic,1.5,,
1.95,follower_flash,follower_oscillator,1.5,1.95,-0.45
2.0,leader_flash,synthetic,2.0,,
2.45,follower_flash,follower_oscillator,2.0,2.45,-0.45
2.5,leader_flash,synthetic,2.5,,
2.95,follower_flash,follower_oscillator,2.5,2.95,-0.45
2.95,sync_achieved,metrics,,,
3.0,leader_flash,synthetic,3.0,,
3.45,follower_flash,follower_oscillator,3.0,3.45,-0.45
3.5,leader_flash,synthetic,3.5,,
3.95,follower_flash,follower_oscillator,3.5,3.95,-0.45
4.0,leader_flash,synthetic,4.0,,
4.45,follower_flash,follower_oscillator,4.0,4.45,-0.45
4.5,leader_flash,synthetic,4.5,,
4.95,follower_flash,follower_oscillator,4.5,4.95,-0.45
5.0,leader_flash,synthetic,5.0,,
5.45,follower_flash,follower_oscillator,5.0,5.45,-0.45
5.5,leader_flash,synthetic,5.5,,
5.95,follower_flash,follower_oscillator,5.5,5.95,-0.45
6.0,leader_flash,synthetic,6.0,,
6.45,follower_flash,follower_oscillator,6.0,6.45,-0.45
6.5,leader_flash,synthetic,6.5,,
6.95,follower_flash,follower_oscillator,6.5,6.95,-0.45
7.0,leader_flash,synthetic,7.0,,
7.45,follower_flash,follower_oscillator,7.0,7.45,-0.45
7.5,leader_flash,synthetic,7.5,,
7.95,follower_flash,follower_oscillator,7.5,7.95,-0.45
8.0,leader_flash,synthetic,8.0,,
8.45,follower_flash,follower_oscillator,8.0,8.45,-0.45
8.5,leader_flash,synthetic,8.5,,
8.95,follower_flash,follower_oscillator,8.5,8.95,-0.45
9.0,leader_flash,synthetic,9.0,,
9.45,follower_flash,follower_oscillator,9.0,9.45,-0.45
9.5,leader_flash,synthetic,9.5,,
9.95,follower_flash,follower_oscillator,9.5,9.95,-0.45
10.0,leader_flash,synthetic,10.0,,
10.45,follower_flash,follower_oscillator,10.0,10.45,-0.45
10.5,leader_flash,synthetic,10.5,,
10.95,follower_flash,follower_oscillator,10.5,10.95,-0.45
11.0,leader_flash,synthetic,11.0,,
11.45,follower_flash,follower_oscillator,11.0,11.45,-0.45
11.5,leader_flash,synthetic,11.5,,
11.95,follower_flash,follower_oscillator,11.5,11.95,-0.45
12.0,leader_flash,synthetic,12.0,,
12.45,follower_flash,follower_oscillator,12.0,12.45,-0.45
12.5,leader_flash,synthetic,12.5,,
12.95,follower_flash,follower_oscillator,12.5,12.95,-0.45
13.0,leader_flash,synthetic,13.0,,
13.45,follower_flash,follower_oscillator,13.0,13.45,-0.45
13.5,leader_flash,synthetic,13.5,,
13.95,follower_flash,follower_oscillator,13.5,13.95,-0.45
14.0,leader_flash,synthetic,14.0,,
14.45,follower_flash,follower_oscillator,14.0,14.45,-0.45
14.5,leader_flash,synthetic,14.5,,
14.95,follower_flash,follower_oscillator,14.5,14.95,-0.45
15.0,leader_flash,synthetic,15.0,,
15.45,follower_flash,follower_oscillator,15.0,15.45,-0.45
15.5,leader_flash,synthetic,15.5,,
15.95,follower_flash,follower_oscillator,15.5,15.95,-0.45
16.0,leader_flash,synthetic,16.0,,
16.45,follower_flash,follower_oscillator,16.0,16.45,-0.45
16.5,leader_flash,synthetic,16.5,,
16.95,follower_flash,follower_oscillator,16.5,16.95,-0.45
17.0,leader_flash,synthetic,17.0,,
17.45,follower_flash,follower_oscillator,17.0,17.45,-0.45
17.5,leader_flash,synthetic,17.5,,
17.95,follower_flash,follower_oscillator,17.5,17.95,-0.45
18.0,leader_flash,synthetic,18.0,,
18.45,follower_flash,follower_oscillator,18.0,18.45,-0.45
18.5,leader_flash,synthetic,18.5,,
18.95,follower_flash,follower_oscillator,18.5,18.95,-0.45
19.0,leader_flash,synthetic,19.0,,
19.45,follower_flash,follower_oscillator,19.0,19.45,-0.45
19.5,leader_flash,synthetic,19.5,,
19.95,follower_flash,follower_oscillator,19.5,19.95,-0.45
20.0,leader_flash,synthetic,20.0,,
20.45,follower_flash,follower_oscillator,20.0,20.45,-0.45
20.5,leader_flash,synthetic,20.5,,
20.95,follower_flash,follower_oscillator,20.5,20.95,-0.45
21.0,leader_flash,synthetic,21.0,,
21.45,follower_flash,follower_oscillator,21.0,21.45,-0.45
