batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,coupling_gain,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,detection_success_rate,false_positive_rate,mean_loop_dt_ms,peak_memory_rss_mb,mean_cpu_temperature_c,expected_leader_flash_count,detected_leader_flash_count,leader_flash_count_ratio,requested_duration_s,actual_trial_wall_duration_s,trial_log_dir
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.5Hz_r01,kuramoto,2.0,1.5,3.5,30.0,True,4.272435715000029,0.042633,0.053303,0.031995,0.022788,1.0,,,78.17,185.25,45.4,60.0,57,0.95,30.0,30.415,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.5Hz_r01
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.5Hz_r02,kuramoto,2.0,1.5,3.5,30.0,True,4.207246843000576,0.057974,0.059002,0.010966,0.004192,1.0,,,66.313,187.12,47.5,60.0,59,0.983,30.0,30.446,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.5Hz_r02
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.5Hz_r03,kuramoto,2.0,1.5,3.5,30.0,True,2.906244666999555,0.060156,0.060158,0.000435,0.008323,0.9304,,,65.641,189.28,48.7,60.0,59,0.983,30.0,30.467,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.5Hz_r03
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.5Hz_r04,kuramoto,2.0,1.5,3.5,30.0,True,2.7834690029994817,0.070453,0.074021,0.022707,0.00414,0.777,,,65.028,189.28,48.7,60.0,59,0.983,30.0,30.455,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.5Hz_r04
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.5Hz_r05,kuramoto,2.0,1.5,3.5,30.0,True,4.134048118999999,0.070281,0.073913,0.022885,0.034604,1.0,,,64.15,189.28,48.4,60.0,59,0.983,30.0,30.423,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.5Hz_r05
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.8Hz_r01,kuramoto,2.0,1.8,3.5,30.0,True,3.3773708549997536,0.006201,0.01928,0.018256,0.013023,1.0,,,63.257,189.28,47.9,60.0,59,0.983,30.0,30.45,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.8Hz_r01
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.8Hz_r02,kuramoto,2.0,1.8,3.5,30.0,True,3.378712916999575,0.006249,0.019429,0.018397,0.013395,1.0,,,63.224,189.28,47.8,60.0,59,0.983,30.0,30.433,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.8Hz_r02
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.8Hz_r03,kuramoto,2.0,1.8,3.5,30.0,True,2.709240805999798,0.002058,0.011081,0.010888,0.00413,1.0,,,62.787,189.28,47.8,60.0,59,0.983,30.0,30.424,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.8Hz_r03
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.8Hz_r04,kuramoto,2.0,1.8,3.5,30.0,True,2.692670401000214,0.002075,0.011172,0.010977,0.004111,1.0,,,62.214,189.28,47.6,60.0,59,0.983,30.0,30.457,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.8Hz_r04
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F1.8Hz_r05,kuramoto,2.0,1.8,3.5,30.0,True,2.615639784999985,0.0,0.0,0.0,0.0,1.0,,,62.268,189.28,47.5,60.0,59,0.983,30.0,30.42,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F1.8Hz_r05
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F2.3Hz_r01,kuramoto,2.0,2.3,3.5,30.0,True,3.5550299839997024,0.060407,0.060409,0.000548,0.004223,1.0,,,62.237,189.28,47.3,60.0,59,0.983,30.0,30.409,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F2.3Hz_r01
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F2.3Hz_r02,kuramoto,2.0,2.3,3.5,30.0,True,3.2613549449997663,0.063169,0.064643,0.013725,0.012445,1.0,,,62.47,189.28,47.2,60.0,59,0.983,30.0,30.453,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F2.3Hz_r02
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F2.3Hz_r03,kuramoto,2.0,2.3,3.5,30.0,True,5.54430087900073,0.058459,0.059495,0.011055,0.00844,1.0,,,62.538,189.28,48.4,60.0,59,0.983,30.0,30.423,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F2.3Hz_r03
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F2.3Hz_r04,kuramoto,2.0,2.3,3.5,30.0,True,4.910019800000555,0.054523,0.057474,0.018178,6.7e-05,1.0,,,62.925,189.28,49.8,60.0,60,1.0,30.0,30.416,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F2.3Hz_r04
20260611_122117_kuramoto_pi_visual_batch,L2.0Hz_F2.3Hz_r05,kuramoto,2.0,2.3,3.5,30.0,True,3.2547053569996933,0.052312,0.056194,0.020523,0.015957,1.0,,,63.615,189.28,48.7,60.0,59,0.983,30.0,30.43,experiments/logs/step3a_pi_visual_batch/20260611_122117_kuramoto_pi_visual_batch/trials/L2.0Hz_F2.3Hz_r05
