t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,loop_dt_ms,model_update_time_ms,cpu_percent,process_cpu_time_s,memory_rss_mb,cpu_temperature_c
2e-06,0.0,1.5,0.0,0.0,0.0,0,0,0.002,0.011,0.0,0.0645,189.28,46.9
0.093807,2e-05,1.5,0.0,-2e-05,-2e-05,0,0,93.805,0.01,0.0,0.1283,189.28,48.5
0.161458,0.884101,1.5,0.0,-0.884101,-0.773345,0,0,67.651,0.011,0.0,0.192,189.28,48.5
0.223204,1.338585,1.5,0.0,-1.338585,-0.97316,0,0,61.746,0.011,0.0,0.2555,189.28,48.0
0.283051,1.710219,1.5,0.0,-1.710219,-0.990296,0,0,59.847,0.011,0.0,0.32,189.28,46.9
0.34361,2.066832,1.5,0.0,-2.066832,-0.879476,0,0,60.559,0.011,0.0,0.3824,189.28,48.5
0.404717,2.451177,1.5,0.0,-2.451177,-0.636858,0,0,61.106,0.011,0.0,0.4469,189.28,48.0
0.475929,2.890884,1.5,0.0,-2.890884,-0.248091,0,0,71.212,0.01,0.0,0.5104,189.28,47.4
0.550628,3.500206,1.5,0.0,2.782979,0.350976,0,0,74.7,0.011,0.0,0.5744,189.28,47.4
0.625202,4.295997,1.5,0.0,1.987188,0.914554,0,0,74.573,0.01,0.0,0.639,189.28,48.5
0.690638,5.237539,1.5,0.0,1.045647,0.865249,0,0,65.437,0.01,0.0,0.7028,189.28,46.9
0.751079,6.052432,1.5,0.0,0.230754,0.228711,1,0,60.441,0.011,0.0,0.7667,189.28,47.4
0.811108,0.387273,1.5,0.754338,0.367065,0.358878,0,0,60.028,0.01,0.0,0.8305,189.28,48.5
0.870769,1.028427,1.5,1.504062,0.475635,0.457903,0,0,59.661,0.01,0.0,0.8938,189.28,48.5
0.936669,1.686336,1.5,2.332192,0.645857,0.601883,0,0,65.901,0.01,0.0,0.9584,189.28,47.4
1.009479,2.446259,1.5,3.247144,0.800884,0.717972,0,0,72.81,0.01,0.0,1.0219,189.28,49.0
