t,frame_id,roi_intensity,normalized_signal,detected_flash_state,leader_flash_event,detected_flash_time,detection_confidence,roi_x,roi_y,roi_w,roi_h,camera_processing_time_ms
2e-06,1,135.67,0.0,0,0,,0.0,,,,,64.93
0.065189,2,137.33,0.0,0,0,,0.0,,,,,60.09
0.12554,3,171.33,0.0,0,0,,0.0,,,,,59.66
0.185461,4,169.33,0.0,0,0,,0.0,,,,,60.31
0.246032,5,167.67,0.0,0,0,,0.0,,,,,59.55
0.305847,6,168.67,0.0,0,0,,0.0,,,,,63.32
0.36943,7,136.0,0.0,0,0,,0.0,,,,,66.85
0.436543,8,137.67,0.0,0,0,,0.0,,,,,65.76
0.502587,9,138.33,0.0,0,0,,0.0,,,,,60.23
0.563066,10,139.67,0.1103,0,0,,0.0,,,,,60.48
0.623799,11,172.33,1.0,1,1,0.623799,0.0,,,,,59.57
0.683679,12,171.67,1.0,1,0,,0.0,,,,,59.28
0.743177,13,169.0,0.9264,1,0,,0.0,,,,,60.6
0.804038,14,170.0,0.9554,1,0,,0.0,,,,,63.24
0.867542,15,136.0,0.0,0,0,,0.0,,,,,67.63
0.935426,16,137.67,0.047,0,0,,0.0,,,,,65.93
1.001614,17,137.33,0.0375,0,0,,0.0,,,,,60.09
1.061961,18,138.67,0.0754,0,0,,0.0,,,,,60.02
1.122237,19,171.67,1.0,1,1,1.122237,0.0,,,,,59.85
1.182468,20,170.67,0.972,1,0,,0.5993,,,,,59.66
1.242369,21,169.33,0.9344,1,0,,0.613,,,,,60.13
1.30277,22,170.67,0.9728,1,0,,0.6245,,,,,62.73
1.365752,23,136.33,0.0074,0,0,,0.6492,,,,,67.25
1.433254,24,137.67,0.0443,0,0,,0.6649,,,,,65.76
1.499255,25,137.67,0.0434,0,0,,0.678,,,,,60.11
1.559645,26,138.67,0.0709,0,0,,0.6864,,,,,60.03
1.619922,27,171.33,0.9961,1,1,1.619922,0.7027,,,,,60.21
1.680489,28,170.0,0.9593,1,0,,0.7147,,,,,59.13
1.739864,29,168.0,0.9033,1,0,,0.7234,,,,,59.99
1.800108,30,168.67,0.9232,1,0,,0.7326,,,,,63.0
1.863361,31,135.0,0.0,0,0,,0.7433,,,,,66.73
1.930343,32,136.67,0.018,0,0,,0.751,,,,,66.6
1.997185,33,137.33,0.0358,0,0,,0.7579,,,,,60.51
2.057948,34,138.67,0.073,0,0,,0.7632,,,,,58.59
2.116776,35,171.67,1.0,1,1,2.116776,0.7713,,,,,60.92
2.178057,36,170.67,0.9765,1,0,,0.7768,,,,,59.28
2.237583,37,169.0,0.9301,1,0,,0.7798,,,,,60.21
2.298052,38,170.0,0.9593,1,0,,0.7823,,,,,62.16
2.360464,39,135.67,0.0,0,0,,0.7914,,,,,68.5
2.429219,40,137.0,0.0283,0,0,,0.7978,,,,,65.49
2.494947,41,136.67,0.019,0,0,,0.802,,,,,60.14
2.555334,42,137.67,0.0464,0,0,,0.8046,,,,,60.06
2.61564,43,171.33,1.0,1,1,2.61564,0.8108,,,,,59.28
2.675313,44,170.67,0.9813,1,0,,0.8153,,,,,60.27
2.735787,45,169.0,0.9338,1,0,,0.8185,,,,,59.56
2.795595,46,169.67,0.9528,1,0,,0.8219,,,,,62.89
2.85876,47,136.67,0.0134,0,0,,0.828,,,,,67.27
2.926281,48,138.0,0.0504,0,0,,0.8328,,,,,66.56
2.993083,49,138.33,0.0589,0,0,,0.8376,,,,,59.91
3.053238,50,139.67,0.0963,0,0,,0.8418,,,,,60.14
3.113615,51,171.67,1.0,1,1,3.113615,0.8454,,,,,59.73
3.173716,52,172.0,1.0,1,0,,0.8473,,,,,59.51
3.233473,53,170.0,0.9545,1,0,,0.8489,,,,,60.32
3.294044,54,171.0,0.9838,1,0,,0.8501,,,,,63.55
3.357842,55,136.67,0.0058,0,0,,0.8533,,,,,68.1
3.426193,56,137.67,0.0334,0,0,,0.8556,,,,,67.73
3.494164,57,137.67,0.0325,0,0,,0.8572,,,,,60.57
3.554981,58,138.67,0.0603,0,0,,0.8582,,,,,59.59
3.61481,59,171.33,0.998,1,1,3.61481,0.8615,,,,,59.89
3.675082,60,170.67,0.98,1,0,,0.8653,,,,,60.01
3.735328,61,169.67,0.9521,1,0,,0.8675,,,,,59.5
3.795071,62,170.67,0.981,1,0,,0.8698,,,,,64.19
3.859511,63,136.33,0.0,0,0,,0.872,,,,,67.3
3.927055,64,137.33,0.0257,0,0,,0.8739,,,,,67.34
3.994668,65,137.33,0.0248,0,0,,0.8755,,,,,60.1
4.055013,66,138.0,0.0431,0,0,,0.8766,,,,,59.54
4.114796,67,171.0,0.9905,1,1,4.114796,0.879,,,,,61.17
4.176359,68,169.33,0.9425,1,0,,0.8816,,,,,58.97
4.235576,69,167.67,0.8946,1,0,,0.8842,,,,,60.06
4.295884,70,168.67,0.9233,1,0,,0.8868,,,,,63.59
4.359723,71,135.0,0.0,0,0,,0.8879,,,,,66.97
4.426939,72,136.0,0.0,0,0,,0.8887,,,,,66.72
4.493904,73,136.67,0.0097,0,0,,0.8899,,,,,60.02
4.554168,74,138.33,0.0571,0,0,,0.8915,,,,,59.62
4.61403,75,171.67,1.0,1,1,4.61403,0.8925,,,,,60.32
4.67478,76,171.0,0.9906,1,0,,0.8926,,,,,59.13
4.734153,77,169.33,0.9429,1,0,,0.8925,,,,,59.74
4.794156,78,169.67,0.9526,1,0,,0.8928,,,,,63.4
4.857804,79,136.0,0.0,0,0,,0.8954,,,,,67.23
4.925285,80,137.0,0.0201,0,0,,0.8977,,,,,66.98
4.992506,81,137.0,0.0191,0,0,,0.8992,,,,,60.79
5.053536,82,137.67,0.0383,0,0,,0.9006,,,,,59.49
5.113268,83,171.0,0.9906,1,1,5.113268,0.9029,,,,,59.73
5.173403,84,170.0,0.962,1,0,,0.9027,,,,,60.13
5.233779,85,169.0,0.9334,1,0,,0.9012,,,,,60.31
5.294337,86,170.0,0.962,1,0,,0.9005,,,,,63.21
5.357798,87,136.33,0.0,0,0,,0.9002,,,,,67.05
5.425095,88,138.0,0.0477,0,0,,0.9006,,,,,66.76
5.492103,89,138.0,0.0477,0,0,,0.9012,,,,,61.12
5.553473,90,139.67,0.0954,0,0,,0.9016,,,,,59.3
5.613023,91,171.33,1.0,1,1,5.613023,0.9013,,,,,59.77
5.673215,92,171.67,1.0,1,0,,0.9004,,,,,59.96
5.73342,93,169.33,0.9429,1,0,,0.9006,,,,,59.81
5.793489,94,171.0,0.9906,1,0,,0.8999,,,,,63.62
5.857364,95,136.33,0.0,0,0,,0.8995,,,,,66.95
5.924564,96,137.0,0.0191,0,0,,0.8989,,,,,66.93
5.991737,97,137.0,0.0191,0,0,,0.8982,,,,,61.45
6.053428,98,138.33,0.0571,0,0,,0.8974,,,,,59.79
6.113464,99,171.33,1.0,1,1,6.113464,0.8978,,,,,59.16
6.173041,100,170.67,0.9811,1,0,,0.8987,,,,,59.77
6.233021,101,169.33,0.9429,1,0,,0.899,,,,,59.67
6.29294,102,170.67,0.9811,1,0,,0.9004,,,,,64.25
6.357443,103,136.33,0.0,0,0,,0.902,,,,,67.74
6.42543,104,137.67,0.0383,0,0,,0.9012,,,,,66.99
6.492664,105,137.67,0.0383,0,0,,0.901,,,,,60.42
6.553323,106,138.0,0.0477,0,0,,0.9005,,,,,60.08
6.613647,107,171.0,0.9906,1,1,6.613647,0.901,,,,,59.06
6.673134,108,169.67,0.9526,1,0,,0.9012,,,,,59.69
