t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.455152,follower_flash,follower_oscillator,,0.455152,,
0.781745,leader_flash,camera,0.781745,,,
0.901191,follower_flash,follower_oscillator,0.781745,0.901191,-0.119447,
1.288459,leader_flash,camera,1.288459,,,
1.288459,follower_flash,follower_oscillator,1.288459,1.288459,0.0,
1.734915,follower_flash,follower_oscillator,1.288459,1.734915,-0.446456,
1.79534,leader_flash,camera,1.79534,,,
2.24032,follower_flash,follower_oscillator,1.79534,2.24032,-0.44498,
2.300759,leader_flash,camera,2.300759,,,
2.748481,follower_flash,follower_oscillator,2.300759,2.748481,-0.447722,
2.809181,leader_flash,camera,2.809181,,,
3.254705,follower_flash,follower_oscillator,2.809181,3.254705,-0.445525,
3.315053,leader_flash,camera,3.315053,,,
3.761883,follower_flash,follower_oscillator,3.315053,3.761883,-0.44683,
3.761883,sync_achieved,metrics,,,,
3.822516,leader_flash,camera,3.822516,,,
4.26674,follower_flash,follower_oscillator,3.822516,4.26674,-0.444224,
4.327436,leader_flash,camera,4.327436,,,
4.77425,follower_flash,follower_oscillator,4.327436,4.77425,-0.446814,
4.834359,leader_flash,camera,4.834359,,,
5.281603,follower_flash,follower_oscillator,4.834359,5.281603,-0.447244,
5.341938,leader_flash,camera,5.341938,,,
5.788045,leader_flash,camera,5.788045,,,
5.788045,follower_flash,follower_oscillator,5.788045,5.788045,0.0,
6.234474,follower_flash,follower_oscillator,5.788045,6.234474,-0.446429,
6.295034,leader_flash,camera,6.295034,,,
6.740686,follower_flash,follower_oscillator,6.295034,6.740686,-0.445652,
6.801526,leader_flash,camera,6.801526,,,
7.25042,follower_flash,follower_oscillator,6.801526,7.25042,-0.448894,
7.31113,leader_flash,camera,7.31113,,,
7.758743,follower_flash,follower_oscillator,7.31113,7.758743,-0.447613,
7.819181,leader_flash,camera,7.819181,,,
8.265934,follower_flash,follower_oscillator,7.819181,8.265934,-0.446753,
8.326309,leader_flash,camera,8.326309,,,
