t_s,event_type,source
0.0,leader_flash,synthetic_leader
0.32,follower_flash,model_follower
0.5,leader_flash,synthetic_leader
0.65,follower_flash,model_follower
1.0,leader_flash,synthetic_leader
1.0,follower_flash,model_follower
1.44,follower_flash,model_follower
1.5,leader_flash,synthetic_leader
1.77,follower_flash,model_follower
2.0,leader_flash,synthetic_leader
2.1,follower_flash,model_follower
2.5,leader_flash,synthetic_leader
2.5,follower_flash,model_follower
2.94,follower_flash,model_follower
3.0,leader_flash,synthetic_leader
3.27,follower_flash,model_follower
3.5,leader_flash,synthetic_leader
3.6,follower_flash,model_follower
4.0,leader_flash,synthetic_leader
4.0,follower_flash,model_follower
4.44,follower_flash,model_follower
4.5,leader_flash,synthetic_leader
4.77,follower_flash,model_follower
5.0,leader_flash,synthetic_leader
5.1,follower_flash,model_follower
5.5,leader_flash,synthetic_leader
5.5,follower_flash,model_follower
5.94,follower_flash,model_follower
6.0,leader_flash,synthetic_leader
6.27,follower_flash,model_follower
6.5,leader_flash,synthetic_leader
6.6,follower_flash,model_follower
7.0,leader_flash,synthetic_leader
7.0,follower_flash,model_follower
7.44,follower_flash,model_follower
7.5,leader_flash,synthetic_leader
7.77,follower_flash,model_follower
8.0,leader_flash,synthetic_leader
8.1,follower_flash,model_follower
8.5,leader_flash,synthetic_leader
8.5,follower_flash,model_follower
8.94,follower_flash,model_follower
9.0,leader_flash,synthetic_leader
9.27,follower_flash,model_follower
9.5,leader_flash,synthetic_leader
9.6,follower_flash,model_follower
10.0,leader_flash,synthetic_leader
10.0,follower_flash,model_follower
10.44,follower_flash,model_follower
10.5,leader_flash,synthetic_leader
10.77,follower_flash,model_follower
11.0,leader_flash,synthetic_leader
11.1,follower_flash,model_follower
11.5,leader_flash,synthetic_leader
11.5,follower_flash,model_follower
11.94,follower_flash,model_follower
12.0,leader_flash,synthetic_leader
12.27,follower_flash,model_follower
12.5,leader_flash,synthetic_leader
12.6,follower_flash,model_follower
13.0,leader_flash,synthetic_leader
13.0,follower_flash,model_follower
13.44,follower_flash,model_follower
13.5,leader_flash,synthetic_leader
13.77,follower_flash,model_follower
14.0,leader_flash,synthetic_leader
14.1,follower_flash,model_follower
14.5,leader_flash,synthetic_leader
14.5,follower_flash,model_follower
14.94,follower_flash,model_follower
15.0,leader_flash,synthetic_leader
15.27,follower_flash,model_follower
15.5,leader_flash,synthetic_leader
15.6,follower_flash,model_follower
16.0,leader_flash,synthetic_leader
16.0,follower_flash,model_follower
16.44,follower_flash,model_follower
16.5,leader_flash,synthetic_leader
16.77,follower_flash,model_follower
17.0,leader_flash,synthetic_leader
17.1,follower_flash,model_follower
17.5,leader_flash,synthetic_leader
17.5,follower_flash,model_follower
17.94,follower_flash,model_follower
18.0,leader_flash,synthetic_leader
18.27,follower_flash,model_follower
18.5,leader_flash,synthetic_leader
18.6,follower_flash,model_follower
19.0,leader_flash,synthetic_leader
19.0,follower_flash,model_follower
19.44,follower_flash,model_follower
19.5,leader_flash,synthetic_leader
19.77,follower_flash,model_follower
20.0,leader_flash,synthetic_leader
20.1,follower_flash,model_follower
20.5,leader_flash,synthetic_leader
20.5,follower_flash,model_follower
20.94,follower_flash,model_follower
21.0,leader_flash,synthetic_leader
21.27,follower_flash,model_follower
21.5,leader_flash,synthetic_leader
21.6,follower_flash,model_follower
22.0,leader_flash,synthetic_leader
22.0,follower_flash,model_follower
22.44,follower_flash,model_follower
22.5,leader_flash,synthetic_leader
22.77,follower_flash,model_follower
23.0,leader_flash,synthetic_leader
23.1,follower_flash,model_follower
23.5,leader_flash,synthetic_leader
23.5,follower_flash,model_follower
23.94,follower_flash,model_follower
24.0,leader_flash,synthetic_leader
24.27,follower_flash,model_follower
24.5,leader_flash,synthetic_leader
24.6,follower_flash,model_follower
25.0,leader_flash,synthetic_leader
25.0,follower_flash,model_follower
25.44,follower_flash,model_follower
25.5,leader_flash,synthetic_leader
25.77,follower_flash,model_follower
26.0,leader_flash,synthetic_leader
26.1,follower_flash,model_follower
26.5,leader_flash,synthetic_leader
26.5,follower_flash,model_follower
26.94,follower_flash,model_follower
27.0,leader_flash,synthetic_leader
27.27,follower_flash,model_follower
27.5,leader_flash,synthetic_leader
27.6,follower_flash,model_follower
28.0,leader_flash,synthetic_leader
28.0,follower_flash,model_follower
28.44,follower_flash,model_follower
28.5,leader_flash,synthetic_leader
28.77,follower_flash,model_follower
29.0,leader_flash,synthetic_leader
29.1,follower_flash,model_follower
29.5,leader_flash,synthetic_leader
29.5,follower_flash,model_follower
29.94,follower_flash,model_follower
