t_s,model_name,phase,leader_flash_event,follower_flash_event,refractory_active,leader_flash_event_used,phase_before_coupling,phase_after_coupling
0.0,pco_if,0.11422,1,0,0,1,0.0,0.11422
0.01,pco_if,0.13222,0,0,0,0,0.11422,0.13222
0.02,pco_if,0.15022,0,0,0,0,0.13222,0.15022
0.03,pco_if,0.16822,0,0,0,0,0.15022,0.16822
0.04,pco_if,0.18622,0,0,0,0,0.16822,0.18622
0.05,pco_if,0.20422,0,0,0,0,0.18622,0.20422
0.06,pco_if,0.22222,0,0,0,0,0.20422,0.22222
0.07,pco_if,0.24022,0,0,0,0,0.22222,0.24022
0.08,pco_if,0.25822,0,0,0,0,0.24022,0.25822
0.09,pco_if,0.27622,0,0,0,0,0.25822,0.27622
0.1,pco_if,0.29422,0,0,0,0,0.27622,0.29422
0.11,pco_if,0.31222,0,0,0,0,0.29422,0.31222
0.12,pco_if,0.33022,0,0,0,0,0.31222,0.33022
0.13,pco_if,0.34822,0,0,0,0,0.33022,0.34822
0.14,pco_if,0.36622,0,0,0,0,0.34822,0.36622
0.15,pco_if,0.38422,0,0,0,0,0.36622,0.38422
0.16,pco_if,0.40222,0,0,0,0,0.38422,0.40222
0.17,pco_if,0.42022,0,0,0,0,0.40222,0.42022
0.18,pco_if,0.43822,0,0,0,0,0.42022,0.43822
0.19,pco_if,0.45622,0,0,0,0,0.43822,0.45622
0.2,pco_if,0.47422,0,0,0,0,0.45622,0.47422
0.21,pco_if,0.49222,0,0,0,0,0.47422,0.49222
0.22,pco_if,0.51022,0,0,0,0,0.49222,0.51022
0.23,pco_if,0.52822,0,0,0,0,0.51022,0.52822
0.24,pco_if,0.54622,0,0,0,0,0.52822,0.54622
0.25,pco_if,0.56422,0,0,0,0,0.54622,0.56422
0.26,pco_if,0.58222,0,0,0,0,0.56422,0.58222
0.27,pco_if,0.60022,0,0,0,0,0.58222,0.60022
0.28,pco_if,0.61822,0,0,0,0,0.60022,0.61822
0.29,pco_if,0.63622,0,0,0,0,0.61822,0.63622
0.3,pco_if,0.65422,0,0,0,0,0.63622,0.65422
0.31,pco_if,0.67222,0,0,0,0,0.65422,0.67222
0.32,pco_if,0.69022,0,0,0,0,0.67222,0.69022
0.33,pco_if,0.70822,0,0,0,0,0.69022,0.70822
0.34,pco_if,0.72622,0,0,0,0,0.70822,0.72622
0.35,pco_if,0.74422,0,0,0,0,0.72622,0.74422
0.36,pco_if,0.76222,0,0,0,0,0.74422,0.76222
0.37,pco_if,0.78022,0,0,0,0,0.76222,0.78022
0.38,pco_if,0.79822,0,0,0,0,0.78022,0.79822
0.39,pco_if,0.81622,0,0,0,0,0.79822,0.81622
0.4,pco_if,0.83422,0,0,0,0,0.81622,0.83422
0.41,pco_if,0.85222,0,0,0,0,0.83422,0.85222
0.42,pco_if,0.87022,0,0,0,0,0.85222,0.87022
0.43,pco_if,0.88822,0,0,0,0,0.87022,0.88822
0.44,pco_if,0.90622,0,0,0,0,0.88822,0.90622
0.45,pco_if,0.92422,0,0,0,0,0.90622,0.92422
0.46,pco_if,0.94222,0,0,0,0,0.92422,0.94222
0.47,pco_if,0.96022,0,0,0,0,0.94222,0.96022
0.48,pco_if,0.97822,0,0,0,0,0.96022,0.97822
0.49,pco_if,0.99622,0,0,0,0,0.97822,0.99622
0.5,pco_if,0.0,1,1,1,1,0.99622,1.0
0.51,pco_if,0.018,0,0,1,0,0.0,0.018
0.52,pco_if,0.036,0,0,1,0,0.018,0.036
0.53,pco_if,0.054,0,0,1,0,0.036,0.054
0.54,pco_if,0.072,0,0,1,0,0.054,0.072
0.55,pco_if,0.09,0,0,0,0,0.072,0.09
0.56,pco_if,0.108,0,0,0,0,0.09,0.108
0.57,pco_if,0.126,0,0,0,0,0.108,0.126
0.58,pco_if,0.144,0,0,0,0,0.126,0.144
0.59,pco_if,0.162,0,0,0,0,0.144,0.162
0.6,pco_if,0.18,0,0,0,0,0.162,0.18
0.61,pco_if,0.198,0,0,0,0,0.18,0.198
0.62,pco_if,0.216,0,0,0,0,0.198,0.216
0.63,pco_if,0.234,0,0,0,0,0.216,0.234
0.64,pco_if,0.252,0,0,0,0,0.234,0.252
0.65,pco_if,0.27,0,0,0,0,0.252,0.27
0.66,pco_if,0.288,0,0,0,0,0.27,0.288
0.67,pco_if,0.306,0,0,0,0,0.288,0.306
0.68,pco_if,0.324,0,0,0,0,0.306,0.324
0.69,pco_if,0.342,0,0,0,0,0.324,0.342
0.7,pco_if,0.36,0,0,0,0,0.342,0.36
0.71,pco_if,0.378,0,0,0,0,0.36,0.378
0.72,pco_if,0.396,0,0,0,0,0.378,0.396
0.73,pco_if,0.414,0,0,0,0,0.396,0.414
0.74,pco_if,0.432,0,0,0,0,0.414,0.432
0.75,pco_if,0.45,0,0,0,0,0.432,0.45
0.76,pco_if,0.468,0,0,0,0,0.45,0.468
0.77,pco_if,0.486,0,0,0,0,0.468,0.486
0.78,pco_if,0.504,0,0,0,0,0.486,0.504
0.79,pco_if,0.522,0,0,0,0,0.504,0.522
0.8,pco_if,0.54,0,0,0,0,0.522,0.54
0.81,pco_if,0.558,0,0,0,0,0.54,0.558
0.82,pco_if,0.576,0,0,0,0,0.558,0.576
