t_s,model_name,phase_rad,frequency_hz,omega_rad_s,phase_error_rad,leader_period_estimate_s,leader_flash_event,follower_flash_event,leader_flash_event_used,follower_frequency_estimate_hz
0.0,eapf,0.065973,1.4985,9.415353,-0.094248,0.666667,1,0,1,1.4985
0.01,eapf,0.160127,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.02,eapf,0.254281,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.03,eapf,0.348434,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.04,eapf,0.442588,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.05,eapf,0.536741,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.06,eapf,0.630895,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.07,eapf,0.725048,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.08,eapf,0.819202,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.09,eapf,0.913355,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.1,eapf,1.007509,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.11,eapf,1.101662,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.12,eapf,1.195816,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.13,eapf,1.289969,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.14,eapf,1.384123,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.15,eapf,1.478276,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.16,eapf,1.57243,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.17,eapf,1.666583,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.18,eapf,1.760737,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.19,eapf,1.854891,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.2,eapf,1.949044,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.21,eapf,2.043198,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.22,eapf,2.137351,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.23,eapf,2.231505,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.24,eapf,2.325658,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.25,eapf,2.419812,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.26,eapf,2.513965,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.27,eapf,2.608119,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.28,eapf,2.702272,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.29,eapf,2.796426,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.3,eapf,2.890579,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.31,eapf,2.984733,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.32,eapf,3.078886,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.33,eapf,3.17304,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.34,eapf,3.267194,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.35,eapf,3.361347,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.36,eapf,3.455501,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.37,eapf,3.549654,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.38,eapf,3.643808,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.39,eapf,3.737961,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.4,eapf,3.832115,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.41,eapf,3.926268,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.42,eapf,4.020422,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.43,eapf,4.114575,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.44,eapf,4.208729,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.45,eapf,4.302882,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.46,eapf,4.397036,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.47,eapf,4.491189,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.48,eapf,4.585343,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.49,eapf,4.679497,1.4985,9.415353,0.0,0.666667,0,0,0,1.4985
0.5,eapf,5.226511,1.522525,9.566307,1.509535,0.5,1,0,1,1.522525
0.51,eapf,5.322174,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.52,eapf,5.417837,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.53,eapf,5.5135,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.54,eapf,5.609163,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.55,eapf,5.704826,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.56,eapf,5.800489,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
0.57,eapf,5.896152,1.522525,9.566307,0.0,0.5,0,0,0,1.522525
