model,variant,topology,freq_set,param_label,K,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,all_to_all,near_identical,K=1.5,1.5,True,True,True,True,True,0.010672,1.0,0.0,0.034333,0.00974,0.965021,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.658615,1.375,0.6,0.126538,0.132877,0.507566,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,near_identical,K=1.5,1.5,True,True,True,True,True,0.01713,1.0,0.0,0.048667,0.013085,0.928575,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.505915,1.3125,0.5,0.114906,0.099502,0.540089,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,near_identical,K=1.5,1.5,False,True,False,True,True,0.024395,1.0,0.0,0.083509,0.021727,0.806861,offset_phase_locked
kuramoto,baseline,directed_chain,strong_heterogeneity,K=1.5,1.5,False,False,False,False,False,0.695428,1.4667,0.7,0.121837,0.130363,0.490878,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,near_identical,K=2.0,2.0,True,True,True,True,True,0.008583,1.0,0.0,0.026333,0.006379,0.97864,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=2.0,2.0,False,False,False,False,False,0.501262,1.3125,0.5,0.109057,0.096002,0.589257,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,near_identical,K=2.0,2.0,True,True,True,True,True,0.012902,1.0,0.0,0.037333,0.01006,0.955441,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=2.0,2.0,False,False,False,False,False,0.418411,1.3125,0.5,0.113208,0.104168,0.588485,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,near_identical,K=2.0,2.0,True,True,True,True,True,0.016194,1.0,0.0,0.064561,0.015021,0.883736,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,K=2.0,2.0,False,False,False,False,False,0.704638,1.4667,0.7,0.127959,0.144523,0.448761,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,near_identical,K=2.5,2.5,True,True,True,True,True,0.008638,1.0,0.0,0.021667,0.007104,0.985092,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=2.5,2.5,False,False,False,False,False,0.340875,1.2353,0.4,0.099815,0.071946,0.667648,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain,near_identical,K=2.5,2.5,True,True,True,True,True,0.008638,1.0,0.0,0.032,0.007616,0.968606,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=2.5,2.5,False,False,False,False,True,0.261252,1.1111,0.2,0.125357,0.070664,0.564412,frequency_not_locked
kuramoto,baseline,directed_chain,near_identical,K=2.5,2.5,True,True,True,True,True,0.012094,1.0,0.0,0.054386,0.010672,0.918377,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,K=2.5,2.5,False,False,False,False,False,0.624213,1.4,0.6,0.117917,0.123224,0.544265,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,near_identical,K=3.0,3.0,True,True,True,True,True,0.008675,1.0,0.0,0.019,0.006717,0.988729,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=3.0,3.0,False,True,False,True,True,0.01709,1.0526,0.1,0.086724,0.013972,0.789797,offset_phase_locked
kuramoto,baseline,chain,near_identical,K=3.0,3.0,True,True,True,True,True,0.006513,1.0,0.0,0.028,0.006525,0.976145,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=3.0,3.0,False,True,False,True,True,0.024434,1.0,0.0,0.114,0.018688,0.652765,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,K=3.0,3.0,True,True,True,True,True,0.010068,1.0,0.0,0.047368,0.009825,0.937736,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,K=3.0,3.0,False,False,False,False,False,0.597507,1.4,0.6,0.136739,0.121906,0.483745,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,near_identical,K=3.5,3.5,True,True,True,True,True,0.006541,1.0,0.0,0.016333,0.006446,0.991012,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,K=3.5,3.5,True,True,True,True,True,0.010086,1.0,0.0,0.065333,0.008827,0.879383,full_group_sync
kuramoto,baseline,chain,near_identical,K=3.5,3.5,True,True,True,True,True,0.006555,1.0,0.0,0.025,0.005434,0.980918,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,K=3.5,3.5,False,True,False,True,True,0.018459,1.0,0.0,0.090667,0.012319,0.768526,offset_phase_locked
