model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,all_to_all,identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.003492,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.003175,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.00381,0.004641,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,4,3,True,True,True,True,True,0.002102,1.0,0.0,0.005079,0.004657,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.004762,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,6,3,True,True,True,True,True,0.002102,1.0,0.0,0.005079,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,7,3,True,True,True,True,True,0.0,1.0,0.0,0.003492,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,8,3,True,True,True,True,True,0.002102,1.0,0.0,0.004444,0.004641,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,9,3,True,True,True,True,True,0.0,1.0,0.0,0.005079,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,10,3,True,True,True,True,True,0.0,1.0,0.0,0.003492,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,11,3,True,True,True,True,True,0.0,1.0,0.0,0.005079,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.004444,0.004696,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,13,3,True,True,True,True,True,0.0,1.0,0.0,0.003175,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,14,3,True,True,True,True,True,0.0,1.0,0.0,0.004444,0.004641,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,15,3,True,True,True,True,True,0.0,1.0,0.0,0.005079,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,16,3,True,True,True,True,True,0.0,1.0,0.0,0.004762,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,17,3,True,True,True,True,True,0.0,1.0,0.0,0.004762,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,18,3,True,True,True,True,True,0.0,1.0,0.0,0.004762,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,19,3,True,True,True,True,True,0.0,1.0,0.0,0.005079,0.004504,0.999385,full_group_sync
kuramoto,baseline,all_to_all,identical,20,3,True,True,True,True,True,0.0,1.0,0.0,0.004762,0.00459,0.999385,full_group_sync
kuramoto,baseline,all_to_all,near_identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994606,full_group_sync
kuramoto,baseline,all_to_all,near_identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994606,full_group_sync
kuramoto,baseline,all_to_all,near_identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994606,full_group_sync
