model,variant,topology,freq_set,n_agents,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
eapf_consensus,consensus,all_to_all,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.006667,0.0,0.996932,full_group_sync
eapf_consensus,consensus,all_to_all,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.003509,0.003329,0.999406,full_group_sync
eapf_consensus,consensus,all_to_all,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.004333,0.006215,0.999672,full_group_sync
eapf_consensus,consensus,all_to_all,strong_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0025,0.003227,0.999932,full_group_sync
eapf_consensus,consensus,chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
eapf_consensus,consensus,chain,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.007368,0.004333,0.998855,full_group_sync
eapf_consensus,consensus,chain,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005667,0.007184,0.998951,full_group_sync
eapf_consensus,consensus,chain,strong_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.004583,0.004704,0.999866,full_group_sync
eapf_consensus,consensus,directed_chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
eapf_consensus,consensus,directed_chain,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.007368,0.004333,0.998855,full_group_sync
eapf_consensus,consensus,directed_chain,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005667,0.007184,0.998951,full_group_sync
eapf_consensus,consensus,directed_chain,strong_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.004583,0.004704,0.999866,full_group_sync
eapf_tracker,tracker,all_to_all,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.002037,1.0175,0.035,0.004175,0.004314,0.99875,full_group_sync
eapf_tracker,tracker,all_to_all,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005947,0.004342,0.999269,full_group_sync
eapf_tracker,tracker,all_to_all,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0049,0.004678,0.999294,full_group_sync
eapf_tracker,tracker,all_to_all,strong_heterogeneity,3,20,0.15,0.15,0.15,0.15,0.15,0.70188,1.425,0.68,0.080206,0.089699,0.715147,extra_flashes_or_harmonic_locking
eapf_tracker,tracker,chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.004076,1.0175,0.035,0.006984,0.006339,0.997934,full_group_sync
eapf_tracker,tracker,chain,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005947,0.004342,0.998986,full_group_sync
eapf_tracker,tracker,chain,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0049,0.004678,0.999057,full_group_sync
eapf_tracker,tracker,chain,strong_heterogeneity,3,20,0.0,0.0,0.0,0.0,0.0,0.749357,1.45625,0.73,0.08808,0.102438,0.673393,extra_flashes_or_harmonic_locking
eapf_tracker,tracker,directed_chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.004076,1.0175,0.035,0.006984,0.006339,0.997934,full_group_sync
eapf_tracker,tracker,directed_chain,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005947,0.004342,0.998986,full_group_sync
eapf_tracker,tracker,directed_chain,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0049,0.004678,0.999057,full_group_sync
eapf_tracker,tracker,directed_chain,strong_heterogeneity,3,20,0.0,0.0,0.0,0.0,0.0,0.749357,1.45625,0.73,0.08808,0.102438,0.673393,extra_flashes_or_harmonic_locking
kuramoto,baseline,all_to_all,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.000315,1.0,0.0,0.004413,0.00458,0.999385,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.001471,1.0,0.0,0.022159,0.004697,0.984841,full_group_sync
kuramoto,baseline,all_to_all,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.000105,1.0,0.0,0.01314,0.000851,0.994606,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.001336,1.0,0.0,0.043189,0.003348,0.945739,full_group_sync
kuramoto,baseline,chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.00021,1.0,0.0,0.006662,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,3,20,1.0,1.0,1.0,1.0,1.0,0.000526,1.0,0.0,0.033032,0.003988,0.966371,full_group_sync
kuramoto,baseline,chain,near_identical,3,20,1.0,1.0,1.0,1.0,1.0,0.001261,1.0,0.0,0.019731,0.003933,0.987916,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,3,20,1.0,0.15,1.0,1.0,1.0,0.001986,1.0,0.0,0.073109,0.062553,0.884997,full_group_sync
kuramoto,baseline,directed_chain,identical,3,20,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.0,0.014825,0.007099,0.994743,full_group_sync
kuramoto,baseline,directed_chain,moderate_heterogeneity,3,20,1.0,0.7,1.0,1.0,1.0,0.0,1.0,0.0,0.063807,0.027898,0.91531,full_group_sync
kuramoto,baseline,directed_chain,near_identical,3,20,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.038267,0.021659,0.967895,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,3,20,0.0,0.25,0.0,0.8,1.0,0.031646,1.0,0.0,0.17401,0.081357,0.557255,phase_not_synchronised
pco_adaptive_prc,adaptive_prc,all_to_all,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_adaptive_prc,adaptive_prc,all_to_all,moderate_heterogeneity,3,20,0.0,0.0,0.0,0.0,1.0,0.308527,1.1667,0.3,0.148966,0.150491,0.970412,frequency_not_locked
pco_adaptive_prc,adaptive_prc,all_to_all,near_identical,3,20,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.165085,0.077007,0.97071,phase_not_synchronised
pco_adaptive_prc,adaptive_prc,all_to_all,strong_heterogeneity,3,20,0.0,0.0,0.0,0.0,0.0,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_adaptive_prc,adaptive_prc,chain,moderate_heterogeneity,3,20,0.0,0.0,0.0,0.0,1.0,0.301968,1.1667,0.3,0.144828,0.138301,0.970464,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain,near_identical,3,20,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,adaptive_prc,chain,strong_heterogeneity,3,20,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,directed_chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_adaptive_prc,adaptive_prc,directed_chain,moderate_heterogeneity,3,20,0.0,0.0,0.0,0.0,1.0,0.301968,1.1667,0.3,0.144828,0.138301,0.970464,frequency_not_locked
pco_adaptive_prc,adaptive_prc,directed_chain,near_identical,3,20,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,adaptive_prc,directed_chain,strong_heterogeneity,3,20,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_simple,simple,all_to_all,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_simple,simple,all_to_all,moderate_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,0.703912,1.3889,0.7,0.093333,0.114319,0.973448,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,near_identical,3,20,0.0,0.0,1.0,0.0,0.0,0.477031,1.2632,0.5,0.085667,0.108102,0.974503,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,strong_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,1.076836,1.7333,1.1,0.085556,0.100011,0.972534,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_simple,simple,chain,moderate_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,0.521206,1.3333,0.6,0.0875,0.109625,0.976713,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,near_identical,3,20,0.0,0.0,1.0,0.0,1.0,0.275926,1.1579,0.3,0.065667,0.083744,0.98233,partial_phase_lock
pco_simple,simple,chain,strong_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,0.914684,1.6667,1.0,0.091296,0.107868,0.973017,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,identical,3,20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,full_group_sync
pco_simple,simple,directed_chain,moderate_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,0.521206,1.3333,0.6,0.0875,0.109625,0.976713,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,near_identical,3,20,0.0,0.0,1.0,0.0,1.0,0.275926,1.1579,0.3,0.065667,0.083744,0.98233,partial_phase_lock
pco_simple,simple,directed_chain,strong_heterogeneity,3,20,0.0,0.0,1.0,0.0,0.0,0.914684,1.6667,1.0,0.091296,0.107868,0.973017,partial_phase_lock_with_extra_flashes
