model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,local_ring_5,n5_near_identical,1,5,True,True,True,True,True,0.002097,1.0,0.0,0.028545,0.004369,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,2,5,True,True,True,True,True,0.0,1.0,0.0,0.028476,0.004383,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,3,5,True,True,True,True,True,0.0,1.0,0.0,0.028857,0.00406,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,4,5,True,True,True,True,True,0.0,1.0,0.0,0.028476,0.004374,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,5,5,True,True,True,True,True,0.002097,1.0,0.0,0.028381,0.00436,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,6,5,True,True,True,True,True,0.0,1.0,0.0,0.028,0.004443,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,7,5,True,True,True,True,True,0.0,1.0,0.0,0.028762,0.004084,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,8,5,True,True,True,True,True,0.002097,1.0,0.0,0.028762,0.004306,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,9,5,True,True,True,True,True,0.0,1.0,0.0,0.02872,0.004034,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,10,5,True,True,True,True,True,0.0,1.0,0.0,0.028952,0.004089,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,1,5,False,False,False,False,False,0.396513,1.2105,0.4,0.111294,0.113649,0.516044,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,2,5,False,False,False,False,False,0.394594,1.2105,0.4,0.10264,0.090616,0.516172,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,3,5,False,False,False,False,False,0.394594,1.2105,0.4,0.104257,0.100199,0.516682,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.40387,1.2105,0.4,0.101856,0.08279,0.519326,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,5,5,False,False,False,False,False,0.396906,1.2105,0.4,0.104653,0.100295,0.520375,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,6,5,False,False,False,False,False,0.405789,1.2105,0.4,0.103711,0.089404,0.521589,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,7,5,False,False,False,False,False,0.396513,1.2105,0.4,0.104455,0.097781,0.516268,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,8,5,False,False,False,False,False,0.392671,1.2105,0.4,0.105729,0.087379,0.518072,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,9,5,False,False,False,False,False,0.394594,1.2105,0.4,0.104307,0.098271,0.519048,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,10,5,False,False,False,False,False,0.396513,1.2105,0.4,0.103911,0.100391,0.516304,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_near_identical,1,5,False,True,False,True,True,0.002093,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,2,5,False,True,False,True,True,0.002093,1.0,0.0,0.075143,0.003991,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,3,5,False,True,False,True,True,0.0,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,4,5,False,True,False,True,True,0.002093,1.0,0.0,0.075048,0.00401,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,5,5,False,True,False,True,True,0.0,1.0,0.0,0.075143,0.003991,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,6,5,False,True,False,True,True,0.002093,1.0,0.0,0.075429,0.004385,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,7,5,False,True,False,True,True,0.002093,1.0,0.0,0.075143,0.003991,0.777213,offset_phase_locked
