t_s,agent_id,event_type,model
0.43,2,agent_flash,eapf_consensus
0.49,1,agent_flash,eapf_consensus
0.66,0,agent_flash,eapf_consensus
0.93,2,agent_flash,eapf_consensus
1.09,1,agent_flash,eapf_consensus
1.33,0,agent_flash,eapf_consensus
1.47,2,agent_flash,eapf_consensus
1.82,1,agent_flash,eapf_consensus
1.83,1,agent_flash,eapf_consensus
1.99,0,agent_flash,eapf_consensus
2.01,2,agent_flash,eapf_consensus
2.55,2,agent_flash,eapf_consensus
2.6,1,agent_flash,eapf_consensus
2.61,1,agent_flash,eapf_consensus
2.66,0,agent_flash,eapf_consensus
3.23,2,agent_flash,eapf_consensus
3.31,1,agent_flash,eapf_consensus
3.33,0,agent_flash,eapf_consensus
3.94,2,agent_flash,eapf_consensus
3.95,2,agent_flash,eapf_consensus
3.99,0,agent_flash,eapf_consensus
3.99,1,agent_flash,eapf_consensus
4.65,2,agent_flash,eapf_consensus
4.66,0,agent_flash,eapf_consensus
4.66,1,agent_flash,eapf_consensus
5.33,0,agent_flash,eapf_consensus
5.33,1,agent_flash,eapf_consensus
5.33,2,agent_flash,eapf_consensus
5.99,0,agent_flash,eapf_consensus
6.0,1,agent_flash,eapf_consensus
6.0,2,agent_flash,eapf_consensus
6.66,0,agent_flash,eapf_consensus
6.66,1,agent_flash,eapf_consensus
6.66,2,agent_flash,eapf_consensus
7.33,0,agent_flash,eapf_consensus
7.33,1,agent_flash,eapf_consensus
7.33,2,agent_flash,eapf_consensus
7.99,0,agent_flash,eapf_consensus
8.0,1,agent_flash,eapf_consensus
8.0,2,agent_flash,eapf_consensus
8.66,0,agent_flash,eapf_consensus
8.66,1,agent_flash,eapf_consensus
8.66,2,agent_flash,eapf_consensus
9.33,0,agent_flash,eapf_consensus
9.33,1,agent_flash,eapf_consensus
9.33,2,agent_flash,eapf_consensus
9.99,0,agent_flash,eapf_consensus
10.0,1,agent_flash,eapf_consensus
10.0,2,agent_flash,eapf_consensus
10.66,0,agent_flash,eapf_consensus
10.66,1,agent_flash,eapf_consensus
10.66,2,agent_flash,eapf_consensus
11.33,0,agent_flash,eapf_consensus
11.33,1,agent_flash,eapf_consensus
11.33,2,agent_flash,eapf_consensus
11.99,0,agent_flash,eapf_consensus
12.0,1,agent_flash,eapf_consensus
12.0,2,agent_flash,eapf_consensus
12.66,0,agent_flash,eapf_consensus
12.66,1,agent_flash,eapf_consensus
12.66,2,agent_flash,eapf_consensus
13.33,0,agent_flash,eapf_consensus
13.33,1,agent_flash,eapf_consensus
13.33,2,agent_flash,eapf_consensus
13.99,0,agent_flash,eapf_consensus
14.0,1,agent_flash,eapf_consensus
14.0,2,agent_flash,eapf_consensus
14.66,0,agent_flash,eapf_consensus
14.66,1,agent_flash,eapf_consensus
14.66,2,agent_flash,eapf_consensus
15.33,0,agent_flash,eapf_consensus
15.33,1,agent_flash,eapf_consensus
15.33,2,agent_flash,eapf_consensus
15.99,0,agent_flash,eapf_consensus
16.0,1,agent_flash,eapf_consensus
16.0,2,agent_flash,eapf_consensus
16.66,0,agent_flash,eapf_consensus
16.66,1,agent_flash,eapf_consensus
16.66,2,agent_flash,eapf_consensus
17.33,0,agent_flash,eapf_consensus
17.33,1,agent_flash,eapf_consensus
17.33,2,agent_flash,eapf_consensus
17.99,0,agent_flash,eapf_consensus
18.0,1,agent_flash,eapf_consensus
18.0,2,agent_flash,eapf_consensus
18.66,0,agent_flash,eapf_consensus
18.66,1,agent_flash,eapf_consensus
18.66,2,agent_flash,eapf_consensus
19.33,0,agent_flash,eapf_consensus
19.33,1,agent_flash,eapf_consensus
19.33,2,agent_flash,eapf_consensus
19.99,0,agent_flash,eapf_consensus
20.0,1,agent_flash,eapf_consensus
20.0,2,agent_flash,eapf_consensus
20.66,0,agent_flash,eapf_consensus
20.66,1,agent_flash,eapf_consensus
20.66,2,agent_flash,eapf_consensus
21.33,0,agent_flash,eapf_consensus
21.33,1,agent_flash,eapf_consensus
21.33,2,agent_flash,eapf_consensus
21.99,0,agent_flash,eapf_consensus
22.0,1,agent_flash,eapf_consensus
22.0,2,agent_flash,eapf_consensus
22.66,0,agent_flash,eapf_consensus
22.66,1,agent_flash,eapf_consensus
22.66,2,agent_flash,eapf_consensus
23.33,0,agent_flash,eapf_consensus
23.33,1,agent_flash,eapf_consensus
23.33,2,agent_flash,eapf_consensus
23.99,0,agent_flash,eapf_consensus
24.0,1,agent_flash,eapf_consensus
24.0,2,agent_flash,eapf_consensus
24.66,0,agent_flash,eapf_consensus
24.66,1,agent_flash,eapf_consensus
24.66,2,agent_flash,eapf_consensus
25.33,0,agent_flash,eapf_consensus
25.33,1,agent_flash,eapf_consensus
25.33,2,agent_flash,eapf_consensus
25.99,0,agent_flash,eapf_consensus
26.0,1,agent_flash,eapf_consensus
26.0,2,agent_flash,eapf_consensus
26.66,0,agent_flash,eapf_consensus
26.66,1,agent_flash,eapf_consensus
26.66,2,agent_flash,eapf_consensus
27.33,0,agent_flash,eapf_consensus
27.33,1,agent_flash,eapf_consensus
27.33,2,agent_flash,eapf_consensus
27.99,0,agent_flash,eapf_consensus
28.0,1,agent_flash,eapf_consensus
28.0,2,agent_flash,eapf_consensus
28.66,0,agent_flash,eapf_consensus
28.66,1,agent_flash,eapf_consensus
28.66,2,agent_flash,eapf_consensus
29.33,0,agent_flash,eapf_consensus
29.33,1,agent_flash,eapf_consensus
29.33,2,agent_flash,eapf_consensus
29.99,0,agent_flash,eapf_consensus
30.0,1,agent_flash,eapf_consensus
30.0,2,agent_flash,eapf_consensus
30.66,0,agent_flash,eapf_consensus
30.66,1,agent_flash,eapf_consensus
30.66,2,agent_flash,eapf_consensus
31.33,0,agent_flash,eapf_consensus
31.33,1,agent_flash,eapf_consensus
31.33,2,agent_flash,eapf_consensus
31.99,0,agent_flash,eapf_consensus
32.0,1,agent_flash,eapf_consensus
32.0,2,agent_flash,eapf_consensus
32.66,0,agent_flash,eapf_consensus
32.66,1,agent_flash,eapf_consensus
32.66,2,agent_flash,eapf_consensus
33.33,0,agent_flash,eapf_consensus
33.33,1,agent_flash,eapf_consensus
33.33,2,agent_flash,eapf_consensus
33.99,0,agent_flash,eapf_consensus
34.0,1,agent_flash,eapf_consensus
34.0,2,agent_flash,eapf_consensus
34.66,0,agent_flash,eapf_consensus
34.66,1,agent_flash,eapf_consensus
34.66,2,agent_flash,eapf_consensus
35.33,0,agent_flash,eapf_consensus
35.33,1,agent_flash,eapf_consensus
35.33,2,agent_flash,eapf_consensus
35.99,0,agent_flash,eapf_consensus
36.0,1,agent_flash,eapf_consensus
36.0,2,agent_flash,eapf_consensus
36.66,0,agent_flash,eapf_consensus
36.66,1,agent_flash,eapf_consensus
36.66,2,agent_flash,eapf_consensus
37.33,0,agent_flash,eapf_consensus
37.33,1,agent_flash,eapf_consensus
37.33,2,agent_flash,eapf_consensus
37.99,0,agent_flash,eapf_consensus
38.0,1,agent_flash,eapf_consensus
38.0,2,agent_flash,eapf_consensus
38.66,0,agent_flash,eapf_consensus
38.66,1,agent_flash,eapf_consensus
38.66,2,agent_flash,eapf_consensus
39.33,0,agent_flash,eapf_consensus
39.33,1,agent_flash,eapf_consensus
39.33,2,agent_flash,eapf_consensus
39.99,0,agent_flash,eapf_consensus
40.0,1,agent_flash,eapf_consensus
40.0,2,agent_flash,eapf_consensus
40.66,0,agent_flash,eapf_consensus
40.66,1,agent_flash,eapf_consensus
40.66,2,agent_flash,eapf_consensus
41.33,0,agent_flash,eapf_consensus
41.33,1,agent_flash,eapf_consensus
41.33,2,agent_flash,eapf_consensus
41.99,0,agent_flash,eapf_consensus
42.0,1,agent_flash,eapf_consensus
42.0,2,agent_flash,eapf_consensus
42.66,0,agent_flash,eapf_consensus
42.66,1,agent_flash,eapf_consensus
42.66,2,agent_flash,eapf_consensus
43.33,0,agent_flash,eapf_consensus
43.33,1,agent_flash,eapf_consensus
43.33,2,agent_flash,eapf_consensus
43.99,0,agent_flash,eapf_consensus
44.0,1,agent_flash,eapf_consensus
44.0,2,agent_flash,eapf_consensus
44.66,0,agent_flash,eapf_consensus
