t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf,2.950655,1.5,0
0.01,0,eapf,3.044903,1.5,0
0.02,0,eapf,3.139151,1.5,0
0.03,0,eapf,3.233399,1.5,0
0.04,0,eapf,3.327646,1.5,0
0.05,0,eapf,3.421894,1.5,0
0.06,0,eapf,3.516142,1.5,0
0.07,0,eapf,3.61039,1.5,0
0.08,0,eapf,3.704638,1.5,0
0.09,0,eapf,3.798885,1.5,0
0.1,0,eapf,3.893133,1.5,0
0.11,0,eapf,3.987381,1.5,0
0.12,0,eapf,4.081629,1.5,0
0.13,0,eapf,4.175876,1.5,0
0.14,0,eapf,4.270124,1.5,0
0.15,0,eapf,4.364372,1.5,0
0.16,0,eapf,4.45862,1.5,0
0.17,0,eapf,4.552868,1.5,0
0.18,0,eapf,4.647115,1.5,0
0.19,0,eapf,4.741363,1.5,0
0.2,0,eapf,4.835611,1.5,0
0.21,0,eapf,4.929859,1.5,0
0.22,0,eapf,5.024106,1.5,0
0.23,0,eapf,5.118354,1.5,0
0.24,0,eapf,5.212602,1.5,0
0.25,0,eapf,5.30685,1.5,0
0.26,0,eapf,5.401098,1.5,0
0.27,0,eapf,5.495345,1.5,0
0.28,0,eapf,5.589593,1.5,0
0.29,0,eapf,5.683841,1.5,0
0.3,0,eapf,5.778089,1.5,0
0.31,0,eapf,5.872336,1.5,0
0.32,0,eapf,5.966584,1.5,0
0.33,0,eapf,6.060832,1.5,0
0.34,0,eapf,6.15508,1.5,0
0.35,0,eapf,6.249328,1.5,0
0.36,0,eapf,0.06039,1.5,1
0.37,0,eapf,0.154638,1.5,0
0.38,0,eapf,0.248886,1.5,0
0.39,0,eapf,0.343133,1.5,0
0.4,0,eapf,0.437381,1.5,0
0.41,0,eapf,0.531629,1.5,0
0.42,0,eapf,0.625877,1.5,0
0.43,0,eapf,0.720125,1.5,0
0.44,0,eapf,0.814372,1.5,0
0.45,0,eapf,0.90862,1.5,0
0.46,0,eapf,1.002868,1.5,0
0.47,0,eapf,1.097116,1.5,0
0.48,0,eapf,1.191363,1.5,0
0.49,0,eapf,1.285611,1.5,0
0.5,0,eapf,1.379859,1.5,0
0.51,0,eapf,1.474107,1.5,0
0.52,0,eapf,1.568355,1.5,0
0.53,0,eapf,1.662602,1.5,0
0.54,0,eapf,1.75685,1.5,0
0.55,0,eapf,1.851098,1.5,0
0.56,0,eapf,1.945346,1.5,0
0.57,0,eapf,2.039593,1.5,0
0.58,0,eapf,2.133841,1.5,0
0.59,0,eapf,2.228089,1.5,0
0.6,0,eapf,2.322337,1.5,0
0.61,0,eapf,2.416585,1.5,0
0.62,0,eapf,2.510832,1.5,0
0.63,0,eapf,2.60508,1.5,0
0.64,0,eapf,2.699328,1.5,0
0.65,0,eapf,2.793576,1.5,0
0.66,0,eapf,2.887823,1.5,0
0.67,0,eapf,2.982071,1.5,0
0.68,0,eapf,3.076319,1.5,0
0.69,0,eapf,3.170567,1.5,0
0.7,0,eapf,3.264815,1.5,0
0.71,0,eapf,3.359062,1.5,0
0.72,0,eapf,3.45331,1.5,0
0.73,0,eapf,3.547558,1.5,0
0.74,0,eapf,3.641806,1.5,0
0.75,0,eapf,3.736053,1.5,0
0.76,0,eapf,3.830301,1.5,0
0.77,0,eapf,3.924549,1.5,0
0.78,0,eapf,4.018797,1.5,0
0.79,0,eapf,4.113045,1.5,0
0.8,0,eapf,4.207292,1.5,0
0.81,0,eapf,4.30154,1.5,0
0.82,0,eapf,4.395788,1.5,0
0.83,0,eapf,4.490036,1.5,0
0.84,0,eapf,4.584283,1.5,0
0.85,0,eapf,4.678531,1.5,0
0.86,0,eapf,4.772779,1.5,0
0.87,0,eapf,4.867027,1.5,0
0.88,0,eapf,4.961275,1.5,0
0.89,0,eapf,5.055522,1.5,0
0.9,0,eapf,5.14977,1.5,0
0.91,0,eapf,5.244018,1.5,0
0.92,0,eapf,5.338266,1.5,0
0.93,0,eapf,5.432514,1.5,0
0.94,0,eapf,5.526761,1.5,0
0.95,0,eapf,5.621009,1.5,0
0.96,0,eapf,5.715257,1.5,0
0.97,0,eapf,5.809505,1.5,0
0.98,0,eapf,5.903752,1.5,0
0.99,0,eapf,5.998,1.5,0
1.0,0,eapf,6.092248,1.5,0
1.01,0,eapf,6.186496,1.5,0
1.02,0,eapf,6.280744,1.5,0
1.03,0,eapf,0.091806,1.5,1
1.04,0,eapf,0.186054,1.5,0
1.05,0,eapf,0.280302,1.5,0
1.06,0,eapf,0.374549,1.5,0
1.07,0,eapf,0.468797,1.5,0
1.08,0,eapf,0.563045,1.5,0
