t_s,agent_id,event_type,model
0.04,1,agent_flash,eapf
0.36,0,agent_flash,eapf
0.39,2,agent_flash,eapf
0.47,1,agent_flash,eapf
0.87,2,agent_flash,eapf
0.96,1,agent_flash,eapf
1.03,0,agent_flash,eapf
1.42,2,agent_flash,eapf
1.48,1,agent_flash,eapf
1.69,0,agent_flash,eapf
1.82,2,agent_flash,eapf
2.07,1,agent_flash,eapf
2.19,2,agent_flash,eapf
2.36,0,agent_flash,eapf
2.49,1,agent_flash,eapf
2.62,2,agent_flash,eapf
2.98,1,agent_flash,eapf
3.03,0,agent_flash,eapf
3.03,2,agent_flash,eapf
3.46,2,agent_flash,eapf
3.5,1,agent_flash,eapf
3.69,0,agent_flash,eapf
4.01,2,agent_flash,eapf
4.09,1,agent_flash,eapf
4.36,0,agent_flash,eapf
4.45,2,agent_flash,eapf
4.5,1,agent_flash,eapf
4.92,2,agent_flash,eapf
5.0,1,agent_flash,eapf
5.03,0,agent_flash,eapf
5.45,2,agent_flash,eapf
5.51,1,agent_flash,eapf
5.69,0,agent_flash,eapf
6.04,2,agent_flash,eapf
6.09,1,agent_flash,eapf
6.36,0,agent_flash,eapf
6.47,2,agent_flash,eapf
6.5,1,agent_flash,eapf
6.96,2,agent_flash,eapf
7.0,1,agent_flash,eapf
7.03,0,agent_flash,eapf
7.48,2,agent_flash,eapf
7.51,1,agent_flash,eapf
7.69,0,agent_flash,eapf
8.07,2,agent_flash,eapf
8.09,1,agent_flash,eapf
8.36,0,agent_flash,eapf
8.49,2,agent_flash,eapf
8.5,1,agent_flash,eapf
8.98,2,agent_flash,eapf
9.0,1,agent_flash,eapf
9.03,0,agent_flash,eapf
9.5,2,agent_flash,eapf
9.51,1,agent_flash,eapf
9.69,0,agent_flash,eapf
10.09,1,agent_flash,eapf
10.09,2,agent_flash,eapf
10.36,0,agent_flash,eapf
10.5,1,agent_flash,eapf
10.5,2,agent_flash,eapf
10.99,2,agent_flash,eapf
11.0,1,agent_flash,eapf
11.03,0,agent_flash,eapf
11.51,1,agent_flash,eapf
11.51,2,agent_flash,eapf
11.69,0,agent_flash,eapf
12.09,1,agent_flash,eapf
12.09,2,agent_flash,eapf
12.36,0,agent_flash,eapf
12.5,1,agent_flash,eapf
12.5,2,agent_flash,eapf
12.99,1,agent_flash,eapf
13.0,2,agent_flash,eapf
13.03,0,agent_flash,eapf
13.51,1,agent_flash,eapf
13.51,2,agent_flash,eapf
13.69,0,agent_flash,eapf
14.09,1,agent_flash,eapf
14.09,2,agent_flash,eapf
14.36,0,agent_flash,eapf
14.5,1,agent_flash,eapf
14.5,2,agent_flash,eapf
14.99,1,agent_flash,eapf
15.0,2,agent_flash,eapf
15.03,0,agent_flash,eapf
15.51,1,agent_flash,eapf
15.51,2,agent_flash,eapf
15.69,0,agent_flash,eapf
16.09,1,agent_flash,eapf
16.09,2,agent_flash,eapf
16.36,0,agent_flash,eapf
16.5,1,agent_flash,eapf
16.5,2,agent_flash,eapf
16.99,1,agent_flash,eapf
17.0,2,agent_flash,eapf
17.03,0,agent_flash,eapf
17.51,1,agent_flash,eapf
17.51,2,agent_flash,eapf
17.69,0,agent_flash,eapf
18.09,1,agent_flash,eapf
18.09,2,agent_flash,eapf
18.36,0,agent_flash,eapf
18.5,1,agent_flash,eapf
18.5,2,agent_flash,eapf
18.99,1,agent_flash,eapf
19.0,2,agent_flash,eapf
19.03,0,agent_flash,eapf
19.51,1,agent_flash,eapf
19.51,2,agent_flash,eapf
19.69,0,agent_flash,eapf
20.09,1,agent_flash,eapf
20.09,2,agent_flash,eapf
20.36,0,agent_flash,eapf
20.5,1,agent_flash,eapf
20.5,2,agent_flash,eapf
20.99,1,agent_flash,eapf
21.0,2,agent_flash,eapf
21.03,0,agent_flash,eapf
21.51,1,agent_flash,eapf
21.51,2,agent_flash,eapf
21.69,0,agent_flash,eapf
22.09,1,agent_flash,eapf
22.09,2,agent_flash,eapf
22.36,0,agent_flash,eapf
22.5,1,agent_flash,eapf
22.5,2,agent_flash,eapf
22.99,1,agent_flash,eapf
23.0,2,agent_flash,eapf
23.03,0,agent_flash,eapf
23.51,1,agent_flash,eapf
23.51,2,agent_flash,eapf
23.69,0,agent_flash,eapf
24.09,1,agent_flash,eapf
