t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,kuramoto,2.933061,1.5,0
0.01,0,kuramoto,3.008459,1.5,0
0.02,0,kuramoto,3.082633,1.5,0
0.03,0,kuramoto,3.155623,1.5,0
0.04,0,kuramoto,3.227473,1.5,0
0.05,0,kuramoto,3.298232,1.5,0
0.06,0,kuramoto,3.367955,1.5,0
0.07,0,kuramoto,3.436701,1.5,0
0.08,0,kuramoto,3.504538,1.5,0
0.09,0,kuramoto,3.571544,1.5,0
0.1,0,kuramoto,3.637806,1.5,0
0.11,0,kuramoto,3.703427,1.5,0
0.12,0,kuramoto,3.768524,1.5,0
0.13,0,kuramoto,3.833234,1.5,0
0.14,0,kuramoto,3.897714,1.5,0
0.15,0,kuramoto,3.962141,1.5,0
0.16,0,kuramoto,4.026715,1.5,0
0.17,0,kuramoto,4.091653,1.5,0
0.18,0,kuramoto,4.157189,1.5,0
0.19,0,kuramoto,4.223565,1.5,0
0.2,0,kuramoto,4.291027,1.5,0
0.21,0,kuramoto,4.359816,1.5,0
0.22,0,kuramoto,4.43016,1.5,0
0.23,0,kuramoto,4.502266,1.5,0
0.24,0,kuramoto,4.576314,1.5,0
0.25,0,kuramoto,4.652451,1.5,0
0.26,0,kuramoto,4.730788,1.5,0
0.27,0,kuramoto,4.811401,1.5,0
0.28,0,kuramoto,4.89433,1.5,0
0.29,0,kuramoto,4.979582,1.5,0
0.3,0,kuramoto,5.067135,1.5,0
0.31,0,kuramoto,5.156943,1.5,0
0.32,0,kuramoto,5.248938,1.5,0
0.33,0,kuramoto,5.343039,1.5,0
0.34,0,kuramoto,5.439152,1.5,0
0.35,0,kuramoto,5.537177,1.5,0
0.36,0,kuramoto,5.637008,1.5,0
0.37,0,kuramoto,5.73854,1.5,0
0.38,0,kuramoto,5.841665,1.5,0
0.39,0,kuramoto,5.94628,1.5,0
0.4,0,kuramoto,6.052285,1.5,0
0.41,0,kuramoto,6.159584,1.5,0
0.42,0,kuramoto,6.268085,1.5,0
0.43,0,kuramoto,0.094518,1.5,1
0.44,0,kuramoto,0.205171,1.5,0
0.45,0,kuramoto,0.316785,1.5,0
0.46,0,kuramoto,0.429288,1.5,0
0.47,0,kuramoto,0.542615,1.5,0
0.48,0,kuramoto,0.656705,1.5,0
0.49,0,kuramoto,0.771503,1.5,0
0.5,0,kuramoto,0.886955,1.5,0
0.51,0,kuramoto,1.003013,1.5,0
0.52,0,kuramoto,1.119634,1.5,0
0.53,0,kuramoto,1.236776,1.5,0
0.54,0,kuramoto,1.354401,1.5,0
0.55,0,kuramoto,1.472474,1.5,0
0.56,0,kuramoto,1.590963,1.5,0
0.57,0,kuramoto,1.709838,1.5,0
0.58,0,kuramoto,1.829072,1.5,0
0.59,0,kuramoto,1.948638,1.5,0
0.6,0,kuramoto,2.068514,1.5,0
0.61,0,kuramoto,2.188677,1.5,0
0.62,0,kuramoto,2.309108,1.5,0
0.63,0,kuramoto,2.429787,1.5,0
0.64,0,kuramoto,2.550699,1.5,0
0.65,0,kuramoto,2.671826,1.5,0
0.66,0,kuramoto,2.793153,1.5,0
0.67,0,kuramoto,2.914668,1.5,0
0.68,0,kuramoto,3.036357,1.5,0
0.69,0,kuramoto,3.158208,1.5,0
0.7,0,kuramoto,3.280211,1.5,0
0.71,0,kuramoto,3.402355,1.5,0
0.72,0,kuramoto,3.524631,1.5,0
0.73,0,kuramoto,3.64703,1.5,0
0.74,0,kuramoto,3.769544,1.5,0
0.75,0,kuramoto,3.892165,1.5,0
0.76,0,kuramoto,4.014886,1.5,0
0.77,0,kuramoto,4.137701,1.5,0
0.78,0,kuramoto,4.260603,1.5,0
0.79,0,kuramoto,4.383587,1.5,0
0.8,0,kuramoto,4.506647,1.5,0
0.81,0,kuramoto,4.629778,1.5,0
0.82,0,kuramoto,4.752976,1.5,0
0.83,0,kuramoto,4.876236,1.5,0
0.84,0,kuramoto,4.999554,1.5,0
0.85,0,kuramoto,5.122927,1.5,0
