t_s,agent_id,event_type,model
0.04,1,agent_flash,kuramoto
0.37,2,agent_flash,kuramoto
0.42,1,agent_flash,kuramoto
0.43,0,agent_flash,kuramoto
0.88,2,agent_flash,kuramoto
0.91,1,agent_flash,kuramoto
0.95,0,agent_flash,kuramoto
1.39,2,agent_flash,kuramoto
1.42,1,agent_flash,kuramoto
1.46,0,agent_flash,kuramoto
1.9,2,agent_flash,kuramoto
1.92,1,agent_flash,kuramoto
1.96,0,agent_flash,kuramoto
2.4,2,agent_flash,kuramoto
2.43,1,agent_flash,kuramoto
2.47,0,agent_flash,kuramoto
2.91,2,agent_flash,kuramoto
2.93,1,agent_flash,kuramoto
2.97,0,agent_flash,kuramoto
3.41,2,agent_flash,kuramoto
3.44,1,agent_flash,kuramoto
3.48,0,agent_flash,kuramoto
3.92,2,agent_flash,kuramoto
3.95,1,agent_flash,kuramoto
3.99,0,agent_flash,kuramoto
4.43,2,agent_flash,kuramoto
4.45,1,agent_flash,kuramoto
4.49,0,agent_flash,kuramoto
4.93,2,agent_flash,kuramoto
4.96,1,agent_flash,kuramoto
5.0,0,agent_flash,kuramoto
5.44,2,agent_flash,kuramoto
5.46,1,agent_flash,kuramoto
5.5,0,agent_flash,kuramoto
5.94,2,agent_flash,kuramoto
5.97,1,agent_flash,kuramoto
6.01,0,agent_flash,kuramoto
6.45,2,agent_flash,kuramoto
6.48,1,agent_flash,kuramoto
6.52,0,agent_flash,kuramoto
6.96,2,agent_flash,kuramoto
6.98,1,agent_flash,kuramoto
7.02,0,agent_flash,kuramoto
7.46,2,agent_flash,kuramoto
7.49,1,agent_flash,kuramoto
7.53,0,agent_flash,kuramoto
7.97,2,agent_flash,kuramoto
7.99,1,agent_flash,kuramoto
8.03,0,agent_flash,kuramoto
8.47,2,agent_flash,kuramoto
8.5,1,agent_flash,kuramoto
8.54,0,agent_flash,kuramoto
8.98,2,agent_flash,kuramoto
9.01,1,agent_flash,kuramoto
9.05,0,agent_flash,kuramoto
9.49,2,agent_flash,kuramoto
9.51,1,agent_flash,kuramoto
9.55,0,agent_flash,kuramoto
9.99,2,agent_flash,kuramoto
