t_s,agent_id,event_type,model
0.43,2,agent_flash,pco_if
0.49,1,agent_flash,pco_if
0.66,0,agent_flash,pco_if
0.86,2,agent_flash,pco_if
0.95,1,agent_flash,pco_if
1.26,2,agent_flash,pco_if
1.33,0,agent_flash,pco_if
1.5,1,agent_flash,pco_if
1.7,2,agent_flash,pco_if
2.0,0,agent_flash,pco_if
2.0,1,agent_flash,pco_if
2.18,2,agent_flash,pco_if
2.5,1,agent_flash,pco_if
2.66,2,agent_flash,pco_if
2.67,0,agent_flash,pco_if
2.96,1,agent_flash,pco_if
3.14,2,agent_flash,pco_if
3.34,0,agent_flash,pco_if
3.51,1,agent_flash,pco_if
3.6,2,agent_flash,pco_if
4.01,0,agent_flash,pco_if
4.01,1,agent_flash,pco_if
4.06,2,agent_flash,pco_if
4.5,2,agent_flash,pco_if
4.51,1,agent_flash,pco_if
4.68,0,agent_flash,pco_if
4.92,2,agent_flash,pco_if
4.97,1,agent_flash,pco_if
5.33,2,agent_flash,pco_if
5.35,0,agent_flash,pco_if
5.52,1,agent_flash,pco_if
5.75,2,agent_flash,pco_if
6.02,0,agent_flash,pco_if
6.02,1,agent_flash,pco_if
6.22,2,agent_flash,pco_if
6.52,1,agent_flash,pco_if
6.69,0,agent_flash,pco_if
6.7,2,agent_flash,pco_if
6.98,1,agent_flash,pco_if
7.17,2,agent_flash,pco_if
7.36,0,agent_flash,pco_if
7.53,1,agent_flash,pco_if
7.63,2,agent_flash,pco_if
8.03,0,agent_flash,pco_if
8.03,1,agent_flash,pco_if
8.09,2,agent_flash,pco_if
8.53,1,agent_flash,pco_if
8.53,2,agent_flash,pco_if
8.7,0,agent_flash,pco_if
8.94,2,agent_flash,pco_if
8.99,1,agent_flash,pco_if
9.35,2,agent_flash,pco_if
9.37,0,agent_flash,pco_if
9.54,1,agent_flash,pco_if
9.77,2,agent_flash,pco_if
10.04,0,agent_flash,pco_if
10.04,1,agent_flash,pco_if
10.24,2,agent_flash,pco_if
10.54,1,agent_flash,pco_if
10.71,0,agent_flash,pco_if
10.72,2,agent_flash,pco_if
11.0,1,agent_flash,pco_if
11.19,2,agent_flash,pco_if
11.38,0,agent_flash,pco_if
11.55,1,agent_flash,pco_if
11.65,2,agent_flash,pco_if
12.05,0,agent_flash,pco_if
12.05,1,agent_flash,pco_if
12.11,2,agent_flash,pco_if
12.55,1,agent_flash,pco_if
12.55,2,agent_flash,pco_if
12.72,0,agent_flash,pco_if
12.96,2,agent_flash,pco_if
13.01,1,agent_flash,pco_if
13.37,2,agent_flash,pco_if
13.39,0,agent_flash,pco_if
13.56,1,agent_flash,pco_if
13.79,2,agent_flash,pco_if
14.06,0,agent_flash,pco_if
14.06,1,agent_flash,pco_if
14.26,2,agent_flash,pco_if
14.56,1,agent_flash,pco_if
14.73,0,agent_flash,pco_if
14.74,2,agent_flash,pco_if
15.02,1,agent_flash,pco_if
15.21,2,agent_flash,pco_if
