t_s,agent_id,event_type,model
0.43,2,agent_flash,pco_if
0.49,1,agent_flash,pco_if
0.66,0,agent_flash,pco_if
0.78,2,agent_flash,pco_if
0.94,1,agent_flash,pco_if
1.18,2,agent_flash,pco_if
1.33,0,agent_flash,pco_if
1.39,1,agent_flash,pco_if
1.53,2,agent_flash,pco_if
1.89,1,agent_flash,pco_if
1.93,2,agent_flash,pco_if
2.0,0,agent_flash,pco_if
2.33,2,agent_flash,pco_if
2.34,1,agent_flash,pco_if
2.67,0,agent_flash,pco_if
2.73,2,agent_flash,pco_if
2.79,1,agent_flash,pco_if
3.13,2,agent_flash,pco_if
3.29,1,agent_flash,pco_if
3.34,0,agent_flash,pco_if
3.48,2,agent_flash,pco_if
3.74,1,agent_flash,pco_if
3.88,2,agent_flash,pco_if
4.01,0,agent_flash,pco_if
4.19,1,agent_flash,pco_if
4.23,2,agent_flash,pco_if
4.67,2,agent_flash,pco_if
4.68,0,agent_flash,pco_if
4.68,1,agent_flash,pco_if
5.11,2,agent_flash,pco_if
5.18,1,agent_flash,pco_if
5.35,0,agent_flash,pco_if
5.46,2,agent_flash,pco_if
5.63,1,agent_flash,pco_if
5.86,2,agent_flash,pco_if
6.02,0,agent_flash,pco_if
6.08,1,agent_flash,pco_if
6.21,2,agent_flash,pco_if
6.58,1,agent_flash,pco_if
6.61,2,agent_flash,pco_if
6.69,0,agent_flash,pco_if
7.01,2,agent_flash,pco_if
7.03,1,agent_flash,pco_if
7.36,0,agent_flash,pco_if
7.41,2,agent_flash,pco_if
7.48,1,agent_flash,pco_if
7.81,2,agent_flash,pco_if
7.98,1,agent_flash,pco_if
8.03,0,agent_flash,pco_if
8.16,2,agent_flash,pco_if
8.43,1,agent_flash,pco_if
8.56,2,agent_flash,pco_if
8.7,0,agent_flash,pco_if
8.88,1,agent_flash,pco_if
8.91,2,agent_flash,pco_if
9.35,2,agent_flash,pco_if
9.37,0,agent_flash,pco_if
9.37,1,agent_flash,pco_if
9.79,2,agent_flash,pco_if
9.87,1,agent_flash,pco_if
10.04,0,agent_flash,pco_if
10.14,2,agent_flash,pco_if
10.32,1,agent_flash,pco_if
10.54,2,agent_flash,pco_if
10.71,0,agent_flash,pco_if
10.77,1,agent_flash,pco_if
10.89,2,agent_flash,pco_if
11.27,1,agent_flash,pco_if
11.29,2,agent_flash,pco_if
11.38,0,agent_flash,pco_if
11.69,2,agent_flash,pco_if
11.72,1,agent_flash,pco_if
12.05,0,agent_flash,pco_if
12.09,2,agent_flash,pco_if
12.17,1,agent_flash,pco_if
12.49,2,agent_flash,pco_if
12.67,1,agent_flash,pco_if
12.72,0,agent_flash,pco_if
12.84,2,agent_flash,pco_if
13.12,1,agent_flash,pco_if
13.24,2,agent_flash,pco_if
13.39,0,agent_flash,pco_if
13.57,1,agent_flash,pco_if
13.59,2,agent_flash,pco_if
14.03,2,agent_flash,pco_if
14.06,0,agent_flash,pco_if
