trial_id,model,topology,n_agents,group_sync_success,final_frequency_spread_hz,mean_pairwise_timing_error_s,flash_timing_dispersion_s,mean_order_parameter_R,final_order_parameter_R
kuramoto_all_to_all_r01,kuramoto,all_to_all,3,True,0.0,0.066667,0.1,0.874471,0.874471
kuramoto_all_to_all_r02,kuramoto,all_to_all,3,True,0.0,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r03,kuramoto,all_to_all,3,True,0.0,0.067,0.1005,0.874471,0.874471
kuramoto_all_to_all_r04,kuramoto,all_to_all,3,True,0.0,0.066667,0.1,0.874471,0.874471
kuramoto_all_to_all_r05,kuramoto,all_to_all,3,True,0.0,0.06623,0.097143,0.874471,0.874471
kuramoto_all_to_all_r06,kuramoto,all_to_all,3,True,0.0,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r07,kuramoto,all_to_all,3,True,0.0,0.067,0.1005,0.874471,0.874471
kuramoto_all_to_all_r08,kuramoto,all_to_all,3,True,0.0,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r09,kuramoto,all_to_all,3,True,0.0,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r10,kuramoto,all_to_all,3,True,0.0,0.066667,0.1,0.874471,0.874471
kuramoto_all_to_all_r11,kuramoto,all_to_all,3,True,0.0,0.066557,0.097619,0.874471,0.874471
kuramoto_all_to_all_r12,kuramoto,all_to_all,3,True,0.0,0.067,0.1005,0.874471,0.874471
kuramoto_all_to_all_r13,kuramoto,all_to_all,3,True,0.0,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r14,kuramoto,all_to_all,3,True,0.0,0.066885,0.098095,0.874471,0.874471
kuramoto_all_to_all_r15,kuramoto,all_to_all,3,True,0.0,0.06623,0.097143,0.874471,0.874471
kuramoto_all_to_all_r16,kuramoto,all_to_all,3,True,0.0,0.066667,0.1,0.874471,0.874471
kuramoto_all_to_all_r17,kuramoto,all_to_all,3,True,0.002017,0.067333,0.101,0.874471,0.874471
kuramoto_all_to_all_r18,kuramoto,all_to_all,3,True,0.0,0.066667,0.1,0.874471,0.874471
kuramoto_all_to_all_r19,kuramoto,all_to_all,3,True,0.002017,0.066066,0.096667,0.874471,0.874471
kuramoto_all_to_all_r20,kuramoto,all_to_all,3,True,0.002017,0.067333,0.101,0.874471,0.874471
kuramoto_chain_r01,kuramoto,chain,3,False,0.0,0.095,0.1425,0.754906,0.754906
kuramoto_chain_r02,kuramoto,chain,3,False,0.0,0.094098,0.138095,0.754906,0.754906
kuramoto_chain_r03,kuramoto,chain,3,False,0.002051,0.104516,0.142,0.754906,0.754906
kuramoto_chain_r04,kuramoto,chain,3,False,0.002051,0.104839,0.1425,0.754906,0.754906
kuramoto_chain_r05,kuramoto,chain,3,False,0.0,0.104839,0.1425,0.754906,0.754906
kuramoto_chain_r06,kuramoto,chain,3,False,0.0,0.105161,0.143,0.754906,0.754906
kuramoto_chain_r07,kuramoto,chain,3,False,0.0,0.094098,0.138095,0.754906,0.754906
kuramoto_chain_r08,kuramoto,chain,3,False,0.0,0.104516,0.142,0.754906,0.754906
kuramoto_chain_r09,kuramoto,chain,3,False,0.002051,0.105484,0.1435,0.754906,0.754906
kuramoto_chain_r10,kuramoto,chain,3,False,0.0,0.105161,0.143,0.754906,0.754906
kuramoto_chain_r11,kuramoto,chain,3,False,0.002051,0.105484,0.1435,0.754906,0.754906
kuramoto_chain_r12,kuramoto,chain,3,False,0.002051,0.105161,0.143,0.754906,0.754906
kuramoto_chain_r13,kuramoto,chain,3,False,0.002051,0.105161,0.1435,0.754906,0.754906
kuramoto_chain_r14,kuramoto,chain,3,False,0.0,0.104194,0.142,0.754906,0.754906
kuramoto_chain_r15,kuramoto,chain,3,False,0.0,0.104516,0.142,0.754906,0.754906
kuramoto_chain_r16,kuramoto,chain,3,False,0.0,0.095,0.1425,0.754906,0.754906
kuramoto_chain_r17,kuramoto,chain,3,False,0.0,0.103871,0.1415,0.754906,0.754906
kuramoto_chain_r18,kuramoto,chain,3,False,0.002051,0.104194,0.142,0.754906,0.754906
kuramoto_chain_r19,kuramoto,chain,3,False,0.0,0.104194,0.142,0.754906,0.754906
