t_s,agent_id,event_type,model
0.07,1,agent_flash,eapf
0.17,2,agent_flash,eapf
0.28,0,agent_flash,eapf
0.64,1,agent_flash,eapf
0.64,2,agent_flash,eapf
0.94,0,agent_flash,eapf
1.03,2,agent_flash,eapf
1.09,1,agent_flash,eapf
1.48,2,agent_flash,eapf
1.59,1,agent_flash,eapf
1.61,0,agent_flash,eapf
1.99,2,agent_flash,eapf
2.1,1,agent_flash,eapf
2.28,0,agent_flash,eapf
2.41,2,agent_flash,eapf
2.66,1,agent_flash,eapf
2.79,2,agent_flash,eapf
2.94,0,agent_flash,eapf
3.1,1,agent_flash,eapf
3.22,2,agent_flash,eapf
3.6,1,agent_flash,eapf
3.61,0,agent_flash,eapf
3.63,2,agent_flash,eapf
4.06,2,agent_flash,eapf
4.11,1,agent_flash,eapf
4.28,0,agent_flash,eapf
4.57,2,agent_flash,eapf
4.67,1,agent_flash,eapf
4.94,0,agent_flash,eapf
5.02,2,agent_flash,eapf
5.1,1,agent_flash,eapf
5.48,2,agent_flash,eapf
5.6,1,agent_flash,eapf
5.61,0,agent_flash,eapf
6.0,2,agent_flash,eapf
6.1,1,agent_flash,eapf
6.28,0,agent_flash,eapf
6.42,2,agent_flash,eapf
6.66,1,agent_flash,eapf
6.81,2,agent_flash,eapf
6.94,0,agent_flash,eapf
7.1,1,agent_flash,eapf
7.23,2,agent_flash,eapf
7.6,1,agent_flash,eapf
7.61,0,agent_flash,eapf
7.64,2,agent_flash,eapf
8.07,2,agent_flash,eapf
8.1,1,agent_flash,eapf
8.28,0,agent_flash,eapf
8.58,2,agent_flash,eapf
8.66,1,agent_flash,eapf
8.94,0,agent_flash,eapf
9.02,2,agent_flash,eapf
9.1,1,agent_flash,eapf
9.49,2,agent_flash,eapf
9.59,1,agent_flash,eapf
9.61,0,agent_flash,eapf
10.0,2,agent_flash,eapf
10.1,1,agent_flash,eapf
10.28,0,agent_flash,eapf
10.43,2,agent_flash,eapf
10.66,1,agent_flash,eapf
10.81,2,agent_flash,eapf
10.94,0,agent_flash,eapf
11.09,1,agent_flash,eapf
11.23,2,agent_flash,eapf
11.59,1,agent_flash,eapf
11.61,0,agent_flash,eapf
11.64,2,agent_flash,eapf
12.07,2,agent_flash,eapf
12.09,1,agent_flash,eapf
12.28,0,agent_flash,eapf
12.58,2,agent_flash,eapf
12.66,1,agent_flash,eapf
12.94,0,agent_flash,eapf
13.02,2,agent_flash,eapf
13.09,1,agent_flash,eapf
13.49,2,agent_flash,eapf
13.59,1,agent_flash,eapf
13.61,0,agent_flash,eapf
14.0,2,agent_flash,eapf
14.09,1,agent_flash,eapf
14.28,0,agent_flash,eapf
14.42,2,agent_flash,eapf
14.66,1,agent_flash,eapf
14.81,2,agent_flash,eapf
14.94,0,agent_flash,eapf
15.09,1,agent_flash,eapf
15.23,2,agent_flash,eapf
15.59,1,agent_flash,eapf
15.61,0,agent_flash,eapf
15.64,2,agent_flash,eapf
16.07,2,agent_flash,eapf
16.09,1,agent_flash,eapf
16.28,0,agent_flash,eapf
16.58,2,agent_flash,eapf
16.66,1,agent_flash,eapf
16.94,0,agent_flash,eapf
17.02,2,agent_flash,eapf
17.09,1,agent_flash,eapf
17.49,2,agent_flash,eapf
17.59,1,agent_flash,eapf
17.61,0,agent_flash,eapf
18.0,2,agent_flash,eapf
18.09,1,agent_flash,eapf
18.28,0,agent_flash,eapf
18.42,2,agent_flash,eapf
18.66,1,agent_flash,eapf
18.81,2,agent_flash,eapf
18.94,0,agent_flash,eapf
19.09,1,agent_flash,eapf
19.23,2,agent_flash,eapf
19.59,1,agent_flash,eapf
19.61,0,agent_flash,eapf
19.64,2,agent_flash,eapf
20.07,2,agent_flash,eapf
20.1,1,agent_flash,eapf
20.28,0,agent_flash,eapf
20.58,2,agent_flash,eapf
20.66,1,agent_flash,eapf
20.94,0,agent_flash,eapf
21.02,2,agent_flash,eapf
21.09,1,agent_flash,eapf
21.49,2,agent_flash,eapf
21.59,1,agent_flash,eapf
21.61,0,agent_flash,eapf
22.0,2,agent_flash,eapf
22.1,1,agent_flash,eapf
22.28,0,agent_flash,eapf
22.43,2,agent_flash,eapf
22.66,1,agent_flash,eapf
22.81,2,agent_flash,eapf
22.94,0,agent_flash,eapf
23.09,1,agent_flash,eapf
23.23,2,agent_flash,eapf
23.59,1,agent_flash,eapf
23.61,0,agent_flash,eapf
23.64,2,agent_flash,eapf
24.07,2,agent_flash,eapf
24.1,1,agent_flash,eapf
24.28,0,agent_flash,eapf
24.58,2,agent_flash,eapf
24.66,1,agent_flash,eapf
24.94,0,agent_flash,eapf
25.02,2,agent_flash,eapf
25.09,1,agent_flash,eapf
25.49,2,agent_flash,eapf
25.59,1,agent_flash,eapf
25.61,0,agent_flash,eapf
26.0,2,agent_flash,eapf
26.1,1,agent_flash,eapf
26.28,0,agent_flash,eapf
26.43,2,agent_flash,eapf
26.66,1,agent_flash,eapf
26.81,2,agent_flash,eapf
26.94,0,agent_flash,eapf
27.09,1,agent_flash,eapf
27.23,2,agent_flash,eapf
27.59,1,agent_flash,eapf
27.61,0,agent_flash,eapf
27.64,2,agent_flash,eapf
28.07,2,agent_flash,eapf
28.1,1,agent_flash,eapf
28.28,0,agent_flash,eapf
28.58,2,agent_flash,eapf
28.66,1,agent_flash,eapf
28.94,0,agent_flash,eapf
29.02,2,agent_flash,eapf
29.09,1,agent_flash,eapf
29.49,2,agent_flash,eapf
29.59,1,agent_flash,eapf
29.61,0,agent_flash,eapf
30.0,2,agent_flash,eapf
30.1,1,agent_flash,eapf
30.28,0,agent_flash,eapf
30.43,2,agent_flash,eapf
30.66,1,agent_flash,eapf
30.81,2,agent_flash,eapf
30.94,0,agent_flash,eapf
31.09,1,agent_flash,eapf
31.23,2,agent_flash,eapf
31.59,1,agent_flash,eapf
31.61,0,agent_flash,eapf
31.64,2,agent_flash,eapf
32.07,2,agent_flash,eapf
32.1,1,agent_flash,eapf
32.28,0,agent_flash,eapf
32.58,2,agent_flash,eapf
32.66,1,agent_flash,eapf
32.94,0,agent_flash,eapf
33.02,2,agent_flash,eapf
33.09,1,agent_flash,eapf
33.49,2,agent_flash,eapf
33.59,1,agent_flash,eapf
33.61,0,agent_flash,eapf
34.0,2,agent_flash,eapf
34.1,1,agent_flash,eapf
34.28,0,agent_flash,eapf
34.43,2,agent_flash,eapf
34.66,1,agent_flash,eapf
34.81,2,agent_flash,eapf
34.94,0,agent_flash,eapf
35.09,1,agent_flash,eapf
35.23,2,agent_flash,eapf
35.59,1,agent_flash,eapf
35.61,0,agent_flash,eapf
35.64,2,agent_flash,eapf
36.07,2,agent_flash,eapf
36.1,1,agent_flash,eapf
36.28,0,agent_flash,eapf
36.58,2,agent_flash,eapf
36.66,1,agent_flash,eapf
36.94,0,agent_flash,eapf
37.02,2,agent_flash,eapf
37.09,1,agent_flash,eapf
37.49,2,agent_flash,eapf
37.59,1,agent_flash,eapf
37.61,0,agent_flash,eapf
38.0,2,agent_flash,eapf
38.1,1,agent_flash,eapf
38.28,0,agent_flash,eapf
38.43,2,agent_flash,eapf
38.66,1,agent_flash,eapf
38.81,2,agent_flash,eapf
38.94,0,agent_flash,eapf
39.09,1,agent_flash,eapf
39.23,2,agent_flash,eapf
39.59,1,agent_flash,eapf
39.61,0,agent_flash,eapf
39.64,2,agent_flash,eapf
40.07,2,agent_flash,eapf
40.1,1,agent_flash,eapf
40.28,0,agent_flash,eapf
40.58,2,agent_flash,eapf
40.66,1,agent_flash,eapf
40.94,0,agent_flash,eapf
41.02,2,agent_flash,eapf
41.09,1,agent_flash,eapf
41.49,2,agent_flash,eapf
41.59,1,agent_flash,eapf
41.61,0,agent_flash,eapf
42.0,2,agent_flash,eapf
42.1,1,agent_flash,eapf
42.28,0,agent_flash,eapf
42.43,2,agent_flash,eapf
42.66,1,agent_flash,eapf
42.81,2,agent_flash,eapf
42.94,0,agent_flash,eapf
43.09,1,agent_flash,eapf
43.23,2,agent_flash,eapf
43.59,1,agent_flash,eapf
43.61,0,agent_flash,eapf
43.64,2,agent_flash,eapf
44.07,2,agent_flash,eapf
44.1,1,agent_flash,eapf
44.28,0,agent_flash,eapf
44.58,2,agent_flash,eapf
44.66,1,agent_flash,eapf
44.94,0,agent_flash,eapf
45.02,2,agent_flash,eapf
45.09,1,agent_flash,eapf
45.49,2,agent_flash,eapf
45.59,1,agent_flash,eapf
45.61,0,agent_flash,eapf
46.0,2,agent_flash,eapf
46.1,1,agent_flash,eapf
46.28,0,agent_flash,eapf
46.43,2,agent_flash,eapf
46.66,1,agent_flash,eapf
46.81,2,agent_flash,eapf
46.94,0,agent_flash,eapf
47.09,1,agent_flash,eapf
47.23,2,agent_flash,eapf
47.59,1,agent_flash,eapf
47.61,0,agent_flash,eapf
47.64,2,agent_flash,eapf
48.07,2,agent_flash,eapf
48.1,1,agent_flash,eapf
48.28,0,agent_flash,eapf
48.58,2,agent_flash,eapf
48.66,1,agent_flash,eapf
48.94,0,agent_flash,eapf
49.02,2,agent_flash,eapf
49.09,1,agent_flash,eapf
49.49,2,agent_flash,eapf
49.59,1,agent_flash,eapf
49.61,0,agent_flash,eapf
50.0,2,agent_flash,eapf
50.1,1,agent_flash,eapf
50.28,0,agent_flash,eapf
50.43,2,agent_flash,eapf
50.66,1,agent_flash,eapf
50.81,2,agent_flash,eapf
50.94,0,agent_flash,eapf
51.09,1,agent_flash,eapf
51.23,2,agent_flash,eapf
51.59,1,agent_flash,eapf
51.61,0,agent_flash,eapf
51.64,2,agent_flash,eapf
52.07,2,agent_flash,eapf
52.1,1,agent_flash,eapf
52.28,0,agent_flash,eapf
52.58,2,agent_flash,eapf
52.66,1,agent_flash,eapf
52.94,0,agent_flash,eapf
53.02,2,agent_flash,eapf
53.09,1,agent_flash,eapf
53.49,2,agent_flash,eapf
53.59,1,agent_flash,eapf
53.61,0,agent_flash,eapf
54.0,2,agent_flash,eapf
54.1,1,agent_flash,eapf
54.28,0,agent_flash,eapf
54.43,2,agent_flash,eapf
54.66,1,agent_flash,eapf
54.81,2,agent_flash,eapf
54.94,0,agent_flash,eapf
55.09,1,agent_flash,eapf
55.23,2,agent_flash,eapf
55.59,1,agent_flash,eapf
55.61,0,agent_flash,eapf
55.64,2,agent_flash,eapf
56.07,2,agent_flash,eapf
56.1,1,agent_flash,eapf
56.28,0,agent_flash,eapf
56.58,2,agent_flash,eapf
56.66,1,agent_flash,eapf
56.94,0,agent_flash,eapf
57.02,2,agent_flash,eapf
57.09,1,agent_flash,eapf
57.49,2,agent_flash,eapf
57.59,1,agent_flash,eapf
57.61,0,agent_flash,eapf
58.0,2,agent_flash,eapf
58.1,1,agent_flash,eapf
58.28,0,agent_flash,eapf
58.43,2,agent_flash,eapf
58.66,1,agent_flash,eapf
58.81,2,agent_flash,eapf
58.94,0,agent_flash,eapf
59.09,1,agent_flash,eapf
59.23,2,agent_flash,eapf
59.59,1,agent_flash,eapf
59.61,0,agent_flash,eapf
59.64,2,agent_flash,eapf
