t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf,5.610543,1.5,0
0.01,0,eapf,5.70479,1.5,0
0.02,0,eapf,5.799038,1.5,0
0.03,0,eapf,5.893286,1.5,0
0.04,0,eapf,5.987534,1.5,0
0.05,0,eapf,6.081781,1.5,0
0.06,0,eapf,6.176029,1.5,0
0.07,0,eapf,6.270277,1.5,0
0.08,0,eapf,0.081339,1.5,1
0.09,0,eapf,0.175587,1.5,0
0.1,0,eapf,0.269835,1.5,0
0.11,0,eapf,0.364083,1.5,0
0.12,0,eapf,0.458331,1.5,0
0.13,0,eapf,0.552578,1.5,0
0.14,0,eapf,0.646826,1.5,0
0.15,0,eapf,0.741074,1.5,0
0.16,0,eapf,0.835322,1.5,0
0.17,0,eapf,0.929569,1.5,0
0.18,0,eapf,1.023817,1.5,0
0.19,0,eapf,1.118065,1.5,0
0.2,0,eapf,1.212313,1.5,0
0.21,0,eapf,1.306561,1.5,0
0.22,0,eapf,1.400808,1.5,0
0.23,0,eapf,1.495056,1.5,0
0.24,0,eapf,1.589304,1.5,0
0.25,0,eapf,1.683552,1.5,0
0.26,0,eapf,1.777799,1.5,0
0.27,0,eapf,1.872047,1.5,0
0.28,0,eapf,1.966295,1.5,0
0.29,0,eapf,2.060543,1.5,0
0.3,0,eapf,2.154791,1.5,0
0.31,0,eapf,2.249038,1.5,0
0.32,0,eapf,2.343286,1.5,0
0.33,0,eapf,2.437534,1.5,0
0.34,0,eapf,2.531782,1.5,0
0.35,0,eapf,2.62603,1.5,0
0.36,0,eapf,2.720277,1.5,0
0.37,0,eapf,2.814525,1.5,0
0.38,0,eapf,2.908773,1.5,0
0.39,0,eapf,3.003021,1.5,0
0.4,0,eapf,3.097268,1.5,0
0.41,0,eapf,3.191516,1.5,0
0.42,0,eapf,3.285764,1.5,0
0.43,0,eapf,3.380012,1.5,0
0.44,0,eapf,3.47426,1.5,0
0.45,0,eapf,3.568507,1.5,0
0.46,0,eapf,3.662755,1.5,0
0.47,0,eapf,3.757003,1.5,0
0.48,0,eapf,3.851251,1.5,0
0.49,0,eapf,3.945498,1.5,0
0.5,0,eapf,4.039746,1.5,0
0.51,0,eapf,4.133994,1.5,0
0.52,0,eapf,4.228242,1.5,0
0.53,0,eapf,4.32249,1.5,0
0.54,0,eapf,4.416737,1.5,0
0.55,0,eapf,4.510985,1.5,0
0.56,0,eapf,4.605233,1.5,0
0.57,0,eapf,4.699481,1.5,0
0.58,0,eapf,4.793728,1.5,0
0.59,0,eapf,4.887976,1.5,0
