t_s,agent_id,event_type,model
0.03,1,agent_flash,kuramoto
0.15,2,agent_flash,kuramoto
0.33,0,agent_flash,kuramoto
0.49,1,agent_flash,kuramoto
0.52,2,agent_flash,kuramoto
0.92,2,agent_flash,kuramoto
0.95,1,agent_flash,kuramoto
1.0,0,agent_flash,kuramoto
1.44,2,agent_flash,kuramoto
1.56,1,agent_flash,kuramoto
1.67,0,agent_flash,kuramoto
2.0,2,agent_flash,kuramoto
2.21,1,agent_flash,kuramoto
2.33,0,agent_flash,kuramoto
2.51,2,agent_flash,kuramoto
2.88,1,agent_flash,kuramoto
2.89,2,agent_flash,kuramoto
3.0,0,agent_flash,kuramoto
3.39,2,agent_flash,kuramoto
3.54,1,agent_flash,kuramoto
3.67,0,agent_flash,kuramoto
3.96,2,agent_flash,kuramoto
4.21,1,agent_flash,kuramoto
4.33,0,agent_flash,kuramoto
4.41,2,agent_flash,kuramoto
4.81,2,agent_flash,kuramoto
4.87,1,agent_flash,kuramoto
5.0,0,agent_flash,kuramoto
5.36,2,agent_flash,kuramoto
5.54,1,agent_flash,kuramoto
5.67,0,agent_flash,kuramoto
5.9,2,agent_flash,kuramoto
6.21,1,agent_flash,kuramoto
6.28,2,agent_flash,kuramoto
6.33,0,agent_flash,kuramoto
6.75,2,agent_flash,kuramoto
6.87,1,agent_flash,kuramoto
7.0,0,agent_flash,kuramoto
7.32,2,agent_flash,kuramoto
7.54,1,agent_flash,kuramoto
7.67,0,agent_flash,kuramoto
7.81,2,agent_flash,kuramoto
8.18,2,agent_flash,kuramoto
8.21,1,agent_flash,kuramoto
8.33,0,agent_flash,kuramoto
8.71,2,agent_flash,kuramoto
8.87,1,agent_flash,kuramoto
9.0,0,agent_flash,kuramoto
9.27,2,agent_flash,kuramoto
9.54,1,agent_flash,kuramoto
9.67,0,agent_flash,kuramoto
9.69,2,agent_flash,kuramoto
10.11,2,agent_flash,kuramoto
10.21,1,agent_flash,kuramoto
10.33,0,agent_flash,kuramoto
10.67,2,agent_flash,kuramoto
10.87,1,agent_flash,kuramoto
11.0,0,agent_flash,kuramoto
11.2,2,agent_flash,kuramoto
11.54,1,agent_flash,kuramoto
11.57,2,agent_flash,kuramoto
11.67,0,agent_flash,kuramoto
12.07,2,agent_flash,kuramoto
12.21,1,agent_flash,kuramoto
12.33,0,agent_flash,kuramoto
12.63,2,agent_flash,kuramoto
12.87,1,agent_flash,kuramoto
13.0,0,agent_flash,kuramoto
13.09,2,agent_flash,kuramoto
13.48,2,agent_flash,kuramoto
13.54,1,agent_flash,kuramoto
13.67,0,agent_flash,kuramoto
14.03,2,agent_flash,kuramoto
14.21,1,agent_flash,kuramoto
14.33,0,agent_flash,kuramoto
14.58,2,agent_flash,kuramoto
14.87,1,agent_flash,kuramoto
14.97,2,agent_flash,kuramoto
15.0,0,agent_flash,kuramoto
15.42,2,agent_flash,kuramoto
15.54,1,agent_flash,kuramoto
15.67,0,agent_flash,kuramoto
15.99,2,agent_flash,kuramoto
16.21,1,agent_flash,kuramoto
16.33,0,agent_flash,kuramoto
16.49,2,agent_flash,kuramoto
16.86,2,agent_flash,kuramoto
16.87,1,agent_flash,kuramoto
17.0,0,agent_flash,kuramoto
17.38,2,agent_flash,kuramoto
17.54,1,agent_flash,kuramoto
17.67,0,agent_flash,kuramoto
17.94,2,agent_flash,kuramoto
18.21,1,agent_flash,kuramoto
18.33,0,agent_flash,kuramoto
18.37,2,agent_flash,kuramoto
18.79,2,agent_flash,kuramoto
18.87,1,agent_flash,kuramoto
19.0,0,agent_flash,kuramoto
19.35,2,agent_flash,kuramoto
19.54,1,agent_flash,kuramoto
19.67,0,agent_flash,kuramoto
19.88,2,agent_flash,kuramoto
20.21,1,agent_flash,kuramoto
20.25,2,agent_flash,kuramoto
20.33,0,agent_flash,kuramoto
20.74,2,agent_flash,kuramoto
20.87,1,agent_flash,kuramoto
21.0,0,agent_flash,kuramoto
21.31,2,agent_flash,kuramoto
21.54,1,agent_flash,kuramoto
21.67,0,agent_flash,kuramoto
21.78,2,agent_flash,kuramoto
22.16,2,agent_flash,kuramoto
22.21,1,agent_flash,kuramoto
22.33,0,agent_flash,kuramoto
22.7,2,agent_flash,kuramoto
22.87,1,agent_flash,kuramoto
23.0,0,agent_flash,kuramoto
23.25,2,agent_flash,kuramoto
23.54,1,agent_flash,kuramoto
23.66,2,agent_flash,kuramoto
23.67,0,agent_flash,kuramoto
24.1,2,agent_flash,kuramoto
24.21,1,agent_flash,kuramoto
24.33,0,agent_flash,kuramoto
24.66,2,agent_flash,kuramoto
24.87,1,agent_flash,kuramoto
25.0,0,agent_flash,kuramoto
25.17,2,agent_flash,kuramoto
25.54,1,agent_flash,kuramoto
25.54,2,agent_flash,kuramoto
25.67,0,agent_flash,kuramoto
26.06,2,agent_flash,kuramoto
26.21,1,agent_flash,kuramoto
26.33,0,agent_flash,kuramoto
26.62,2,agent_flash,kuramoto
26.87,1,agent_flash,kuramoto
27.0,0,agent_flash,kuramoto
27.06,2,agent_flash,kuramoto
27.47,2,agent_flash,kuramoto
27.54,1,agent_flash,kuramoto
27.67,0,agent_flash,kuramoto
28.02,2,agent_flash,kuramoto
28.21,1,agent_flash,kuramoto
28.33,0,agent_flash,kuramoto
28.56,2,agent_flash,kuramoto
28.87,1,agent_flash,kuramoto
28.94,2,agent_flash,kuramoto
29.0,0,agent_flash,kuramoto
29.41,2,agent_flash,kuramoto
29.54,1,agent_flash,kuramoto
29.67,0,agent_flash,kuramoto
29.98,2,agent_flash,kuramoto
30.21,1,agent_flash,kuramoto
30.33,0,agent_flash,kuramoto
30.46,2,agent_flash,kuramoto
30.84,2,agent_flash,kuramoto
30.87,1,agent_flash,kuramoto
31.0,0,agent_flash,kuramoto
31.37,2,agent_flash,kuramoto
31.54,1,agent_flash,kuramoto
31.67,0,agent_flash,kuramoto
31.93,2,agent_flash,kuramoto
32.21,1,agent_flash,kuramoto
32.33,0,agent_flash,kuramoto
32.34,2,agent_flash,kuramoto
32.77,2,agent_flash,kuramoto
32.87,1,agent_flash,kuramoto
33.0,0,agent_flash,kuramoto
33.34,2,agent_flash,kuramoto
33.54,1,agent_flash,kuramoto
33.67,0,agent_flash,kuramoto
33.85,2,agent_flash,kuramoto
34.21,1,agent_flash,kuramoto
34.23,2,agent_flash,kuramoto
34.33,0,agent_flash,kuramoto
34.73,2,agent_flash,kuramoto
34.87,1,agent_flash,kuramoto
35.0,0,agent_flash,kuramoto
35.29,2,agent_flash,kuramoto
35.54,1,agent_flash,kuramoto
35.67,0,agent_flash,kuramoto
35.75,2,agent_flash,kuramoto
36.14,2,agent_flash,kuramoto
36.21,1,agent_flash,kuramoto
36.33,0,agent_flash,kuramoto
36.69,2,agent_flash,kuramoto
36.87,1,agent_flash,kuramoto
37.0,0,agent_flash,kuramoto
37.23,2,agent_flash,kuramoto
37.54,1,agent_flash,kuramoto
37.62,2,agent_flash,kuramoto
