t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,kuramoto,4.923802,1.5,0
0.01,0,kuramoto,5.01805,1.5,0
0.02,0,kuramoto,5.112298,1.5,0
0.03,0,kuramoto,5.206546,1.5,0
0.04,0,kuramoto,5.300794,1.5,0
0.05,0,kuramoto,5.395041,1.5,0
0.06,0,kuramoto,5.489289,1.5,0
0.07,0,kuramoto,5.583537,1.5,0
0.08,0,kuramoto,5.677785,1.5,0
0.09,0,kuramoto,5.772032,1.5,0
0.1,0,kuramoto,5.86628,1.5,0
0.11,0,kuramoto,5.960528,1.5,0
0.12,0,kuramoto,6.054776,1.5,0
0.13,0,kuramoto,6.149024,1.5,0
0.14,0,kuramoto,6.243271,1.5,0
0.15,0,kuramoto,0.054334,1.5,1
0.16,0,kuramoto,0.148582,1.5,0
0.17,0,kuramoto,0.242829,1.5,0
0.18,0,kuramoto,0.337077,1.5,0
0.19,0,kuramoto,0.431325,1.5,0
0.2,0,kuramoto,0.525573,1.5,0
0.21,0,kuramoto,0.61982,1.5,0
0.22,0,kuramoto,0.714068,1.5,0
0.23,0,kuramoto,0.808316,1.5,0
0.24,0,kuramoto,0.902564,1.5,0
0.25,0,kuramoto,0.996812,1.5,0
0.26,0,kuramoto,1.091059,1.5,0
0.27,0,kuramoto,1.185307,1.5,0
0.28,0,kuramoto,1.279555,1.5,0
0.29,0,kuramoto,1.373803,1.5,0
0.3,0,kuramoto,1.46805,1.5,0
0.31,0,kuramoto,1.562298,1.5,0
0.32,0,kuramoto,1.656546,1.5,0
0.33,0,kuramoto,1.750794,1.5,0
0.34,0,kuramoto,1.845042,1.5,0
0.35,0,kuramoto,1.939289,1.5,0
0.36,0,kuramoto,2.033537,1.5,0
0.37,0,kuramoto,2.127785,1.5,0
0.38,0,kuramoto,2.222033,1.5,0
0.39,0,kuramoto,2.316281,1.5,0
0.4,0,kuramoto,2.410528,1.5,0
0.41,0,kuramoto,2.504776,1.5,0
0.42,0,kuramoto,2.599024,1.5,0
0.43,0,kuramoto,2.693272,1.5,0
0.44,0,kuramoto,2.787519,1.5,0
0.45,0,kuramoto,2.881767,1.5,0
0.46,0,kuramoto,2.976015,1.5,0
0.47,0,kuramoto,3.070263,1.5,0
0.48,0,kuramoto,3.164511,1.5,0
0.49,0,kuramoto,3.258758,1.5,0
0.5,0,kuramoto,3.353006,1.5,0
0.51,0,kuramoto,3.447254,1.5,0
0.52,0,kuramoto,3.541502,1.5,0
0.53,0,kuramoto,3.635749,1.5,0
0.54,0,kuramoto,3.729997,1.5,0
0.55,0,kuramoto,3.824245,1.5,0
0.56,0,kuramoto,3.918493,1.5,0
0.57,0,kuramoto,4.012741,1.5,0
0.58,0,kuramoto,4.106988,1.5,0
0.59,0,kuramoto,4.201236,1.5,0
0.6,0,kuramoto,4.295484,1.5,0
0.61,0,kuramoto,4.389732,1.5,0
0.62,0,kuramoto,4.483979,1.5,0
0.63,0,kuramoto,4.578227,1.5,0
