t_s,agent_id,event_type,model
0.01,1,agent_flash,kuramoto
0.17,2,agent_flash,kuramoto
0.36,0,agent_flash,kuramoto
0.54,1,agent_flash,kuramoto
0.58,2,agent_flash,kuramoto
1.0,2,agent_flash,kuramoto
1.02,1,agent_flash,kuramoto
1.07,0,agent_flash,kuramoto
1.5,2,agent_flash,kuramoto
1.53,1,agent_flash,kuramoto
1.59,0,agent_flash,kuramoto
2.0,2,agent_flash,kuramoto
2.04,1,agent_flash,kuramoto
2.1,0,agent_flash,kuramoto
2.52,2,agent_flash,kuramoto
2.55,1,agent_flash,kuramoto
2.62,0,agent_flash,kuramoto
3.03,2,agent_flash,kuramoto
3.06,1,agent_flash,kuramoto
3.13,0,agent_flash,kuramoto
3.54,2,agent_flash,kuramoto
3.57,1,agent_flash,kuramoto
3.64,0,agent_flash,kuramoto
4.05,2,agent_flash,kuramoto
4.09,1,agent_flash,kuramoto
4.15,0,agent_flash,kuramoto
4.56,2,agent_flash,kuramoto
4.6,1,agent_flash,kuramoto
4.66,0,agent_flash,kuramoto
5.07,2,agent_flash,kuramoto
5.11,1,agent_flash,kuramoto
5.17,0,agent_flash,kuramoto
5.58,2,agent_flash,kuramoto
5.62,1,agent_flash,kuramoto
5.68,0,agent_flash,kuramoto
6.09,2,agent_flash,kuramoto
6.13,1,agent_flash,kuramoto
6.19,0,agent_flash,kuramoto
6.6,2,agent_flash,kuramoto
6.64,1,agent_flash,kuramoto
6.7,0,agent_flash,kuramoto
7.11,2,agent_flash,kuramoto
7.15,1,agent_flash,kuramoto
7.21,0,agent_flash,kuramoto
7.63,2,agent_flash,kuramoto
7.66,1,agent_flash,kuramoto
7.73,0,agent_flash,kuramoto
8.14,2,agent_flash,kuramoto
8.17,1,agent_flash,kuramoto
8.24,0,agent_flash,kuramoto
8.65,2,agent_flash,kuramoto
8.69,1,agent_flash,kuramoto
8.75,0,agent_flash,kuramoto
9.16,2,agent_flash,kuramoto
9.2,1,agent_flash,kuramoto
9.26,0,agent_flash,kuramoto
9.67,2,agent_flash,kuramoto
9.71,1,agent_flash,kuramoto
9.77,0,agent_flash,kuramoto
10.18,2,agent_flash,kuramoto
10.22,1,agent_flash,kuramoto
10.28,0,agent_flash,kuramoto
10.69,2,agent_flash,kuramoto
10.73,1,agent_flash,kuramoto
10.79,0,agent_flash,kuramoto
11.2,2,agent_flash,kuramoto
11.24,1,agent_flash,kuramoto
11.3,0,agent_flash,kuramoto
11.71,2,agent_flash,kuramoto
11.75,1,agent_flash,kuramoto
11.81,0,agent_flash,kuramoto
12.22,2,agent_flash,kuramoto
12.26,1,agent_flash,kuramoto
12.32,0,agent_flash,kuramoto
12.74,2,agent_flash,kuramoto
12.77,1,agent_flash,kuramoto
12.84,0,agent_flash,kuramoto
13.25,2,agent_flash,kuramoto
13.28,1,agent_flash,kuramoto
13.35,0,agent_flash,kuramoto
13.76,2,agent_flash,kuramoto
13.8,1,agent_flash,kuramoto
13.86,0,agent_flash,kuramoto
14.27,2,agent_flash,kuramoto
