t_s,agent_id,event_type,model
0.05,1,agent_flash,eapf
0.12,0,agent_flash,eapf
0.42,2,agent_flash,eapf
0.57,1,agent_flash,eapf
0.79,0,agent_flash,eapf
0.91,2,agent_flash,eapf
1.15,1,agent_flash,eapf
1.29,2,agent_flash,eapf
1.45,0,agent_flash,eapf
1.6,1,agent_flash,eapf
1.69,2,agent_flash,eapf
2.11,1,agent_flash,eapf
2.12,0,agent_flash,eapf
2.12,2,agent_flash,eapf
2.55,2,agent_flash,eapf
2.62,1,agent_flash,eapf
2.79,0,agent_flash,eapf
3.01,2,agent_flash,eapf
3.18,1,agent_flash,eapf
3.45,0,agent_flash,eapf
3.5,2,agent_flash,eapf
3.62,1,agent_flash,eapf
3.99,2,agent_flash,eapf
4.12,0,agent_flash,eapf
4.12,1,agent_flash,eapf
4.48,2,agent_flash,eapf
4.63,1,agent_flash,eapf
4.79,0,agent_flash,eapf
4.99,2,agent_flash,eapf
5.19,1,agent_flash,eapf
5.45,0,agent_flash,eapf
5.52,2,agent_flash,eapf
5.62,1,agent_flash,eapf
6.02,2,agent_flash,eapf
6.12,0,agent_flash,eapf
6.12,1,agent_flash,eapf
6.54,2,agent_flash,eapf
6.62,1,agent_flash,eapf
6.79,0,agent_flash,eapf
7.05,2,agent_flash,eapf
7.18,1,agent_flash,eapf
7.45,0,agent_flash,eapf
7.58,2,agent_flash,eapf
7.61,1,agent_flash,eapf
8.08,2,agent_flash,eapf
8.11,1,agent_flash,eapf
8.12,0,agent_flash,eapf
8.59,2,agent_flash,eapf
8.61,1,agent_flash,eapf
8.79,0,agent_flash,eapf
9.09,2,agent_flash,eapf
9.17,1,agent_flash,eapf
9.45,0,agent_flash,eapf
9.61,1,agent_flash,eapf
9.62,2,agent_flash,eapf
10.1,1,agent_flash,eapf
10.11,2,agent_flash,eapf
10.12,0,agent_flash,eapf
10.61,1,agent_flash,eapf
10.61,2,agent_flash,eapf
10.79,0,agent_flash,eapf
11.11,2,agent_flash,eapf
11.17,1,agent_flash,eapf
11.45,0,agent_flash,eapf
11.6,1,agent_flash,eapf
11.63,2,agent_flash,eapf
12.1,1,agent_flash,eapf
12.12,0,agent_flash,eapf
12.12,2,agent_flash,eapf
12.6,1,agent_flash,eapf
12.62,2,agent_flash,eapf
12.79,0,agent_flash,eapf
13.12,2,agent_flash,eapf
13.17,1,agent_flash,eapf
13.45,0,agent_flash,eapf
13.6,1,agent_flash,eapf
13.63,2,agent_flash,eapf
14.1,1,agent_flash,eapf
14.12,0,agent_flash,eapf
14.12,2,agent_flash,eapf
14.6,1,agent_flash,eapf
14.62,2,agent_flash,eapf
14.79,0,agent_flash,eapf
15.12,2,agent_flash,eapf
15.16,1,agent_flash,eapf
15.45,0,agent_flash,eapf
15.6,1,agent_flash,eapf
15.62,2,agent_flash,eapf
16.1,1,agent_flash,eapf
16.12,0,agent_flash,eapf
16.12,2,agent_flash,eapf
16.6,1,agent_flash,eapf
16.61,2,agent_flash,eapf
16.79,0,agent_flash,eapf
17.11,2,agent_flash,eapf
