t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf,4.059825,1.5,0
0.01,0,eapf,4.154073,1.5,0
0.02,0,eapf,4.24832,1.5,0
0.03,0,eapf,4.342568,1.5,0
0.04,0,eapf,4.436816,1.5,0
0.05,0,eapf,4.531064,1.5,0
0.06,0,eapf,4.625312,1.5,0
0.07,0,eapf,4.719559,1.5,0
0.08,0,eapf,4.813807,1.5,0
0.09,0,eapf,4.908055,1.5,0
0.1,0,eapf,5.002303,1.5,0
0.11,0,eapf,5.09655,1.5,0
0.12,0,eapf,5.190798,1.5,0
0.13,0,eapf,5.285046,1.5,0
0.14,0,eapf,5.379294,1.5,0
0.15,0,eapf,5.473542,1.5,0
0.16,0,eapf,5.567789,1.5,0
0.17,0,eapf,5.662037,1.5,0
0.18,0,eapf,5.756285,1.5,0
0.19,0,eapf,5.850533,1.5,0
0.2,0,eapf,5.94478,1.5,0
0.21,0,eapf,6.039028,1.5,0
0.22,0,eapf,6.133276,1.5,0
0.23,0,eapf,6.227524,1.5,0
0.24,0,eapf,0.038586,1.5,1
0.25,0,eapf,0.132834,1.5,0
0.26,0,eapf,0.227082,1.5,0
0.27,0,eapf,0.32133,1.5,0
0.28,0,eapf,0.415577,1.5,0
0.29,0,eapf,0.509825,1.5,0
0.3,0,eapf,0.604073,1.5,0
0.31,0,eapf,0.698321,1.5,0
0.32,0,eapf,0.792569,1.5,0
0.33,0,eapf,0.886816,1.5,0
0.34,0,eapf,0.981064,1.5,0
0.35,0,eapf,1.075312,1.5,0
0.36,0,eapf,1.16956,1.5,0
0.37,0,eapf,1.263807,1.5,0
0.38,0,eapf,1.358055,1.5,0
0.39,0,eapf,1.452303,1.5,0
0.4,0,eapf,1.546551,1.5,0
0.41,0,eapf,1.640799,1.5,0
0.42,0,eapf,1.735046,1.5,0
0.43,0,eapf,1.829294,1.5,0
0.44,0,eapf,1.923542,1.5,0
0.45,0,eapf,2.01779,1.5,0
0.46,0,eapf,2.112037,1.5,0
