t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf,4.112544,1.5,0
0.01,0,eapf,4.206792,1.5,0
0.02,0,eapf,4.301039,1.5,0
0.03,0,eapf,4.395287,1.5,0
0.04,0,eapf,4.489535,1.5,0
0.05,0,eapf,4.583783,1.5,0
0.06,0,eapf,4.67803,1.5,0
0.07,0,eapf,4.772278,1.5,0
0.08,0,eapf,4.866526,1.5,0
0.09,0,eapf,4.960774,1.5,0
0.1,0,eapf,5.055022,1.5,0
0.11,0,eapf,5.149269,1.5,0
0.12,0,eapf,5.243517,1.5,0
0.13,0,eapf,5.337765,1.5,0
0.14,0,eapf,5.432013,1.5,0
0.15,0,eapf,5.52626,1.5,0
0.16,0,eapf,5.620508,1.5,0
0.17,0,eapf,5.714756,1.5,0
0.18,0,eapf,5.809004,1.5,0
0.19,0,eapf,5.903252,1.5,0
0.2,0,eapf,5.997499,1.5,0
0.21,0,eapf,6.091747,1.5,0
0.22,0,eapf,6.185995,1.5,0
0.23,0,eapf,6.280243,1.5,0
0.24,0,eapf,0.091305,1.5,1
0.25,0,eapf,0.185553,1.5,0
0.26,0,eapf,0.279801,1.5,0
0.27,0,eapf,0.374049,1.5,0
0.28,0,eapf,0.468296,1.5,0
0.29,0,eapf,0.562544,1.5,0
0.3,0,eapf,0.656792,1.5,0
0.31,0,eapf,0.75104,1.5,0
0.32,0,eapf,0.845287,1.5,0
0.33,0,eapf,0.939535,1.5,0
0.34,0,eapf,1.033783,1.5,0
0.35,0,eapf,1.128031,1.5,0
0.36,0,eapf,1.222279,1.5,0
0.37,0,eapf,1.316526,1.5,0
0.38,0,eapf,1.410774,1.5,0
0.39,0,eapf,1.505022,1.5,0
0.4,0,eapf,1.59927,1.5,0
0.41,0,eapf,1.693517,1.5,0
0.42,0,eapf,1.787765,1.5,0
0.43,0,eapf,1.882013,1.5,0
0.44,0,eapf,1.976261,1.5,0
0.45,0,eapf,2.070509,1.5,0
0.46,0,eapf,2.164756,1.5,0
0.47,0,eapf,2.259004,1.5,0
0.48,0,eapf,2.353252,1.5,0
0.49,0,eapf,2.4475,1.5,0
0.5,0,eapf,2.541747,1.5,0
0.51,0,eapf,2.635995,1.5,0
0.52,0,eapf,2.730243,1.5,0
0.53,0,eapf,2.824491,1.5,0
0.54,0,eapf,2.918739,1.5,0
0.55,0,eapf,3.012986,1.5,0
0.56,0,eapf,3.107234,1.5,0
0.57,0,eapf,3.201482,1.5,0
0.58,0,eapf,3.29573,1.5,0
0.59,0,eapf,3.389977,1.5,0
0.6,0,eapf,3.484225,1.5,0
0.61,0,eapf,3.578473,1.5,0
0.62,0,eapf,3.672721,1.5,0
0.63,0,eapf,3.766969,1.5,0
0.64,0,eapf,3.861216,1.5,0
0.65,0,eapf,3.955464,1.5,0
0.66,0,eapf,4.049712,1.5,0
0.67,0,eapf,4.14396,1.5,0
0.68,0,eapf,4.238207,1.5,0
0.69,0,eapf,4.332455,1.5,0
0.7,0,eapf,4.426703,1.5,0
0.71,0,eapf,4.520951,1.5,0
0.72,0,eapf,4.615199,1.5,0
0.73,0,eapf,4.709446,1.5,0
0.74,0,eapf,4.803694,1.5,0
0.75,0,eapf,4.897942,1.5,0
0.76,0,eapf,4.99219,1.5,0
0.77,0,eapf,5.086437,1.5,0
0.78,0,eapf,5.180685,1.5,0
0.79,0,eapf,5.274933,1.5,0
0.8,0,eapf,5.369181,1.5,0
0.81,0,eapf,5.463429,1.5,0
0.82,0,eapf,5.557676,1.5,0
0.83,0,eapf,5.651924,1.5,0
0.84,0,eapf,5.746172,1.5,0
0.85,0,eapf,5.84042,1.5,0
0.86,0,eapf,5.934668,1.5,0
0.87,0,eapf,6.028915,1.5,0
0.88,0,eapf,6.123163,1.5,0
0.89,0,eapf,6.217411,1.5,0
0.9,0,eapf,0.028473,1.5,1
0.91,0,eapf,0.122721,1.5,0
0.92,0,eapf,0.216969,1.5,0
0.93,0,eapf,0.311217,1.5,0
0.94,0,eapf,0.405464,1.5,0
0.95,0,eapf,0.499712,1.5,0
0.96,0,eapf,0.59396,1.5,0
0.97,0,eapf,0.688208,1.5,0
0.98,0,eapf,0.782456,1.5,0
0.99,0,eapf,0.876703,1.5,0
1.0,0,eapf,0.970951,1.5,0
1.01,0,eapf,1.065199,1.5,0
1.02,0,eapf,1.159447,1.5,0
1.03,0,eapf,1.253694,1.5,0
1.04,0,eapf,1.347942,1.5,0
1.05,0,eapf,1.44219,1.5,0
1.06,0,eapf,1.536438,1.5,0
1.07,0,eapf,1.630686,1.5,0
1.08,0,eapf,1.724933,1.5,0
1.09,0,eapf,1.819181,1.5,0
1.1,0,eapf,1.913429,1.5,0
1.11,0,eapf,2.007677,1.5,0
1.12,0,eapf,2.101924,1.5,0
1.13,0,eapf,2.196172,1.5,0
1.14,0,eapf,2.29042,1.5,0
1.15,0,eapf,2.384668,1.5,0
1.16,0,eapf,2.478916,1.5,0
1.17,0,eapf,2.573163,1.5,0
1.18,0,eapf,2.667411,1.5,0
1.19,0,eapf,2.761659,1.5,0
1.2,0,eapf,2.855907,1.5,0
1.21,0,eapf,2.950154,1.5,0
1.22,0,eapf,3.044402,1.5,0
1.23,0,eapf,3.13865,1.5,0
1.24,0,eapf,3.232898,1.5,0
1.25,0,eapf,3.327146,1.5,0
1.26,0,eapf,3.421393,1.5,0
1.27,0,eapf,3.515641,1.5,0
1.28,0,eapf,3.609889,1.5,0
1.29,0,eapf,3.704137,1.5,0
1.3,0,eapf,3.798385,1.5,0
1.31,0,eapf,3.892632,1.5,0
1.32,0,eapf,3.98688,1.5,0
1.33,0,eapf,4.081128,1.5,0
1.34,0,eapf,4.175376,1.5,0
1.35,0,eapf,4.269623,1.5,0
1.36,0,eapf,4.363871,1.5,0
1.37,0,eapf,4.458119,1.5,0
1.38,0,eapf,4.552367,1.5,0
1.39,0,eapf,4.646615,1.5,0
1.4,0,eapf,4.740862,1.5,0
1.41,0,eapf,4.83511,1.5,0
1.42,0,eapf,4.929358,1.5,0
1.43,0,eapf,5.023606,1.5,0
1.44,0,eapf,5.117853,1.5,0
1.45,0,eapf,5.212101,1.5,0
1.46,0,eapf,5.306349,1.5,0
1.47,0,eapf,5.400597,1.5,0
1.48,0,eapf,5.494845,1.5,0
1.49,0,eapf,5.589092,1.5,0
1.5,0,eapf,5.68334,1.5,0
1.51,0,eapf,5.777588,1.5,0
1.52,0,eapf,5.871836,1.5,0
1.53,0,eapf,5.966083,1.5,0
1.54,0,eapf,6.060331,1.5,0
1.55,0,eapf,6.154579,1.5,0
1.56,0,eapf,6.248827,1.5,0
1.57,0,eapf,0.059889,1.5,1
1.58,0,eapf,0.154137,1.5,0
1.59,0,eapf,0.248385,1.5,0
1.6,0,eapf,0.342633,1.5,0
1.61,0,eapf,0.43688,1.5,0
1.62,0,eapf,0.531128,1.5,0
1.63,0,eapf,0.625376,1.5,0
1.64,0,eapf,0.719624,1.5,0
1.65,0,eapf,0.813871,1.5,0
1.66,0,eapf,0.908119,1.5,0
1.67,0,eapf,1.002367,1.5,0
1.68,0,eapf,1.096615,1.5,0
1.69,0,eapf,1.190863,1.5,0
1.7,0,eapf,1.28511,1.5,0
1.71,0,eapf,1.379358,1.5,0
1.72,0,eapf,1.473606,1.5,0
1.73,0,eapf,1.567854,1.5,0
1.74,0,eapf,1.662102,1.5,0
1.75,0,eapf,1.756349,1.5,0
1.76,0,eapf,1.850597,1.5,0
1.77,0,eapf,1.944845,1.5,0
1.78,0,eapf,2.039093,1.5,0
1.79,0,eapf,2.13334,1.5,0
1.8,0,eapf,2.227588,1.5,0
1.81,0,eapf,2.321836,1.5,0
1.82,0,eapf,2.416084,1.5,0
1.83,0,eapf,2.510332,1.5,0
1.84,0,eapf,2.604579,1.5,0
1.85,0,eapf,2.698827,1.5,0
1.86,0,eapf,2.793075,1.5,0
1.87,0,eapf,2.887323,1.5,0
1.88,0,eapf,2.98157,1.5,0
1.89,0,eapf,3.075818,1.5,0
1.9,0,eapf,3.170066,1.5,0
1.91,0,eapf,3.264314,1.5,0
1.92,0,eapf,3.358562,1.5,0
1.93,0,eapf,3.452809,1.5,0
1.94,0,eapf,3.547057,1.5,0
1.95,0,eapf,3.641305,1.5,0
1.96,0,eapf,3.735553,1.5,0
1.97,0,eapf,3.8298,1.5,0
1.98,0,eapf,3.924048,1.5,0
1.99,0,eapf,4.018296,1.5,0
2.0,0,eapf,4.112544,1.5,0
2.01,0,eapf,4.206792,1.5,0
2.02,0,eapf,4.301039,1.5,0
2.03,0,eapf,4.395287,1.5,0
2.04,0,eapf,4.489535,1.5,0
2.05,0,eapf,4.583783,1.5,0
2.06,0,eapf,4.67803,1.5,0
2.07,0,eapf,4.772278,1.5,0
2.08,0,eapf,4.866526,1.5,0
2.09,0,eapf,4.960774,1.5,0
2.1,0,eapf,5.055022,1.5,0
2.11,0,eapf,5.149269,1.5,0
2.12,0,eapf,5.243517,1.5,0
2.13,0,eapf,5.337765,1.5,0
2.14,0,eapf,5.432013,1.5,0
2.15,0,eapf,5.52626,1.5,0
2.16,0,eapf,5.620508,1.5,0
2.17,0,eapf,5.714756,1.5,0
2.18,0,eapf,5.809004,1.5,0
2.19,0,eapf,5.903252,1.5,0
2.2,0,eapf,5.997499,1.5,0
2.21,0,eapf,6.091747,1.5,0
2.22,0,eapf,6.185995,1.5,0
2.23,0,eapf,6.280243,1.5,0
2.24,0,eapf,0.091305,1.5,1
2.25,0,eapf,0.185553,1.5,0
2.26,0,eapf,0.279801,1.5,0
2.27,0,eapf,0.374049,1.5,0
2.28,0,eapf,0.468296,1.5,0
2.29,0,eapf,0.562544,1.5,0
2.3,0,eapf,0.656792,1.5,0
2.31,0,eapf,0.75104,1.5,0
2.32,0,eapf,0.845287,1.5,0
2.33,0,eapf,0.939535,1.5,0
2.34,0,eapf,1.033783,1.5,0
2.35,0,eapf,1.128031,1.5,0
2.36,0,eapf,1.222279,1.5,0
2.37,0,eapf,1.316526,1.5,0
2.38,0,eapf,1.410774,1.5,0
2.39,0,eapf,1.505022,1.5,0
2.4,0,eapf,1.59927,1.5,0
2.41,0,eapf,1.693517,1.5,0
2.42,0,eapf,1.787765,1.5,0
2.43,0,eapf,1.882013,1.5,0
2.44,0,eapf,1.976261,1.5,0
2.45,0,eapf,2.070509,1.5,0
2.46,0,eapf,2.164756,1.5,0
2.47,0,eapf,2.259004,1.5,0
2.48,0,eapf,2.353252,1.5,0
2.49,0,eapf,2.4475,1.5,0
2.5,0,eapf,2.541747,1.5,0
2.51,0,eapf,2.635995,1.5,0
2.52,0,eapf,2.730243,1.5,0
2.53,0,eapf,2.824491,1.5,0
2.54,0,eapf,2.918739,1.5,0
2.55,0,eapf,3.012986,1.5,0
2.56,0,eapf,3.107234,1.5,0
2.57,0,eapf,3.201482,1.5,0
2.58,0,eapf,3.29573,1.5,0
2.59,0,eapf,3.389977,1.5,0
2.6,0,eapf,3.484225,1.5,0
2.61,0,eapf,3.578473,1.5,0
2.62,0,eapf,3.672721,1.5,0
2.63,0,eapf,3.766969,1.5,0
2.64,0,eapf,3.861216,1.5,0
2.65,0,eapf,3.955464,1.5,0
2.66,0,eapf,4.049712,1.5,0
2.67,0,eapf,4.14396,1.5,0
2.68,0,eapf,4.238207,1.5,0
2.69,0,eapf,4.332455,1.5,0
2.7,0,eapf,4.426703,1.5,0
2.71,0,eapf,4.520951,1.5,0
2.72,0,eapf,4.615199,1.5,0
2.73,0,eapf,4.709446,1.5,0
2.74,0,eapf,4.803694,1.5,0
2.75,0,eapf,4.897942,1.5,0
2.76,0,eapf,4.99219,1.5,0
2.77,0,eapf,5.086437,1.5,0
2.78,0,eapf,5.180685,1.5,0
2.79,0,eapf,5.274933,1.5,0
2.8,0,eapf,5.369181,1.5,0
2.81,0,eapf,5.463429,1.5,0
2.82,0,eapf,5.557676,1.5,0
2.83,0,eapf,5.651924,1.5,0
2.84,0,eapf,5.746172,1.5,0
2.85,0,eapf,5.84042,1.5,0
2.86,0,eapf,5.934668,1.5,0
2.87,0,eapf,6.028915,1.5,0
2.88,0,eapf,6.123163,1.5,0
2.89,0,eapf,6.217411,1.5,0
2.9,0,eapf,0.028473,1.5,1
2.91,0,eapf,0.122721,1.5,0
2.92,0,eapf,0.216969,1.5,0
2.93,0,eapf,0.311217,1.5,0
2.94,0,eapf,0.405464,1.5,0
2.95,0,eapf,0.499712,1.5,0
2.96,0,eapf,0.59396,1.5,0
2.97,0,eapf,0.688208,1.5,0
2.98,0,eapf,0.782456,1.5,0
2.99,0,eapf,0.876703,1.5,0
3.0,0,eapf,0.970951,1.5,0
3.01,0,eapf,1.065199,1.5,0
3.02,0,eapf,1.159447,1.5,0
3.03,0,eapf,1.253694,1.5,0
3.04,0,eapf,1.347942,1.5,0
3.05,0,eapf,1.44219,1.5,0
3.06,0,eapf,1.536438,1.5,0
3.07,0,eapf,1.630686,1.5,0
3.08,0,eapf,1.724933,1.5,0
3.09,0,eapf,1.819181,1.5,0
3.1,0,eapf,1.913429,1.5,0
3.11,0,eapf,2.007677,1.5,0
3.12,0,eapf,2.101924,1.5,0
3.13,0,eapf,2.196172,1.5,0
3.14,0,eapf,2.29042,1.5,0
3.15,0,eapf,2.384668,1.5,0
3.16,0,eapf,2.478916,1.5,0
3.17,0,eapf,2.573163,1.5,0
3.18,0,eapf,2.667411,1.5,0
3.19,0,eapf,2.761659,1.5,0
3.2,0,eapf,2.855907,1.5,0
3.21,0,eapf,2.950154,1.5,0
3.22,0,eapf,3.044402,1.5,0
3.23,0,eapf,3.13865,1.5,0
3.24,0,eapf,3.232898,1.5,0
3.25,0,eapf,3.327146,1.5,0
3.26,0,eapf,3.421393,1.5,0
3.27,0,eapf,3.515641,1.5,0
3.28,0,eapf,3.609889,1.5,0
3.29,0,eapf,3.704137,1.5,0
3.3,0,eapf,3.798385,1.5,0
3.31,0,eapf,3.892632,1.5,0
3.32,0,eapf,3.98688,1.5,0
3.33,0,eapf,4.081128,1.5,0
3.34,0,eapf,4.175376,1.5,0
3.35,0,eapf,4.269623,1.5,0
3.36,0,eapf,4.363871,1.5,0
3.37,0,eapf,4.458119,1.5,0
3.38,0,eapf,4.552367,1.5,0
3.39,0,eapf,4.646615,1.5,0
3.4,0,eapf,4.740862,1.5,0
3.41,0,eapf,4.83511,1.5,0
3.42,0,eapf,4.929358,1.5,0
3.43,0,eapf,5.023606,1.5,0
3.44,0,eapf,5.117853,1.5,0
3.45,0,eapf,5.212101,1.5,0
3.46,0,eapf,5.306349,1.5,0
3.47,0,eapf,5.400597,1.5,0
3.48,0,eapf,5.494845,1.5,0
3.49,0,eapf,5.589092,1.5,0
3.5,0,eapf,5.68334,1.5,0
3.51,0,eapf,5.777588,1.5,0
3.52,0,eapf,5.871836,1.5,0
3.53,0,eapf,5.966083,1.5,0
3.54,0,eapf,6.060331,1.5,0
3.55,0,eapf,6.154579,1.5,0
3.56,0,eapf,6.248827,1.5,0
3.57,0,eapf,0.059889,1.5,1
3.58,0,eapf,0.154137,1.5,0
3.59,0,eapf,0.248385,1.5,0
3.6,0,eapf,0.342633,1.5,0
3.61,0,eapf,0.43688,1.5,0
3.62,0,eapf,0.531128,1.5,0
3.63,0,eapf,0.625376,1.5,0
3.64,0,eapf,0.719624,1.5,0
3.65,0,eapf,0.813871,1.5,0
3.66,0,eapf,0.908119,1.5,0
3.67,0,eapf,1.002367,1.5,0
3.68,0,eapf,1.096615,1.5,0
3.69,0,eapf,1.190863,1.5,0
3.7,0,eapf,1.28511,1.5,0
3.71,0,eapf,1.379358,1.5,0
3.72,0,eapf,1.473606,1.5,0
3.73,0,eapf,1.567854,1.5,0
3.74,0,eapf,1.662102,1.5,0
3.75,0,eapf,1.756349,1.5,0
3.76,0,eapf,1.850597,1.5,0
3.77,0,eapf,1.944845,1.5,0
3.78,0,eapf,2.039093,1.5,0
3.79,0,eapf,2.13334,1.5,0
3.8,0,eapf,2.227588,1.5,0
3.81,0,eapf,2.321836,1.5,0
3.82,0,eapf,2.416084,1.5,0
3.83,0,eapf,2.510332,1.5,0
3.84,0,eapf,2.604579,1.5,0
3.85,0,eapf,2.698827,1.5,0
3.86,0,eapf,2.793075,1.5,0
3.87,0,eapf,2.887323,1.5,0
3.88,0,eapf,2.98157,1.5,0
3.89,0,eapf,3.075818,1.5,0
3.9,0,eapf,3.170066,1.5,0
3.91,0,eapf,3.264314,1.5,0
3.92,0,eapf,3.358562,1.5,0
3.93,0,eapf,3.452809,1.5,0
3.94,0,eapf,3.547057,1.5,0
3.95,0,eapf,3.641305,1.5,0
3.96,0,eapf,3.735553,1.5,0
3.97,0,eapf,3.8298,1.5,0
3.98,0,eapf,3.924048,1.5,0
3.99,0,eapf,4.018296,1.5,0
4.0,0,eapf,4.112544,1.5,0
4.01,0,eapf,4.206792,1.5,0
4.02,0,eapf,4.301039,1.5,0
4.03,0,eapf,4.395287,1.5,0
4.04,0,eapf,4.489535,1.5,0
4.05,0,eapf,4.583783,1.5,0
4.06,0,eapf,4.67803,1.5,0
4.07,0,eapf,4.772278,1.5,0
4.08,0,eapf,4.866526,1.5,0
4.09,0,eapf,4.960774,1.5,0
4.1,0,eapf,5.055022,1.5,0
4.11,0,eapf,5.149269,1.5,0
4.12,0,eapf,5.243517,1.5,0
4.13,0,eapf,5.337765,1.5,0
4.14,0,eapf,5.432013,1.5,0
4.15,0,eapf,5.52626,1.5,0
4.16,0,eapf,5.620508,1.5,0
4.17,0,eapf,5.714756,1.5,0
4.18,0,eapf,5.809004,1.5,0
4.19,0,eapf,5.903252,1.5,0
4.2,0,eapf,5.997499,1.5,0
4.21,0,eapf,6.091747,1.5,0
4.22,0,eapf,6.185995,1.5,0
4.23,0,eapf,6.280243,1.5,0
4.24,0,eapf,0.091305,1.5,1
4.25,0,eapf,0.185553,1.5,0
4.26,0,eapf,0.279801,1.5,0
4.27,0,eapf,0.374049,1.5,0
4.28,0,eapf,0.468296,1.5,0
4.29,0,eapf,0.562544,1.5,0
4.3,0,eapf,0.656792,1.5,0
4.31,0,eapf,0.75104,1.5,0
4.32,0,eapf,0.845287,1.5,0
4.33,0,eapf,0.939535,1.5,0
4.34,0,eapf,1.033783,1.5,0
