t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,eapf,4.115546,1.5,0
0.01,0,eapf,4.209794,1.5,0
0.02,0,eapf,4.304042,1.5,0
0.03,0,eapf,4.398289,1.5,0
0.04,0,eapf,4.492537,1.5,0
0.05,0,eapf,4.586785,1.5,0
0.06,0,eapf,4.681033,1.5,0
0.07,0,eapf,4.77528,1.5,0
0.08,0,eapf,4.869528,1.5,0
0.09,0,eapf,4.963776,1.5,0
0.1,0,eapf,5.058024,1.5,0
0.11,0,eapf,5.152272,1.5,0
0.12,0,eapf,5.246519,1.5,0
0.13,0,eapf,5.340767,1.5,0
0.14,0,eapf,5.435015,1.5,0
0.15,0,eapf,5.529263,1.5,0
0.16,0,eapf,5.623511,1.5,0
0.17,0,eapf,5.717758,1.5,0
0.18,0,eapf,5.812006,1.5,0
0.19,0,eapf,5.906254,1.5,0
0.2,0,eapf,6.000502,1.5,0
0.21,0,eapf,6.094749,1.5,0
0.22,0,eapf,6.188997,1.5,0
0.23,0,eapf,6e-05,1.5,1
0.24,0,eapf,0.094307,1.5,0
0.25,0,eapf,0.188555,1.5,0
0.26,0,eapf,0.282803,1.5,0
0.27,0,eapf,0.377051,1.5,0
0.28,0,eapf,0.471299,1.5,0
0.29,0,eapf,0.565546,1.5,0
0.3,0,eapf,0.659794,1.5,0
0.31,0,eapf,0.754042,1.5,0
0.32,0,eapf,0.84829,1.5,0
0.33,0,eapf,0.942537,1.5,0
0.34,0,eapf,1.036785,1.5,0
0.35,0,eapf,1.131033,1.5,0
0.36,0,eapf,1.225281,1.5,0
0.37,0,eapf,1.319529,1.5,0
0.38,0,eapf,1.413776,1.5,0
0.39,0,eapf,1.508024,1.5,0
0.4,0,eapf,1.602272,1.5,0
0.41,0,eapf,1.69652,1.5,0
0.42,0,eapf,1.790767,1.5,0
0.43,0,eapf,1.885015,1.5,0
0.44,0,eapf,1.979263,1.5,0
0.45,0,eapf,2.073511,1.5,0
0.46,0,eapf,2.167759,1.5,0
0.47,0,eapf,2.262006,1.5,0
0.48,0,eapf,2.356254,1.5,0
0.49,0,eapf,2.450502,1.5,0
0.5,0,eapf,2.54475,1.5,0
0.51,0,eapf,2.638997,1.5,0
0.52,0,eapf,2.733245,1.5,0
0.53,0,eapf,2.827493,1.5,0
0.54,0,eapf,2.921741,1.5,0
0.55,0,eapf,3.015989,1.5,0
0.56,0,eapf,3.110236,1.5,0
0.57,0,eapf,3.204484,1.5,0
0.58,0,eapf,3.298732,1.5,0
0.59,0,eapf,3.39298,1.5,0
0.6,0,eapf,3.487227,1.5,0
0.61,0,eapf,3.581475,1.5,0
0.62,0,eapf,3.675723,1.5,0
0.63,0,eapf,3.769971,1.5,0
0.64,0,eapf,3.864219,1.5,0
0.65,0,eapf,3.958466,1.5,0
0.66,0,eapf,4.052714,1.5,0
0.67,0,eapf,4.146962,1.5,0
0.68,0,eapf,4.24121,1.5,0
0.69,0,eapf,4.335458,1.5,0
0.7,0,eapf,4.429705,1.5,0
0.71,0,eapf,4.523953,1.5,0
0.72,0,eapf,4.618201,1.5,0
0.73,0,eapf,4.712449,1.5,0
0.74,0,eapf,4.806696,1.5,0
0.75,0,eapf,4.900944,1.5,0
0.76,0,eapf,4.995192,1.5,0
0.77,0,eapf,5.08944,1.5,0
0.78,0,eapf,5.183688,1.5,0
0.79,0,eapf,5.277935,1.5,0
0.8,0,eapf,5.372183,1.5,0
0.81,0,eapf,5.466431,1.5,0
0.82,0,eapf,5.560679,1.5,0
0.83,0,eapf,5.654926,1.5,0
0.84,0,eapf,5.749174,1.5,0
0.85,0,eapf,5.843422,1.5,0
0.86,0,eapf,5.93767,1.5,0
0.87,0,eapf,6.031918,1.5,0
0.88,0,eapf,6.126165,1.5,0
0.89,0,eapf,6.220413,1.5,0
0.9,0,eapf,0.031476,1.5,1
0.91,0,eapf,0.125723,1.5,0
0.92,0,eapf,0.219971,1.5,0
0.93,0,eapf,0.314219,1.5,0
0.94,0,eapf,0.408467,1.5,0
0.95,0,eapf,0.502714,1.5,0
0.96,0,eapf,0.596962,1.5,0
0.97,0,eapf,0.69121,1.5,0
0.98,0,eapf,0.785458,1.5,0
0.99,0,eapf,0.879706,1.5,0
1.0,0,eapf,0.973953,1.5,0
1.01,0,eapf,1.068201,1.5,0
1.02,0,eapf,1.162449,1.5,0
1.03,0,eapf,1.256697,1.5,0
1.04,0,eapf,1.350944,1.5,0
1.05,0,eapf,1.445192,1.5,0
1.06,0,eapf,1.53944,1.5,0
1.07,0,eapf,1.633688,1.5,0
1.08,0,eapf,1.727936,1.5,0
1.09,0,eapf,1.822183,1.5,0
1.1,0,eapf,1.916431,1.5,0
1.11,0,eapf,2.010679,1.5,0
1.12,0,eapf,2.104927,1.5,0
1.13,0,eapf,2.199175,1.5,0
1.14,0,eapf,2.293422,1.5,0
1.15,0,eapf,2.38767,1.5,0
1.16,0,eapf,2.481918,1.5,0
1.17,0,eapf,2.576166,1.5,0
1.18,0,eapf,2.670413,1.5,0
1.19,0,eapf,2.764661,1.5,0
1.2,0,eapf,2.858909,1.5,0
1.21,0,eapf,2.953157,1.5,0
1.22,0,eapf,3.047405,1.5,0
1.23,0,eapf,3.141652,1.5,0
1.24,0,eapf,3.2359,1.5,0
1.25,0,eapf,3.330148,1.5,0
1.26,0,eapf,3.424396,1.5,0
1.27,0,eapf,3.518643,1.5,0
1.28,0,eapf,3.612891,1.5,0
1.29,0,eapf,3.707139,1.5,0
1.3,0,eapf,3.801387,1.5,0
1.31,0,eapf,3.895635,1.5,0
1.32,0,eapf,3.989882,1.5,0
1.33,0,eapf,4.08413,1.5,0
1.34,0,eapf,4.178378,1.5,0
1.35,0,eapf,4.272626,1.5,0
1.36,0,eapf,4.366873,1.5,0
1.37,0,eapf,4.461121,1.5,0
1.38,0,eapf,4.555369,1.5,0
