t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,kuramoto,4.138895,1.5,0
0.01,0,kuramoto,4.232781,1.5,0
0.02,0,kuramoto,4.327271,1.5,0
0.03,0,kuramoto,4.422452,1.5,0
0.04,0,kuramoto,4.518402,1.5,0
0.05,0,kuramoto,4.61519,1.5,0
0.06,0,kuramoto,4.712878,1.5,0
0.07,0,kuramoto,4.811514,1.5,0
0.08,0,kuramoto,4.911137,1.5,0
0.09,0,kuramoto,5.011774,1.5,0
0.1,0,kuramoto,5.11344,1.5,0
0.11,0,kuramoto,5.21614,1.5,0
0.12,0,kuramoto,5.319869,1.5,0
0.13,0,kuramoto,5.424612,1.5,0
0.14,0,kuramoto,5.530347,1.5,0
0.15,0,kuramoto,5.637046,1.5,0
0.16,0,kuramoto,5.744673,1.5,0
0.17,0,kuramoto,5.853191,1.5,0
0.18,0,kuramoto,5.962558,1.5,0
0.19,0,kuramoto,6.072731,1.5,0
0.2,0,kuramoto,6.183665,1.5,0
0.21,0,kuramoto,0.01213,1.5,1
0.22,0,kuramoto,0.124452,1.5,0
0.23,0,kuramoto,0.237403,1.5,0
0.24,0,kuramoto,0.350941,1.5,0
0.25,0,kuramoto,0.465025,1.5,0
0.26,0,kuramoto,0.579617,1.5,0
0.27,0,kuramoto,0.694682,1.5,0
0.28,0,kuramoto,0.810184,1.5,0
0.29,0,kuramoto,0.926093,1.5,0
0.3,0,kuramoto,1.042378,1.5,0
0.31,0,kuramoto,1.159013,1.5,0
0.32,0,kuramoto,1.275971,1.5,0
0.33,0,kuramoto,1.393229,1.5,0
0.34,0,kuramoto,1.510765,1.5,0
0.35,0,kuramoto,1.62856,1.5,0
0.36,0,kuramoto,1.746595,1.5,0
0.37,0,kuramoto,1.864853,1.5,0
0.38,0,kuramoto,1.983319,1.5,0
0.39,0,kuramoto,2.101979,1.5,0
0.4,0,kuramoto,2.22082,1.5,0
0.41,0,kuramoto,2.33983,1.5,0
0.42,0,kuramoto,2.458998,1.5,0
0.43,0,kuramoto,2.578314,1.5,0
0.44,0,kuramoto,2.697769,1.5,0
0.45,0,kuramoto,2.817354,1.5,0
0.46,0,kuramoto,2.937063,1.5,0
0.47,0,kuramoto,3.056887,1.5,0
0.48,0,kuramoto,3.176821,1.5,0
0.49,0,kuramoto,3.296859,1.5,0
0.5,0,kuramoto,3.416994,1.5,0
0.51,0,kuramoto,3.537223,1.5,0
0.52,0,kuramoto,3.657539,1.5,0
0.53,0,kuramoto,3.77794,1.5,0
0.54,0,kuramoto,3.89842,1.5,0
0.55,0,kuramoto,4.018977,1.5,0
