t_s,agent_id,event_type,model
0.16,0,agent_flash,kuramoto
0.27,2,agent_flash,kuramoto
0.28,1,agent_flash,kuramoto
0.73,2,agent_flash,kuramoto
0.76,1,agent_flash,kuramoto
0.81,0,agent_flash,kuramoto
1.23,2,agent_flash,kuramoto
1.27,1,agent_flash,kuramoto
1.33,0,agent_flash,kuramoto
1.74,2,agent_flash,kuramoto
1.78,1,agent_flash,kuramoto
1.84,0,agent_flash,kuramoto
2.25,2,agent_flash,kuramoto
2.29,1,agent_flash,kuramoto
2.35,0,agent_flash,kuramoto
2.76,2,agent_flash,kuramoto
2.8,1,agent_flash,kuramoto
2.86,0,agent_flash,kuramoto
3.27,2,agent_flash,kuramoto
3.31,1,agent_flash,kuramoto
3.37,0,agent_flash,kuramoto
3.79,2,agent_flash,kuramoto
3.82,1,agent_flash,kuramoto
3.89,0,agent_flash,kuramoto
4.3,2,agent_flash,kuramoto
4.33,1,agent_flash,kuramoto
4.4,0,agent_flash,kuramoto
4.81,2,agent_flash,kuramoto
4.85,1,agent_flash,kuramoto
4.91,0,agent_flash,kuramoto
5.32,2,agent_flash,kuramoto
5.36,1,agent_flash,kuramoto
5.42,0,agent_flash,kuramoto
5.83,2,agent_flash,kuramoto
5.87,1,agent_flash,kuramoto
5.93,0,agent_flash,kuramoto
6.34,2,agent_flash,kuramoto
6.38,1,agent_flash,kuramoto
6.44,0,agent_flash,kuramoto
6.85,2,agent_flash,kuramoto
6.89,1,agent_flash,kuramoto
6.95,0,agent_flash,kuramoto
7.36,2,agent_flash,kuramoto
7.4,1,agent_flash,kuramoto
7.46,0,agent_flash,kuramoto
7.87,2,agent_flash,kuramoto
7.91,1,agent_flash,kuramoto
7.97,0,agent_flash,kuramoto
8.38,2,agent_flash,kuramoto
8.42,1,agent_flash,kuramoto
8.48,0,agent_flash,kuramoto
8.9,2,agent_flash,kuramoto
8.93,1,agent_flash,kuramoto
9.0,0,agent_flash,kuramoto
9.41,2,agent_flash,kuramoto
9.44,1,agent_flash,kuramoto
9.51,0,agent_flash,kuramoto
9.92,2,agent_flash,kuramoto
9.96,1,agent_flash,kuramoto
10.02,0,agent_flash,kuramoto
10.43,2,agent_flash,kuramoto
10.47,1,agent_flash,kuramoto
10.53,0,agent_flash,kuramoto
10.94,2,agent_flash,kuramoto
10.98,1,agent_flash,kuramoto
11.04,0,agent_flash,kuramoto
11.45,2,agent_flash,kuramoto
11.49,1,agent_flash,kuramoto
11.55,0,agent_flash,kuramoto
11.96,2,agent_flash,kuramoto
12.0,1,agent_flash,kuramoto
12.06,0,agent_flash,kuramoto
12.47,2,agent_flash,kuramoto
12.51,1,agent_flash,kuramoto
12.57,0,agent_flash,kuramoto
12.98,2,agent_flash,kuramoto
13.02,1,agent_flash,kuramoto
13.08,0,agent_flash,kuramoto
13.49,2,agent_flash,kuramoto
13.53,1,agent_flash,kuramoto
13.59,0,agent_flash,kuramoto
14.01,2,agent_flash,kuramoto
14.04,1,agent_flash,kuramoto
14.11,0,agent_flash,kuramoto
14.52,2,agent_flash,kuramoto
14.55,1,agent_flash,kuramoto
14.62,0,agent_flash,kuramoto
15.03,2,agent_flash,kuramoto
15.07,1,agent_flash,kuramoto
15.13,0,agent_flash,kuramoto
15.54,2,agent_flash,kuramoto
15.58,1,agent_flash,kuramoto
15.64,0,agent_flash,kuramoto
16.05,2,agent_flash,kuramoto
16.09,1,agent_flash,kuramoto
16.15,0,agent_flash,kuramoto
16.56,2,agent_flash,kuramoto
16.6,1,agent_flash,kuramoto
16.66,0,agent_flash,kuramoto
17.07,2,agent_flash,kuramoto
17.11,1,agent_flash,kuramoto
17.17,0,agent_flash,kuramoto
17.58,2,agent_flash,kuramoto
17.62,1,agent_flash,kuramoto
17.68,0,agent_flash,kuramoto
18.09,2,agent_flash,kuramoto
18.13,1,agent_flash,kuramoto
18.19,0,agent_flash,kuramoto
18.6,2,agent_flash,kuramoto
18.64,1,agent_flash,kuramoto
18.71,0,agent_flash,kuramoto
19.12,2,agent_flash,kuramoto
19.15,1,agent_flash,kuramoto
19.22,0,agent_flash,kuramoto
19.63,2,agent_flash,kuramoto
19.66,1,agent_flash,kuramoto
19.73,0,agent_flash,kuramoto
20.14,2,agent_flash,kuramoto
20.18,1,agent_flash,kuramoto
20.24,0,agent_flash,kuramoto
20.65,2,agent_flash,kuramoto
20.69,1,agent_flash,kuramoto
20.75,0,agent_flash,kuramoto
21.16,2,agent_flash,kuramoto
21.2,1,agent_flash,kuramoto
21.26,0,agent_flash,kuramoto
21.67,2,agent_flash,kuramoto
21.71,1,agent_flash,kuramoto
21.77,0,agent_flash,kuramoto
22.18,2,agent_flash,kuramoto
22.22,1,agent_flash,kuramoto
22.28,0,agent_flash,kuramoto
22.69,2,agent_flash,kuramoto
22.73,1,agent_flash,kuramoto
22.79,0,agent_flash,kuramoto
23.2,2,agent_flash,kuramoto
23.24,1,agent_flash,kuramoto
23.3,0,agent_flash,kuramoto
23.71,2,agent_flash,kuramoto
23.75,1,agent_flash,kuramoto
23.82,0,agent_flash,kuramoto
24.23,2,agent_flash,kuramoto
24.26,1,agent_flash,kuramoto
24.33,0,agent_flash,kuramoto
24.74,2,agent_flash,kuramoto
24.77,1,agent_flash,kuramoto
24.84,0,agent_flash,kuramoto
25.25,2,agent_flash,kuramoto
25.29,1,agent_flash,kuramoto
25.35,0,agent_flash,kuramoto
25.76,2,agent_flash,kuramoto
25.8,1,agent_flash,kuramoto
25.86,0,agent_flash,kuramoto
26.27,2,agent_flash,kuramoto
26.31,1,agent_flash,kuramoto
26.37,0,agent_flash,kuramoto
26.78,2,agent_flash,kuramoto
26.82,1,agent_flash,kuramoto
26.88,0,agent_flash,kuramoto
27.29,2,agent_flash,kuramoto
27.33,1,agent_flash,kuramoto
27.39,0,agent_flash,kuramoto
27.8,2,agent_flash,kuramoto
27.84,1,agent_flash,kuramoto
