t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,kuramoto,4.497076,1.5,0
0.01,0,kuramoto,4.61284,1.5,0
0.02,0,kuramoto,4.728969,1.5,0
0.03,0,kuramoto,4.84545,1.5,0
0.04,0,kuramoto,4.962268,1.5,0
0.05,0,kuramoto,5.079405,1.5,0
0.06,0,kuramoto,5.196849,1.5,0
0.07,0,kuramoto,5.314582,1.5,0
0.08,0,kuramoto,5.43259,1.5,0
0.09,0,kuramoto,5.550859,1.5,0
0.1,0,kuramoto,5.669374,1.5,0
0.11,0,kuramoto,5.788122,1.5,0
0.12,0,kuramoto,5.90709,1.5,0
0.13,0,kuramoto,6.026265,1.5,0
0.14,0,kuramoto,6.145636,1.5,0
0.15,0,kuramoto,6.265192,1.5,0
0.16,0,kuramoto,0.101736,1.5,1
0.17,0,kuramoto,0.221631,1.5,0
0.18,0,kuramoto,0.341681,1.5,0
0.19,0,kuramoto,0.461877,1.5,0
0.2,0,kuramoto,0.582212,1.5,0
0.21,0,kuramoto,0.702678,1.5,0
0.22,0,kuramoto,0.823267,1.5,0
0.23,0,kuramoto,0.943974,1.5,0
0.24,0,kuramoto,1.064791,1.5,0
0.25,0,kuramoto,1.185713,1.5,0
0.26,0,kuramoto,1.306735,1.5,0
0.27,0,kuramoto,1.427851,1.5,0
0.28,0,kuramoto,1.549056,1.5,0
0.29,0,kuramoto,1.670347,1.5,0
0.3,0,kuramoto,1.791718,1.5,0
0.31,0,kuramoto,1.913167,1.5,0
0.32,0,kuramoto,2.034688,1.5,0
0.33,0,kuramoto,2.15628,1.5,0
0.34,0,kuramoto,2.277938,1.5,0
0.35,0,kuramoto,2.399659,1.5,0
0.36,0,kuramoto,2.521442,1.5,0
0.37,0,kuramoto,2.643282,1.5,0
0.38,0,kuramoto,2.765178,1.5,0
0.39,0,kuramoto,2.887127,1.5,0
0.4,0,kuramoto,3.009128,1.5,0
0.41,0,kuramoto,3.131177,1.5,0
0.42,0,kuramoto,3.253273,1.5,0
0.43,0,kuramoto,3.375415,1.5,0
0.44,0,kuramoto,3.497601,1.5,0
0.45,0,kuramoto,3.619828,1.5,0
0.46,0,kuramoto,3.742096,1.5,0
0.47,0,kuramoto,3.864403,1.5,0
0.48,0,kuramoto,3.986748,1.5,0
0.49,0,kuramoto,4.10913,1.5,0
0.5,0,kuramoto,4.231547,1.5,0
0.51,0,kuramoto,4.353999,1.5,0
0.52,0,kuramoto,4.476484,1.5,0
0.53,0,kuramoto,4.599002,1.5,0
0.54,0,kuramoto,4.721551,1.5,0
0.55,0,kuramoto,4.844131,1.5,0
0.56,0,kuramoto,4.966742,1.5,0
0.57,0,kuramoto,5.089382,1.5,0
0.58,0,kuramoto,5.21205,1.5,0
0.59,0,kuramoto,5.334747,1.5,0
0.6,0,kuramoto,5.457471,1.5,0
0.61,0,kuramoto,5.580222,1.5,0
0.62,0,kuramoto,5.703,1.5,0
0.63,0,kuramoto,5.825805,1.5,0
0.64,0,kuramoto,5.948635,1.5,0
0.65,0,kuramoto,6.07149,1.5,0
0.66,0,kuramoto,6.194371,1.5,0
0.67,0,kuramoto,0.034092,1.5,1
0.68,0,kuramoto,0.157022,1.5,0
0.69,0,kuramoto,0.279977,1.5,0
0.7,0,kuramoto,0.402956,1.5,0
0.71,0,kuramoto,0.525959,1.5,0
0.72,0,kuramoto,0.648987,1.5,0
0.73,0,kuramoto,0.772038,1.5,0
0.74,0,kuramoto,0.895113,1.5,0
0.75,0,kuramoto,1.018212,1.5,0
0.76,0,kuramoto,1.141334,1.5,0
0.77,0,kuramoto,1.26448,1.5,0
0.78,0,kuramoto,1.387651,1.5,0
0.79,0,kuramoto,1.510845,1.5,0
0.8,0,kuramoto,1.634063,1.5,0
0.81,0,kuramoto,1.757305,1.5,0
0.82,0,kuramoto,1.880571,1.5,0
0.83,0,kuramoto,2.003862,1.5,0
0.84,0,kuramoto,2.127177,1.5,0
0.85,0,kuramoto,2.250517,1.5,0
0.86,0,kuramoto,2.373881,1.5,0
0.87,0,kuramoto,2.497271,1.5,0
0.88,0,kuramoto,2.620686,1.5,0
0.89,0,kuramoto,2.744126,1.5,0
0.9,0,kuramoto,2.867593,1.5,0
0.91,0,kuramoto,2.991085,1.5,0
0.92,0,kuramoto,3.114605,1.5,0
0.93,0,kuramoto,3.23815,1.5,0
0.94,0,kuramoto,3.361723,1.5,0
0.95,0,kuramoto,3.485324,1.5,0
0.96,0,kuramoto,3.608953,1.5,0
0.97,0,kuramoto,3.732609,1.5,0
0.98,0,kuramoto,3.856295,1.5,0
0.99,0,kuramoto,3.98001,1.5,0
1.0,0,kuramoto,4.103754,1.5,0
1.01,0,kuramoto,4.227528,1.5,0
1.02,0,kuramoto,4.351333,1.5,0
1.03,0,kuramoto,4.475169,1.5,0
1.04,0,kuramoto,4.599037,1.5,0
1.05,0,kuramoto,4.722936,1.5,0
1.06,0,kuramoto,4.846868,1.5,0
1.07,0,kuramoto,4.970834,1.5,0
1.08,0,kuramoto,5.094833,1.5,0
1.09,0,kuramoto,5.218866,1.5,0
1.1,0,kuramoto,5.342934,1.5,0
1.11,0,kuramoto,5.467038,1.5,0
1.12,0,kuramoto,5.591178,1.5,0
1.13,0,kuramoto,5.715354,1.5,0
1.14,0,kuramoto,5.839568,1.5,0
1.15,0,kuramoto,5.96382,1.5,0
1.16,0,kuramoto,6.08811,1.5,0
1.17,0,kuramoto,6.21244,1.5,0
1.18,0,kuramoto,0.053625,1.5,1
1.19,0,kuramoto,0.178036,1.5,0
1.2,0,kuramoto,0.302488,1.5,0
1.21,0,kuramoto,0.426982,1.5,0
1.22,0,kuramoto,0.551519,1.5,0
1.23,0,kuramoto,0.6761,1.5,0
1.24,0,kuramoto,0.800725,1.5,0
1.25,0,kuramoto,0.925395,1.5,0
1.26,0,kuramoto,1.050111,1.5,0
1.27,0,kuramoto,1.174874,1.5,0
1.28,0,kuramoto,1.299684,1.5,0
1.29,0,kuramoto,1.424542,1.5,0
1.3,0,kuramoto,1.549448,1.5,0
1.31,0,kuramoto,1.674405,1.5,0
1.32,0,kuramoto,1.799412,1.5,0
1.33,0,kuramoto,1.924469,1.5,0
1.34,0,kuramoto,2.049579,1.5,0
1.35,0,kuramoto,2.174741,1.5,0
1.36,0,kuramoto,2.299957,1.5,0
1.37,0,kuramoto,2.425227,1.5,0
1.38,0,kuramoto,2.550552,1.5,0
1.39,0,kuramoto,2.675933,1.5,0
