t_s,agent_id,event_type,model
0.11,2,agent_flash,eapf
0.13,1,agent_flash,eapf
0.18,0,agent_flash,eapf
0.55,2,agent_flash,eapf
0.65,1,agent_flash,eapf
0.85,0,agent_flash,eapf
1.02,2,agent_flash,eapf
1.22,1,agent_flash,eapf
1.51,0,agent_flash,eapf
1.53,2,agent_flash,eapf
1.66,1,agent_flash,eapf
2.03,2,agent_flash,eapf
2.17,1,agent_flash,eapf
2.18,0,agent_flash,eapf
2.53,2,agent_flash,eapf
2.68,1,agent_flash,eapf
2.85,0,agent_flash,eapf
3.04,2,agent_flash,eapf
3.24,1,agent_flash,eapf
3.51,0,agent_flash,eapf
3.58,2,agent_flash,eapf
3.68,1,agent_flash,eapf
4.1,2,agent_flash,eapf
4.18,0,agent_flash,eapf
4.18,1,agent_flash,eapf
4.61,2,agent_flash,eapf
4.68,1,agent_flash,eapf
4.85,0,agent_flash,eapf
5.12,2,agent_flash,eapf
5.24,1,agent_flash,eapf
5.51,0,agent_flash,eapf
5.66,2,agent_flash,eapf
5.68,1,agent_flash,eapf
6.17,2,agent_flash,eapf
6.18,0,agent_flash,eapf
6.18,1,agent_flash,eapf
6.67,2,agent_flash,eapf
6.68,1,agent_flash,eapf
6.85,0,agent_flash,eapf
7.18,2,agent_flash,eapf
7.24,1,agent_flash,eapf
7.51,0,agent_flash,eapf
7.67,1,agent_flash,eapf
7.69,2,agent_flash,eapf
8.17,1,agent_flash,eapf
8.18,0,agent_flash,eapf
8.19,2,agent_flash,eapf
8.67,1,agent_flash,eapf
8.69,2,agent_flash,eapf
8.85,0,agent_flash,eapf
9.19,2,agent_flash,eapf
9.23,1,agent_flash,eapf
9.51,0,agent_flash,eapf
9.67,1,agent_flash,eapf
9.7,2,agent_flash,eapf
10.16,1,agent_flash,eapf
10.18,0,agent_flash,eapf
10.19,2,agent_flash,eapf
10.67,1,agent_flash,eapf
10.68,2,agent_flash,eapf
10.85,0,agent_flash,eapf
11.18,2,agent_flash,eapf
11.23,1,agent_flash,eapf
11.51,0,agent_flash,eapf
11.66,1,agent_flash,eapf
11.69,2,agent_flash,eapf
12.16,1,agent_flash,eapf
12.18,0,agent_flash,eapf
12.18,2,agent_flash,eapf
12.66,1,agent_flash,eapf
12.68,2,agent_flash,eapf
12.85,0,agent_flash,eapf
13.18,2,agent_flash,eapf
13.23,1,agent_flash,eapf
13.51,0,agent_flash,eapf
13.66,1,agent_flash,eapf
13.69,2,agent_flash,eapf
14.16,1,agent_flash,eapf
14.18,0,agent_flash,eapf
14.18,2,agent_flash,eapf
14.66,1,agent_flash,eapf
14.67,2,agent_flash,eapf
14.85,0,agent_flash,eapf
15.17,2,agent_flash,eapf
15.23,1,agent_flash,eapf
15.51,0,agent_flash,eapf
15.66,1,agent_flash,eapf
15.68,2,agent_flash,eapf
16.16,1,agent_flash,eapf
16.18,0,agent_flash,eapf
16.18,2,agent_flash,eapf
16.66,1,agent_flash,eapf
16.67,2,agent_flash,eapf
16.85,0,agent_flash,eapf
17.17,2,agent_flash,eapf
17.23,1,agent_flash,eapf
17.51,0,agent_flash,eapf
