t_s,agent_id,event_type,model
0.32,1,agent_flash,eapf
0.36,2,agent_flash,eapf
0.63,0,agent_flash,eapf
0.74,2,agent_flash,eapf
0.76,1,agent_flash,eapf
1.18,2,agent_flash,eapf
1.25,1,agent_flash,eapf
1.3,0,agent_flash,eapf
1.67,2,agent_flash,eapf
1.76,1,agent_flash,eapf
1.97,0,agent_flash,eapf
2.08,2,agent_flash,eapf
2.33,1,agent_flash,eapf
2.46,2,agent_flash,eapf
2.63,0,agent_flash,eapf
2.77,1,agent_flash,eapf
2.89,2,agent_flash,eapf
3.26,1,agent_flash,eapf
3.3,0,agent_flash,eapf
3.3,2,agent_flash,eapf
3.73,2,agent_flash,eapf
3.77,1,agent_flash,eapf
3.97,0,agent_flash,eapf
4.11,2,agent_flash,eapf
4.34,1,agent_flash,eapf
4.47,2,agent_flash,eapf
4.63,0,agent_flash,eapf
4.78,1,agent_flash,eapf
4.89,2,agent_flash,eapf
5.27,1,agent_flash,eapf
5.29,2,agent_flash,eapf
5.3,0,agent_flash,eapf
5.71,2,agent_flash,eapf
5.78,1,agent_flash,eapf
5.97,0,agent_flash,eapf
6.09,2,agent_flash,eapf
6.34,1,agent_flash,eapf
6.45,2,agent_flash,eapf
6.63,0,agent_flash,eapf
6.78,1,agent_flash,eapf
6.87,2,agent_flash,eapf
7.28,1,agent_flash,eapf
7.28,2,agent_flash,eapf
7.3,0,agent_flash,eapf
7.69,2,agent_flash,eapf
7.79,1,agent_flash,eapf
7.97,0,agent_flash,eapf
8.08,2,agent_flash,eapf
8.35,1,agent_flash,eapf
8.44,2,agent_flash,eapf
8.63,0,agent_flash,eapf
8.79,1,agent_flash,eapf
8.87,2,agent_flash,eapf
9.27,2,agent_flash,eapf
9.28,1,agent_flash,eapf
9.3,0,agent_flash,eapf
9.69,2,agent_flash,eapf
9.79,1,agent_flash,eapf
9.97,0,agent_flash,eapf
10.08,2,agent_flash,eapf
10.35,1,agent_flash,eapf
10.44,2,agent_flash,eapf
10.63,0,agent_flash,eapf
10.79,1,agent_flash,eapf
10.87,2,agent_flash,eapf
11.27,2,agent_flash,eapf
11.28,1,agent_flash,eapf
11.3,0,agent_flash,eapf
11.68,2,agent_flash,eapf
11.79,1,agent_flash,eapf
11.97,0,agent_flash,eapf
12.08,2,agent_flash,eapf
12.35,1,agent_flash,eapf
12.44,2,agent_flash,eapf
12.63,0,agent_flash,eapf
12.79,1,agent_flash,eapf
12.87,2,agent_flash,eapf
13.27,2,agent_flash,eapf
13.28,1,agent_flash,eapf
13.3,0,agent_flash,eapf
13.68,2,agent_flash,eapf
13.79,1,agent_flash,eapf
13.97,0,agent_flash,eapf
14.08,2,agent_flash,eapf
14.35,1,agent_flash,eapf
14.44,2,agent_flash,eapf
14.63,0,agent_flash,eapf
14.78,1,agent_flash,eapf
14.86,2,agent_flash,eapf
15.26,2,agent_flash,eapf
15.28,1,agent_flash,eapf
15.3,0,agent_flash,eapf
15.68,2,agent_flash,eapf
15.79,1,agent_flash,eapf
15.97,0,agent_flash,eapf
16.07,2,agent_flash,eapf
16.35,1,agent_flash,eapf
16.44,2,agent_flash,eapf
16.63,0,agent_flash,eapf
16.78,1,agent_flash,eapf
16.86,2,agent_flash,eapf
17.26,2,agent_flash,eapf
17.28,1,agent_flash,eapf
17.3,0,agent_flash,eapf
17.68,2,agent_flash,eapf
17.79,1,agent_flash,eapf
17.97,0,agent_flash,eapf
18.07,2,agent_flash,eapf
18.35,1,agent_flash,eapf
18.44,2,agent_flash,eapf
18.63,0,agent_flash,eapf
18.78,1,agent_flash,eapf
18.86,2,agent_flash,eapf
19.26,2,agent_flash,eapf
19.28,1,agent_flash,eapf
19.3,0,agent_flash,eapf
19.68,2,agent_flash,eapf
19.79,1,agent_flash,eapf
19.97,0,agent_flash,eapf
20.07,2,agent_flash,eapf
20.35,1,agent_flash,eapf
20.44,2,agent_flash,eapf
20.63,0,agent_flash,eapf
