t_s,agent_id,event_type,model
0.18,2,agent_flash,kuramoto
0.32,1,agent_flash,kuramoto
0.39,0,agent_flash,kuramoto
0.74,2,agent_flash,kuramoto
0.82,1,agent_flash,kuramoto
0.9,0,agent_flash,kuramoto
1.26,2,agent_flash,kuramoto
1.32,1,agent_flash,kuramoto
1.4,0,agent_flash,kuramoto
1.77,2,agent_flash,kuramoto
1.83,1,agent_flash,kuramoto
1.91,0,agent_flash,kuramoto
2.27,2,agent_flash,kuramoto
2.33,1,agent_flash,kuramoto
2.42,0,agent_flash,kuramoto
2.78,2,agent_flash,kuramoto
2.84,1,agent_flash,kuramoto
2.92,0,agent_flash,kuramoto
3.29,2,agent_flash,kuramoto
3.35,1,agent_flash,kuramoto
3.43,0,agent_flash,kuramoto
3.79,2,agent_flash,kuramoto
3.85,1,agent_flash,kuramoto
3.94,0,agent_flash,kuramoto
4.3,2,agent_flash,kuramoto
4.36,1,agent_flash,kuramoto
4.44,0,agent_flash,kuramoto
4.81,2,agent_flash,kuramoto
4.87,1,agent_flash,kuramoto
4.95,0,agent_flash,kuramoto
5.31,2,agent_flash,kuramoto
5.37,1,agent_flash,kuramoto
5.46,0,agent_flash,kuramoto
5.82,2,agent_flash,kuramoto
5.88,1,agent_flash,kuramoto
5.96,0,agent_flash,kuramoto
6.33,2,agent_flash,kuramoto
6.39,1,agent_flash,kuramoto
6.47,0,agent_flash,kuramoto
6.83,2,agent_flash,kuramoto
6.89,1,agent_flash,kuramoto
6.98,0,agent_flash,kuramoto
7.34,2,agent_flash,kuramoto
7.4,1,agent_flash,kuramoto
7.48,0,agent_flash,kuramoto
7.85,2,agent_flash,kuramoto
7.91,1,agent_flash,kuramoto
7.99,0,agent_flash,kuramoto
8.35,2,agent_flash,kuramoto
8.42,1,agent_flash,kuramoto
8.5,0,agent_flash,kuramoto
8.86,2,agent_flash,kuramoto
8.92,1,agent_flash,kuramoto
9.0,0,agent_flash,kuramoto
9.37,2,agent_flash,kuramoto
9.43,1,agent_flash,kuramoto
9.51,0,agent_flash,kuramoto
9.87,2,agent_flash,kuramoto
9.94,1,agent_flash,kuramoto
10.02,0,agent_flash,kuramoto
10.38,2,agent_flash,kuramoto
10.44,1,agent_flash,kuramoto
10.52,0,agent_flash,kuramoto
10.89,2,agent_flash,kuramoto
10.95,1,agent_flash,kuramoto
11.03,0,agent_flash,kuramoto
11.4,2,agent_flash,kuramoto
11.46,1,agent_flash,kuramoto
11.54,0,agent_flash,kuramoto
11.9,2,agent_flash,kuramoto
11.96,1,agent_flash,kuramoto
12.04,0,agent_flash,kuramoto
12.41,2,agent_flash,kuramoto
12.47,1,agent_flash,kuramoto
12.55,0,agent_flash,kuramoto
12.92,2,agent_flash,kuramoto
12.98,1,agent_flash,kuramoto
13.06,0,agent_flash,kuramoto
13.42,2,agent_flash,kuramoto
13.48,1,agent_flash,kuramoto
13.56,0,agent_flash,kuramoto
13.93,2,agent_flash,kuramoto
13.99,1,agent_flash,kuramoto
14.07,0,agent_flash,kuramoto
14.44,2,agent_flash,kuramoto
14.5,1,agent_flash,kuramoto
14.58,0,agent_flash,kuramoto
14.94,2,agent_flash,kuramoto
15.0,1,agent_flash,kuramoto
15.08,0,agent_flash,kuramoto
15.45,2,agent_flash,kuramoto
15.51,1,agent_flash,kuramoto
15.59,0,agent_flash,kuramoto
15.96,2,agent_flash,kuramoto
16.02,1,agent_flash,kuramoto
16.1,0,agent_flash,kuramoto
16.46,2,agent_flash,kuramoto
16.52,1,agent_flash,kuramoto
16.61,0,agent_flash,kuramoto
16.97,2,agent_flash,kuramoto
17.03,1,agent_flash,kuramoto
17.11,0,agent_flash,kuramoto
17.48,2,agent_flash,kuramoto
17.54,1,agent_flash,kuramoto
17.62,0,agent_flash,kuramoto
17.98,2,agent_flash,kuramoto
18.04,1,agent_flash,kuramoto
18.13,0,agent_flash,kuramoto
18.49,2,agent_flash,kuramoto
18.55,1,agent_flash,kuramoto
18.63,0,agent_flash,kuramoto
19.0,2,agent_flash,kuramoto
19.06,1,agent_flash,kuramoto
19.14,0,agent_flash,kuramoto
19.5,2,agent_flash,kuramoto
19.56,1,agent_flash,kuramoto
19.65,0,agent_flash,kuramoto
20.01,2,agent_flash,kuramoto
20.07,1,agent_flash,kuramoto
20.15,0,agent_flash,kuramoto
20.52,2,agent_flash,kuramoto
20.58,1,agent_flash,kuramoto
20.66,0,agent_flash,kuramoto
21.02,2,agent_flash,kuramoto
21.08,1,agent_flash,kuramoto
21.17,0,agent_flash,kuramoto
21.53,2,agent_flash,kuramoto
21.59,1,agent_flash,kuramoto
21.67,0,agent_flash,kuramoto
22.04,2,agent_flash,kuramoto
22.1,1,agent_flash,kuramoto
22.18,0,agent_flash,kuramoto
22.54,2,agent_flash,kuramoto
22.6,1,agent_flash,kuramoto
22.69,0,agent_flash,kuramoto
23.05,2,agent_flash,kuramoto
23.11,1,agent_flash,kuramoto
23.19,0,agent_flash,kuramoto
23.56,2,agent_flash,kuramoto
23.62,1,agent_flash,kuramoto
23.7,0,agent_flash,kuramoto
24.06,2,agent_flash,kuramoto
24.12,1,agent_flash,kuramoto
24.21,0,agent_flash,kuramoto
24.57,2,agent_flash,kuramoto
24.63,1,agent_flash,kuramoto
24.71,0,agent_flash,kuramoto
25.08,2,agent_flash,kuramoto
25.14,1,agent_flash,kuramoto
25.22,0,agent_flash,kuramoto
25.58,2,agent_flash,kuramoto
25.64,1,agent_flash,kuramoto
25.73,0,agent_flash,kuramoto
26.09,2,agent_flash,kuramoto
26.15,1,agent_flash,kuramoto
26.23,0,agent_flash,kuramoto
26.6,2,agent_flash,kuramoto
26.66,1,agent_flash,kuramoto
26.74,0,agent_flash,kuramoto
27.1,2,agent_flash,kuramoto
27.17,1,agent_flash,kuramoto
27.25,0,agent_flash,kuramoto
27.61,2,agent_flash,kuramoto
27.67,1,agent_flash,kuramoto
27.75,0,agent_flash,kuramoto
28.12,2,agent_flash,kuramoto
28.18,1,agent_flash,kuramoto
28.26,0,agent_flash,kuramoto
28.63,2,agent_flash,kuramoto
28.69,1,agent_flash,kuramoto
28.77,0,agent_flash,kuramoto
29.13,2,agent_flash,kuramoto
29.19,1,agent_flash,kuramoto
29.27,0,agent_flash,kuramoto
29.64,2,agent_flash,kuramoto
29.7,1,agent_flash,kuramoto
29.78,0,agent_flash,kuramoto
30.15,2,agent_flash,kuramoto
30.21,1,agent_flash,kuramoto
30.29,0,agent_flash,kuramoto
30.65,2,agent_flash,kuramoto
30.71,1,agent_flash,kuramoto
30.79,0,agent_flash,kuramoto
31.16,2,agent_flash,kuramoto
31.22,1,agent_flash,kuramoto
31.3,0,agent_flash,kuramoto
31.67,2,agent_flash,kuramoto
31.73,1,agent_flash,kuramoto
31.81,0,agent_flash,kuramoto
32.17,2,agent_flash,kuramoto
32.23,1,agent_flash,kuramoto
32.31,0,agent_flash,kuramoto
32.68,2,agent_flash,kuramoto
32.74,1,agent_flash,kuramoto
32.82,0,agent_flash,kuramoto
33.19,2,agent_flash,kuramoto
33.25,1,agent_flash,kuramoto
33.33,0,agent_flash,kuramoto
33.69,2,agent_flash,kuramoto
33.75,1,agent_flash,kuramoto
33.84,0,agent_flash,kuramoto
34.2,2,agent_flash,kuramoto
34.26,1,agent_flash,kuramoto
34.34,0,agent_flash,kuramoto
34.71,2,agent_flash,kuramoto
34.77,1,agent_flash,kuramoto
34.85,0,agent_flash,kuramoto
35.21,2,agent_flash,kuramoto
35.27,1,agent_flash,kuramoto
35.36,0,agent_flash,kuramoto
35.72,2,agent_flash,kuramoto
35.78,1,agent_flash,kuramoto
35.86,0,agent_flash,kuramoto
36.23,2,agent_flash,kuramoto
36.29,1,agent_flash,kuramoto
36.37,0,agent_flash,kuramoto
36.73,2,agent_flash,kuramoto
36.79,1,agent_flash,kuramoto
36.88,0,agent_flash,kuramoto
37.24,2,agent_flash,kuramoto
37.3,1,agent_flash,kuramoto
37.38,0,agent_flash,kuramoto
37.75,2,agent_flash,kuramoto
37.81,1,agent_flash,kuramoto
37.89,0,agent_flash,kuramoto
38.25,2,agent_flash,kuramoto
38.31,1,agent_flash,kuramoto
38.4,0,agent_flash,kuramoto
38.76,2,agent_flash,kuramoto
38.82,1,agent_flash,kuramoto
38.9,0,agent_flash,kuramoto
39.27,2,agent_flash,kuramoto
39.33,1,agent_flash,kuramoto
39.41,0,agent_flash,kuramoto
39.77,2,agent_flash,kuramoto
39.83,1,agent_flash,kuramoto
39.92,0,agent_flash,kuramoto
40.28,2,agent_flash,kuramoto
40.34,1,agent_flash,kuramoto
40.42,0,agent_flash,kuramoto
40.79,2,agent_flash,kuramoto
40.85,1,agent_flash,kuramoto
40.93,0,agent_flash,kuramoto
41.29,2,agent_flash,kuramoto
41.35,1,agent_flash,kuramoto
41.44,0,agent_flash,kuramoto
41.8,2,agent_flash,kuramoto
41.86,1,agent_flash,kuramoto
41.94,0,agent_flash,kuramoto
42.31,2,agent_flash,kuramoto
42.37,1,agent_flash,kuramoto
42.45,0,agent_flash,kuramoto
42.81,2,agent_flash,kuramoto
42.87,1,agent_flash,kuramoto
42.96,0,agent_flash,kuramoto
43.32,2,agent_flash,kuramoto
43.38,1,agent_flash,kuramoto
43.46,0,agent_flash,kuramoto
43.83,2,agent_flash,kuramoto
43.89,1,agent_flash,kuramoto
43.97,0,agent_flash,kuramoto
44.33,2,agent_flash,kuramoto
44.4,1,agent_flash,kuramoto
44.48,0,agent_flash,kuramoto
44.84,2,agent_flash,kuramoto
44.9,1,agent_flash,kuramoto
44.98,0,agent_flash,kuramoto
45.35,2,agent_flash,kuramoto
45.41,1,agent_flash,kuramoto
45.49,0,agent_flash,kuramoto
45.85,2,agent_flash,kuramoto
45.92,1,agent_flash,kuramoto
46.0,0,agent_flash,kuramoto
46.36,2,agent_flash,kuramoto
46.42,1,agent_flash,kuramoto
46.5,0,agent_flash,kuramoto
46.87,2,agent_flash,kuramoto
46.93,1,agent_flash,kuramoto
47.01,0,agent_flash,kuramoto
47.38,2,agent_flash,kuramoto
47.44,1,agent_flash,kuramoto
47.52,0,agent_flash,kuramoto
47.88,2,agent_flash,kuramoto
47.94,1,agent_flash,kuramoto
48.02,0,agent_flash,kuramoto
48.39,2,agent_flash,kuramoto
48.45,1,agent_flash,kuramoto
48.53,0,agent_flash,kuramoto
48.9,2,agent_flash,kuramoto
48.96,1,agent_flash,kuramoto
49.04,0,agent_flash,kuramoto
49.4,2,agent_flash,kuramoto
49.46,1,agent_flash,kuramoto
49.54,0,agent_flash,kuramoto
49.91,2,agent_flash,kuramoto
49.97,1,agent_flash,kuramoto
50.05,0,agent_flash,kuramoto
50.42,2,agent_flash,kuramoto
50.48,1,agent_flash,kuramoto
50.56,0,agent_flash,kuramoto
50.92,2,agent_flash,kuramoto
50.98,1,agent_flash,kuramoto
51.07,0,agent_flash,kuramoto
51.43,2,agent_flash,kuramoto
51.49,1,agent_flash,kuramoto
51.57,0,agent_flash,kuramoto
51.94,2,agent_flash,kuramoto
52.0,1,agent_flash,kuramoto
52.08,0,agent_flash,kuramoto
52.44,2,agent_flash,kuramoto
52.5,1,agent_flash,kuramoto
52.59,0,agent_flash,kuramoto
52.95,2,agent_flash,kuramoto
53.01,1,agent_flash,kuramoto
53.09,0,agent_flash,kuramoto
53.46,2,agent_flash,kuramoto
53.52,1,agent_flash,kuramoto
53.6,0,agent_flash,kuramoto
53.96,2,agent_flash,kuramoto
54.02,1,agent_flash,kuramoto
54.11,0,agent_flash,kuramoto
54.47,2,agent_flash,kuramoto
54.53,1,agent_flash,kuramoto
54.61,0,agent_flash,kuramoto
54.98,2,agent_flash,kuramoto
55.04,1,agent_flash,kuramoto
55.12,0,agent_flash,kuramoto
55.48,2,agent_flash,kuramoto
55.54,1,agent_flash,kuramoto
55.63,0,agent_flash,kuramoto
55.99,2,agent_flash,kuramoto
56.05,1,agent_flash,kuramoto
56.13,0,agent_flash,kuramoto
56.5,2,agent_flash,kuramoto
56.56,1,agent_flash,kuramoto
56.64,0,agent_flash,kuramoto
57.0,2,agent_flash,kuramoto
57.06,1,agent_flash,kuramoto
57.15,0,agent_flash,kuramoto
57.51,2,agent_flash,kuramoto
57.57,1,agent_flash,kuramoto
57.65,0,agent_flash,kuramoto
58.02,2,agent_flash,kuramoto
58.08,1,agent_flash,kuramoto
58.16,0,agent_flash,kuramoto
58.52,2,agent_flash,kuramoto
58.58,1,agent_flash,kuramoto
58.67,0,agent_flash,kuramoto
59.03,2,agent_flash,kuramoto
59.09,1,agent_flash,kuramoto
59.17,0,agent_flash,kuramoto
59.54,2,agent_flash,kuramoto
59.6,1,agent_flash,kuramoto
59.68,0,agent_flash,kuramoto
