t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,kuramoto,5.058086,1.5,0
0.01,0,kuramoto,5.185396,1.5,0
0.02,0,kuramoto,5.31274,1.5,0
0.03,0,kuramoto,5.440119,1.5,0
0.04,0,kuramoto,5.56753,1.5,0
0.05,0,kuramoto,5.694973,1.5,0
0.06,0,kuramoto,5.822446,1.5,0
0.07,0,kuramoto,5.949947,1.5,0
0.08,0,kuramoto,6.077474,1.5,0
0.09,0,kuramoto,6.205027,1.5,0
0.1,0,kuramoto,0.049418,1.5,1
0.11,0,kuramoto,0.177016,1.5,0
0.12,0,kuramoto,0.304634,1.5,0
0.13,0,kuramoto,0.43227,1.5,0
0.14,0,kuramoto,0.559923,1.5,0
0.15,0,kuramoto,0.687591,1.5,0
0.16,0,kuramoto,0.815271,1.5,0
0.17,0,kuramoto,0.942963,1.5,0
0.18,0,kuramoto,1.070663,1.5,0
0.19,0,kuramoto,1.198371,1.5,0
0.2,0,kuramoto,1.326084,1.5,0
0.21,0,kuramoto,1.453801,1.5,0
0.22,0,kuramoto,1.581519,1.5,0
0.23,0,kuramoto,1.709237,1.5,0
0.24,0,kuramoto,1.836952,1.5,0
0.25,0,kuramoto,1.964664,1.5,0
0.26,0,kuramoto,2.092369,1.5,0
0.27,0,kuramoto,2.220066,1.5,0
0.28,0,kuramoto,2.347753,1.5,0
0.29,0,kuramoto,2.475428,1.5,0
0.3,0,kuramoto,2.60309,1.5,0
0.31,0,kuramoto,2.730736,1.5,0
0.32,0,kuramoto,2.858365,1.5,0
0.33,0,kuramoto,2.985974,1.5,0
0.34,0,kuramoto,3.113563,1.5,0
0.35,0,kuramoto,3.241129,1.5,0
0.36,0,kuramoto,3.368671,1.5,0
0.37,0,kuramoto,3.496187,1.5,0
0.38,0,kuramoto,3.623676,1.5,0
0.39,0,kuramoto,3.751135,1.5,0
0.4,0,kuramoto,3.878564,1.5,0
0.41,0,kuramoto,4.005961,1.5,0
0.42,0,kuramoto,4.133324,1.5,0
0.43,0,kuramoto,4.260652,1.5,0
0.44,0,kuramoto,4.387944,1.5,0
0.45,0,kuramoto,4.515199,1.5,0
0.46,0,kuramoto,4.642414,1.5,0
0.47,0,kuramoto,4.76959,1.5,0
0.48,0,kuramoto,4.896725,1.5,0
0.49,0,kuramoto,5.023818,1.5,0
0.5,0,kuramoto,5.150868,1.5,0
0.51,0,kuramoto,5.277873,1.5,0
0.52,0,kuramoto,5.404834,1.5,0
0.53,0,kuramoto,5.531749,1.5,0
0.54,0,kuramoto,5.658618,1.5,0
0.55,0,kuramoto,5.785439,1.5,0
0.56,0,kuramoto,5.912212,1.5,0
0.57,0,kuramoto,6.038937,1.5,0
0.58,0,kuramoto,6.165612,1.5,0
0.59,0,kuramoto,0.009053,1.5,1
0.6,0,kuramoto,0.135629,1.5,0
0.61,0,kuramoto,0.262154,1.5,0
0.62,0,kuramoto,0.388629,1.5,0
0.63,0,kuramoto,0.515053,1.5,0
0.64,0,kuramoto,0.641425,1.5,0
0.65,0,kuramoto,0.767746,1.5,0
0.66,0,kuramoto,0.894015,1.5,0
0.67,0,kuramoto,1.020232,1.5,0
0.68,0,kuramoto,1.146397,1.5,0
0.69,0,kuramoto,1.272511,1.5,0
0.7,0,kuramoto,1.398573,1.5,0
0.71,0,kuramoto,1.524583,1.5,0
0.72,0,kuramoto,1.650541,1.5,0
0.73,0,kuramoto,1.776448,1.5,0
0.74,0,kuramoto,1.902303,1.5,0
0.75,0,kuramoto,2.028107,1.5,0
0.76,0,kuramoto,2.153861,1.5,0
0.77,0,kuramoto,2.279564,1.5,0
0.78,0,kuramoto,2.405216,1.5,0
0.79,0,kuramoto,2.530819,1.5,0
0.8,0,kuramoto,2.656372,1.5,0
0.81,0,kuramoto,2.781876,1.5,0
0.82,0,kuramoto,2.907331,1.5,0
0.83,0,kuramoto,3.032738,1.5,0
0.84,0,kuramoto,3.158097,1.5,0
0.85,0,kuramoto,3.283408,1.5,0
0.86,0,kuramoto,3.408673,1.5,0
0.87,0,kuramoto,3.533891,1.5,0
0.88,0,kuramoto,3.659063,1.5,0
0.89,0,kuramoto,3.78419,1.5,0
0.9,0,kuramoto,3.909272,1.5,0
