t_s,agent_id,model,phase,frequency_hz,is_firing
0.0,0,pco_if,0.015,1.5,0
0.01,0,pco_if,0.03,1.5,0
0.02,0,pco_if,0.045,1.5,0
0.03,0,pco_if,0.06,1.5,0
0.04,0,pco_if,0.075,1.5,0
0.05,0,pco_if,0.09,1.5,0
0.06,0,pco_if,0.105,1.5,0
0.07,0,pco_if,0.12,1.5,0
0.08,0,pco_if,0.135,1.5,0
0.09,0,pco_if,0.15,1.5,0
0.1,0,pco_if,0.165,1.5,0
0.11,0,pco_if,0.18,1.5,0
0.12,0,pco_if,0.195,1.5,0
0.13,0,pco_if,0.21,1.5,0
0.14,0,pco_if,0.225,1.5,0
0.15,0,pco_if,0.24,1.5,0
0.16,0,pco_if,0.255,1.5,0
0.17,0,pco_if,0.27,1.5,0
0.18,0,pco_if,0.285,1.5,0
0.19,0,pco_if,0.3,1.5,0
0.2,0,pco_if,0.315,1.5,0
0.21,0,pco_if,0.33,1.5,0
0.22,0,pco_if,0.345,1.5,0
0.23,0,pco_if,0.36,1.5,0
0.24,0,pco_if,0.375,1.5,0
0.25,0,pco_if,0.39,1.5,0
0.26,0,pco_if,0.405,1.5,0
0.27,0,pco_if,0.42,1.5,0
0.28,0,pco_if,0.435,1.5,0
0.29,0,pco_if,0.45,1.5,0
0.3,0,pco_if,0.465,1.5,0
0.31,0,pco_if,0.48,1.5,0
0.32,0,pco_if,0.495,1.5,0
0.33,0,pco_if,0.51,1.5,0
0.34,0,pco_if,0.525,1.5,0
0.35,0,pco_if,0.54,1.5,0
0.36,0,pco_if,0.555,1.5,0
0.37,0,pco_if,0.57,1.5,0
0.38,0,pco_if,0.585,1.5,0
0.39,0,pco_if,0.6,1.5,0
0.4,0,pco_if,0.615,1.5,0
0.41,0,pco_if,0.63,1.5,0
0.42,0,pco_if,0.645,1.5,0
0.43,0,pco_if,0.66,1.5,0
0.44,0,pco_if,0.675,1.5,0
0.45,0,pco_if,0.69,1.5,0
0.46,0,pco_if,0.705,1.5,0
0.47,0,pco_if,0.72,1.5,0
0.48,0,pco_if,0.735,1.5,0
0.49,0,pco_if,0.75,1.5,0
0.5,0,pco_if,0.765,1.5,0
0.51,0,pco_if,0.78,1.5,0
0.52,0,pco_if,0.795,1.5,0
0.53,0,pco_if,0.81,1.5,0
0.54,0,pco_if,0.825,1.5,0
0.55,0,pco_if,0.84,1.5,0
0.56,0,pco_if,0.855,1.5,0
0.57,0,pco_if,0.87,1.5,0
0.58,0,pco_if,0.885,1.5,0
0.59,0,pco_if,0.9,1.5,0
0.6,0,pco_if,0.915,1.5,0
0.61,0,pco_if,0.93,1.5,0
0.62,0,pco_if,0.945,1.5,0
0.63,0,pco_if,0.96,1.5,0
0.64,0,pco_if,0.975,1.5,0
0.65,0,pco_if,0.99,1.5,0
