t_s,agent_id,event_type,model
0.43,2,agent_flash,eapf_consensus
0.49,1,agent_flash,eapf_consensus
0.66,0,agent_flash,eapf_consensus
0.92,2,agent_flash,eapf_consensus
1.16,1,agent_flash,eapf_consensus
1.33,0,agent_flash,eapf_consensus
1.82,2,agent_flash,eapf_consensus
1.99,0,agent_flash,eapf_consensus
1.99,1,agent_flash,eapf_consensus
2.65,1,agent_flash,eapf_consensus
2.66,0,agent_flash,eapf_consensus
2.69,2,agent_flash,eapf_consensus
3.31,2,agent_flash,eapf_consensus
3.33,0,agent_flash,eapf_consensus
3.33,1,agent_flash,eapf_consensus
3.99,0,agent_flash,eapf_consensus
3.99,1,agent_flash,eapf_consensus
4.0,2,agent_flash,eapf_consensus
4.65,1,agent_flash,eapf_consensus
4.65,2,agent_flash,eapf_consensus
4.66,0,agent_flash,eapf_consensus
5.31,2,agent_flash,eapf_consensus
5.33,0,agent_flash,eapf_consensus
5.33,1,agent_flash,eapf_consensus
5.99,0,agent_flash,eapf_consensus
5.99,1,agent_flash,eapf_consensus
6.64,2,agent_flash,eapf_consensus
6.65,1,agent_flash,eapf_consensus
6.66,0,agent_flash,eapf_consensus
7.31,2,agent_flash,eapf_consensus
7.33,0,agent_flash,eapf_consensus
7.33,1,agent_flash,eapf_consensus
7.99,0,agent_flash,eapf_consensus
7.99,1,agent_flash,eapf_consensus
7.99,2,agent_flash,eapf_consensus
8.64,2,agent_flash,eapf_consensus
8.65,1,agent_flash,eapf_consensus
8.66,0,agent_flash,eapf_consensus
9.31,2,agent_flash,eapf_consensus
9.33,0,agent_flash,eapf_consensus
9.33,1,agent_flash,eapf_consensus
9.99,0,agent_flash,eapf_consensus
9.99,1,agent_flash,eapf_consensus
9.99,2,agent_flash,eapf_consensus
