t_s,agent_id,event_type,model
0.43,2,agent_flash,pco_if
0.49,1,agent_flash,pco_if
0.66,0,agent_flash,pco_if
0.66,2,agent_flash,pco_if
0.82,1,agent_flash,pco_if
0.92,2,agent_flash,pco_if
1.32,1,agent_flash,pco_if
1.32,2,agent_flash,pco_if
1.33,0,agent_flash,pco_if
1.76,2,agent_flash,pco_if
1.82,1,agent_flash,pco_if
2.0,0,agent_flash,pco_if
2.0,2,agent_flash,pco_if
2.12,1,agent_flash,pco_if
2.33,2,agent_flash,pco_if
2.62,1,agent_flash,pco_if
2.62,2,agent_flash,pco_if
2.67,0,agent_flash,pco_if
3.0,2,agent_flash,pco_if
3.06,1,agent_flash,pco_if
3.34,0,agent_flash,pco_if
3.34,1,agent_flash,pco_if
3.34,2,agent_flash,pco_if
3.78,2,agent_flash,pco_if
3.84,1,agent_flash,pco_if
4.01,0,agent_flash,pco_if
4.01,2,agent_flash,pco_if
4.17,1,agent_flash,pco_if
4.27,2,agent_flash,pco_if
4.67,1,agent_flash,pco_if
4.67,2,agent_flash,pco_if
4.68,0,agent_flash,pco_if
5.11,2,agent_flash,pco_if
5.17,1,agent_flash,pco_if
5.35,0,agent_flash,pco_if
5.35,2,agent_flash,pco_if
5.47,1,agent_flash,pco_if
5.68,2,agent_flash,pco_if
5.97,1,agent_flash,pco_if
5.97,2,agent_flash,pco_if
6.02,0,agent_flash,pco_if
6.35,2,agent_flash,pco_if
6.41,1,agent_flash,pco_if
6.69,0,agent_flash,pco_if
6.69,1,agent_flash,pco_if
6.69,2,agent_flash,pco_if
7.13,2,agent_flash,pco_if
7.19,1,agent_flash,pco_if
7.36,0,agent_flash,pco_if
7.36,2,agent_flash,pco_if
7.52,1,agent_flash,pco_if
7.62,2,agent_flash,pco_if
8.02,1,agent_flash,pco_if
8.02,2,agent_flash,pco_if
8.03,0,agent_flash,pco_if
8.46,2,agent_flash,pco_if
8.52,1,agent_flash,pco_if
8.7,0,agent_flash,pco_if
8.7,2,agent_flash,pco_if
8.82,1,agent_flash,pco_if
9.03,2,agent_flash,pco_if
9.32,1,agent_flash,pco_if
9.32,2,agent_flash,pco_if
9.37,0,agent_flash,pco_if
9.7,2,agent_flash,pco_if
9.76,1,agent_flash,pco_if
