model,variant,topology,freq_set,trial_id,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,offset_phase_lock_success,sync_diagnostic_label
kuramoto,baseline,all_to_all,near_identical,kuramoto_baseline_all_to_all_near_identical_r01,True,True,True,True,True,0.0,1.0,0.0,0.017143,0.004661,0.991097,True,full_group_sync
kuramoto,baseline,all_to_all,near_identical,kuramoto_baseline_all_to_all_near_identical_r02,True,True,True,True,True,0.002072,1.0,0.0,0.016825,0.00459,0.991097,True,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,kuramoto_baseline_all_to_all_strong_heterogeneity_r01,True,True,True,True,True,0.0,1.0,0.0,0.067,0.003503,0.874471,True,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,kuramoto_baseline_all_to_all_strong_heterogeneity_r02,True,True,True,True,True,0.0,1.0,0.0,0.066667,0.002667,0.874471,True,full_group_sync
kuramoto,baseline,chain,near_identical,kuramoto_baseline_chain_near_identical_r01,True,True,True,True,True,0.002072,1.0,0.0,0.025714,0.002333,0.980123,True,full_group_sync
kuramoto,baseline,chain,near_identical,kuramoto_baseline_chain_near_identical_r02,True,True,True,True,True,0.0,1.0,0.0,0.025397,0.003266,0.980123,True,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,kuramoto_baseline_chain_strong_heterogeneity_r01,False,True,False,True,True,0.0,1.0,0.0,0.094098,0.002667,0.754906,True,offset_phase_locked
kuramoto,baseline,chain,strong_heterogeneity,kuramoto_baseline_chain_strong_heterogeneity_r02,False,False,False,True,True,0.0,1.0,0.0,0.104839,0.071474,0.754906,False,phase_not_synchronised
kuramoto,baseline,directed_chain,near_identical,kuramoto_baseline_directed_chain_near_identical_r01,True,True,True,True,True,0.0,1.0,0.0,0.044,0.004018,0.94817,True,full_group_sync
kuramoto,baseline,directed_chain,near_identical,kuramoto_baseline_directed_chain_near_identical_r02,True,True,True,True,True,0.0,1.0,0.0,0.043667,0.004051,0.94817,True,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,kuramoto_baseline_directed_chain_strong_heterogeneity_r01,False,False,False,False,False,0.598636,1.3125,0.5,0.140833,0.107245,0.51479,False,extra_flashes_or_harmonic_locking
kuramoto,baseline,directed_chain,strong_heterogeneity,kuramoto_baseline_directed_chain_strong_heterogeneity_r02,False,False,False,False,False,0.596436,1.3125,0.5,0.149375,0.125084,0.521803,False,extra_flashes_or_harmonic_locking
pco_simple,simple,all_to_all,near_identical,pco_simple_simple_all_to_all_near_identical_r01,False,False,True,False,False,0.914037,1.4737,0.9,0.042419,0.049602,0.979876,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,near_identical,pco_simple_simple_all_to_all_near_identical_r02,False,False,True,False,False,0.914037,1.4737,0.9,0.042419,0.049602,0.979876,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,strong_heterogeneity,pco_simple_simple_all_to_all_strong_heterogeneity_r01,False,False,True,False,False,1.494074,2.0,1.5,0.055714,0.087055,0.975757,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,all_to_all,strong_heterogeneity,pco_simple_simple_all_to_all_strong_heterogeneity_r02,False,False,True,False,False,1.494074,2.0,1.5,0.055714,0.087055,0.975757,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,near_identical,pco_simple_simple_chain_near_identical_r01,False,False,True,False,False,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,near_identical,pco_simple_simple_chain_near_identical_r02,False,False,True,False,False,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,strong_heterogeneity,pco_simple_simple_chain_strong_heterogeneity_r01,False,False,True,False,False,1.491002,2.0,1.5,0.075536,0.094588,0.97214,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain,strong_heterogeneity,pco_simple_simple_chain_strong_heterogeneity_r02,False,False,True,False,False,1.491002,2.0,1.5,0.075536,0.094588,0.97214,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,near_identical,pco_simple_simple_directed_chain_near_identical_r01,False,False,True,False,False,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,near_identical,pco_simple_simple_directed_chain_near_identical_r02,False,False,True,False,False,0.4991,1.2632,0.5,0.045161,0.043296,0.98288,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,strong_heterogeneity,pco_simple_simple_directed_chain_strong_heterogeneity_r01,False,False,True,False,False,1.491002,2.0,1.5,0.075536,0.094588,0.97214,False,partial_phase_lock_with_extra_flashes
pco_simple,simple,directed_chain,strong_heterogeneity,pco_simple_simple_directed_chain_strong_heterogeneity_r02,False,False,True,False,False,1.491002,2.0,1.5,0.075536,0.094588,0.97214,False,partial_phase_lock_with_extra_flashes
