model,variant,topology,freq_set,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
eapf_consensus,cons_pg0.05_fg0.02,all_to_all,near_identical,2,0.0,0.0,1.0,0.0,1.0,0.1,1.0526,0.1,0.012542,0.040178,0.999555,partial_phase_lock
eapf_consensus,cons_pg0.05_fg0.02,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.5,1.4545,0.5,0.258,0.311742,0.843185,extra_flashes_or_harmonic_locking
eapf_consensus,cons_pg0.05_fg0.02,chain,near_identical,2,0.0,0.0,1.0,0.0,1.0,0.2,1.1111,0.2,0.049322,0.145279,0.998962,partial_phase_lock
eapf_consensus,cons_pg0.05_fg0.02,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.5,1.4545,0.5,0.252889,0.285834,0.663059,extra_flashes_or_harmonic_locking
eapf_consensus,cons_pg0.05_fg0.02,directed_chain,near_identical,2,0.0,0.0,1.0,0.0,1.0,0.2,1.1111,0.2,0.049322,0.145279,0.998962,partial_phase_lock
eapf_consensus,cons_pg0.05_fg0.02,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.5,1.4545,0.5,0.252889,0.285834,0.663059,extra_flashes_or_harmonic_locking
eapf_consensus,cons_pg0.05_fg0.05,all_to_all,near_identical,2,0.0,0.0,1.0,0.0,1.0,0.3,1.1765,0.3,0.048596,0.114178,0.999606,partial_phase_lock
eapf_consensus,cons_pg0.05_fg0.05,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.5,1.4545,0.5,0.258,0.311742,0.843185,extra_flashes_or_harmonic_locking
eapf_consensus,cons_pg0.05_fg0.05,chain,near_identical,2,0.0,0.0,1.0,0.0,1.0,0.3,1.1765,0.3,0.085088,0.19424,0.999123,partial_phase_lock
eapf_consensus,cons_pg0.05_fg0.05,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.5,1.4545,0.5,0.252889,0.285834,0.663059,extra_flashes_or_harmonic_locking
