t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
1.5e-05,0.000143,1.5,0.0,0,0.015
0.965845,2.819689,1.5,0.0,1,965.83
1.047083,3.585339,1.5,0.0,0,81.238
1.111188,4.189511,1.5,0.0,0,64.105
1.186233,4.896794,1.5,0.0,0,75.045
1.246874,5.468322,1.5,0.0,0,60.641
1.309377,6.057402,1.5,0.0,0,62.503
1.38106,0.449817,1.5,0.0,1,71.683
1.460938,1.202646,1.5,0.0,0,79.878
1.541801,1.964762,1.5,0.0,0,80.863
1.615021,2.654843,1.5,0.0,0,73.22
1.683123,3.28607,1.5,-2.654843,0,68.102
1.743377,3.834883,1.5,-2.644224,0,60.254
1.807105,4.409743,1.5,-2.625152,0,63.728
1.883365,5.09747,1.5,-2.599393,0,76.26
1.964778,5.829689,1.5,-2.568389,0,81.413
2.044746,0.261997,1.5,-2.533312,1,79.969
2.117104,0.903413,1.5,-2.495117,0,72.357
2.183621,1.495111,1.501992,-0.695275,0,66.517
2.243753,2.032541,1.50557,-0.472657,0,60.133
2.308758,2.622459,1.510402,-0.241467,0,65.005
2.384786,3.324028,1.516218,0.016476,0,76.028
2.466694,4.089525,1.522798,0.284373,0,81.908
2.560599,4.978468,1.529962,0.579576,0,93.904
2.622889,5.572729,1.537567,0.772298,0,62.29
2.684827,6.171023,1.545486,0.889095,0,61.938
2.744232,0.46886,1.553626,1.057548,1,59.405
2.809925,1.11842,1.56191,1.236221,0,65.693
2.886554,1.88282,1.570275,1.437233,0,76.63
2.96775,2.700388,1.578673,1.642355,0,81.195
3.047016,3.507145,1.587064,1.83403,0,79.266
3.119099,4.250351,1.595414,1.999003,0,72.083
3.183584,4.925075,1.603704,2.195956,0,64.485
3.243239,5.558089,1.611914,2.315444,0,59.655
3.308846,6.257854,1.620026,2.442694,0,65.607
3.384946,0.787869,1.628028,2.58813,1,76.099
3.467013,1.669188,1.635909,2.74032,0,82.068
3.545838,2.524381,1.643662,2.877824,0,78.824
3.618856,3.326431,1.651282,2.995416,0,73.018
3.685505,4.068713,1.65876,3.101361,0,66.649
3.745129,4.71833,1.666093,-3.106037,0,59.624
3.810928,5.417705,1.673282,-2.997594,0,65.799
3.886869,6.213153,1.680326,-2.853891,0,75.941
3.968819,0.782059,1.687226,-2.688078,1,81.95
4.048214,1.603157,1.693984,-2.520625,0,79.395
4.120202,2.343453,1.700601,-2.363169,0,71.988
4.184803,3.004104,1.707084,-2.222734,0,64.601
4.2446,3.613444,1.713434,-2.083804,0,59.797
4.309773,4.281722,1.719652,-1.935236,0,65.174
4.385686,5.068179,1.72574,-1.769098,0,75.913
4.4681,5.928408,1.7317,-1.594339,0,82.414
4.548541,0.488053,1.737533,-1.426343,1,80.442
4.621564,1.254227,1.743241,-1.274411,0,73.023
4.686982,1.941332,1.748821,-1.150089,0,65.418
4.74751,2.57877,1.754276,-1.02643,0,60.527
4.813591,3.281434,1.75961,-0.89817,0,66.081
4.889132,4.09301,1.764824,-0.759975,0,75.542
4.970664,4.975729,1.769923,-0.617634,0,81.531
5.050615,5.84583,1.774909,-0.482407,0,79.951
5.122464,0.347244,1.779784,-0.363312,1,71.849
5.187112,1.055822,1.784555,-0.258877,0,64.649
5.246329,1.707643,1.789222,-0.165341,0,59.217
5.31169,2.432438,1.793789,-0.06772,0,65.361
5.387642,3.280637,1.798256,0.039411,0,75.952
5.469598,4.200969,1.802626,0.149763,0,81.956
5.549017,5.096958,1.806901,0.252593,0,79.419
5.621208,5.9151,1.811083,0.342498,0,72.191
5.687558,0.387552,1.815179,0.446363,1,66.349
5.747182,1.070125,1.819191,0.514547,0,59.624
5.812697,1.823378,1.823119,0.585945,0,65.516
5.888752,2.700766,1.826964,0.665532,0,76.055
5.970795,3.650471,1.830728,0.747962,0,82.042
6.050438,4.576232,1.834412,0.824161,0,79.643
6.121913,5.411319,1.838017,0.888367,0,71.475
6.186166,6.166109,1.841544,0.936796,0,64.253
6.245658,0.585429,1.844994,0.982837,1,59.492
6.310833,1.356415,1.84837,1.031702,0,65.176
6.386979,2.257448,1.851673,1.088259,0,76.146
6.469757,3.238477,1.854904,1.148103,0,82.778
6.548614,4.176707,1.858065,1.201469,0,78.857
6.620922,5.041181,1.861156,1.246259,0,72.307
6.687791,5.844613,1.86418,1.299857,0,66.87
6.747109,0.278695,1.867138,1.328592,1,59.318
6.81324,1.077948,1.870031,1.360841,0,66.131
6.889279,1.995716,1.872861,1.398958,0,76.038
6.971013,2.982759,1.875629,1.439323,0,81.735
7.050283,3.943028,1.878336,1.475467,0,79.27
7.12224,4.819142,1.880984,1.50387,0,71.957
7.185562,5.595064,1.883573,1.510937,0,63.322
7.243432,0.024902,1.886106,1.525303,0,57.87
7.308191,0.821036,1.888584,1.543037,0,64.76
7.384393,1.754486,1.891006,1.567146,0,76.202
7.466274,2.75711,1.893376,1.593412,0,81.881
7.546436,3.741018,1.895694,1.616789,0,80.162
7.618415,4.629097,1.89796,1.633177,0,71.978
7.684758,5.451639,1.900187,1.697185,0,66.343
7.744352,6.195069,1.902374,1.70368,0,59.594
7.810124,0.730447,1.904518,1.71266,1,65.772
7.886517,1.677408,1.906622,1.726749,0,76.392
7.968505,2.692829,1.908683,1.74273,0,81.989
8.047812,3.677527,1.910703,1.75568,0,79.307
8.119124,4.567582,1.912681,1.762692,0,71.312
8.183613,5.37675,1.914629,1.752566,0,64.489
8.24354,6.132007,1.916544,1.752025,0,59.927
8.3082,0.661931,1.918426,1.753183,1,64.66
8.384443,1.615577,1.920273,1.759653,0,76.243
8.466764,2.643581,1.922085,1.768288,0,82.321
8.545622,3.630844,1.923862,1.774057,0,78.858
8.618534,4.547242,1.925604,1.775813,0,72.912
8.684502,5.38048,1.927311,1.768398,0,65.968
8.744186,6.138361,1.928983,1.762021,0,59.684
8.809464,0.68149,1.93062,1.757622,1,65.278
8.886135,1.646688,1.932223,1.757793,0,76.672
8.967662,2.671613,1.933792,1.759374,0,81.527
