t_s,event_type
0.997368,follower_flash
1.349202,follower_flash
1.886446,leader_flash
2.013547,follower_flash
2.401172,leader_flash
2.690228,follower_flash
2.92235,leader_flash
3.372408,leader_flash
3.372408,follower_flash
3.894417,leader_flash
3.956605,follower_flash
4.414169,leader_flash
4.549205,follower_flash
4.8812,leader_flash
5.093006,follower_flash
5.420906,leader_flash
5.72703,follower_flash
5.889072,leader_flash
6.338481,leader_flash
6.338481,follower_flash
6.862862,leader_flash
6.862862,follower_flash
7.363629,leader_flash
7.432374,follower_flash
7.863614,leader_flash
7.932998,follower_flash
8.364346,leader_flash
8.433131,follower_flash
8.865108,leader_flash
8.933837,follower_flash
9.36564,leader_flash
9.434777,follower_flash
9.866539,leader_flash
9.935581,follower_flash
10.401948,leader_flash
10.467679,follower_flash
10.866348,leader_flash
10.936828,follower_flash
11.375383,leader_flash
11.44615,follower_flash
11.889322,leader_flash
11.959102,follower_flash
12.347219,leader_flash
12.438488,follower_flash
12.884885,leader_flash
12.956472,follower_flash
13.399576,leader_flash
13.399576,follower_flash
13.865655,leader_flash
13.95569,follower_flash
14.401691,leader_flash
14.401691,follower_flash
14.865747,leader_flash
14.957706,follower_flash
15.404281,leader_flash
15.404281,follower_flash
15.868512,leader_flash
15.959629,follower_flash
16.35015,leader_flash
16.441268,follower_flash
16.888153,leader_flash
16.888153,follower_flash
17.349297,leader_flash
17.441026,follower_flash
17.890219,leader_flash
17.890219,follower_flash
18.349745,leader_flash
18.440529,follower_flash
18.885279,leader_flash
18.885279,follower_flash
19.342218,follower_flash
19.399881,leader_flash
19.861877,leader_flash
19.861877,follower_flash
20.346107,leader_flash
20.346107,follower_flash
20.883539,leader_flash
20.883539,follower_flash
21.345392,leader_flash
21.345392,follower_flash
21.81972,follower_flash
21.879447,leader_flash
22.337023,follower_flash
22.396264,leader_flash
22.866475,leader_flash
22.866475,follower_flash
23.401372,leader_flash
23.401372,follower_flash
23.847452,leader_flash
23.847452,follower_flash
24.366061,leader_flash
24.366061,follower_flash
24.865568,leader_flash
24.865568,follower_flash
25.36404,leader_flash
25.36404,follower_flash
25.862175,leader_flash
25.862175,follower_flash
26.36028,leader_flash
26.36028,follower_flash
26.860555,leader_flash
26.860555,follower_flash
27.35738,leader_flash
27.35738,follower_flash
27.85808,leader_flash
27.85808,follower_flash
28.357926,follower_flash
28.427072,leader_flash
28.854569,follower_flash
28.924572,leader_flash
29.385132,leader_flash
29.385132,follower_flash
29.828134,follower_flash
29.918017,leader_flash
