t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
1.6e-05,0,0,92.67,0.0,994.81
0.99492,0,0,105.67,0.0,62.97
1.057987,0,0,95.67,0.0,82.84
1.140898,0,0,96.33,0.0,85.38
1.226355,0,0,96.33,0.0,60.94
1.287369,0,0,94.67,0.0,89.75
1.377191,0,0,107.0,0.0,64.22
1.441483,0,0,108.33,0.0,65.87
1.507423,0,0,112.0,0.0,73.99
1.581484,0,0,96.0,0.1075,83.38
1.664931,0,0,97.0,0.1706,82.73
1.747737,0,0,95.33,0.0441,75.3
1.823113,0,0,98.67,0.2917,68.6
1.891781,1,1,106.67,0.9035,61.42
1.953342,1,0,109.67,1.0,65.45
2.018918,1,0,112.0,1.0,74.5
2.093534,0,0,95.67,0.0389,83.05
2.176703,0,0,97.67,0.1666,82.84
2.259661,0,0,96.0,0.0537,74.18
2.333959,1,1,108.67,0.9158,68.1
2.402206,1,0,107.33,0.8368,65.31
2.467636,1,0,110.33,1.0,82.51
2.550264,1,0,111.33,1.0,61.04
2.611405,0,0,95.67,0.0153,84.64
2.696144,0,0,97.67,0.1425,81.42
2.77767,0,0,95.67,0.0111,74.33
2.852107,1,1,107.0,0.7545,65.02
2.917364,1,0,106.67,0.7371,62.73
2.980285,1,0,112.0,1.0,72.41
3.052859,0,0,97.0,0.0865,82.11
3.135132,0,0,96.0,0.0211,84.33
3.219623,0,0,96.0,0.0212,60.49
3.28031,0,0,93.33,0.0,89.11
3.369591,1,1,107.0,0.7416,63.57
3.433375,1,0,107.67,0.7892,64.41
3.497955,1,0,111.67,1.0,72.82
3.57094,0,0,94.33,0.0,82.66
3.653766,0,0,96.0,0.0533,84.2
3.738127,0,0,96.33,0.0699,59.25
3.797542,0,0,95.67,0.0252,88.2
3.885907,1,1,107.0,0.7294,61.19
3.947334,1,0,110.33,0.9433,66.86
4.014376,1,0,111.33,1.0,77.65
4.092209,0,0,95.33,0.0,84.47
4.176853,0,0,97.33,0.125,82.11
4.259137,0,0,95.33,0.0,74.85
4.334161,1,1,108.0,0.7919,67.4
4.401784,1,0,106.67,0.7088,61.8
4.463811,1,0,110.0,0.9169,68.09
4.532089,1,0,110.67,0.9588,78.24
4.610512,0,0,94.67,0.0,84.57
4.695264,0,0,96.33,0.0628,81.59
4.777035,0,0,95.0,0.0,73.69
4.850913,1,1,107.0,0.7423,65.1
4.91626,1,0,107.0,0.7448,62.9
4.979355,1,0,112.33,1.0,72.27
5.051822,0,0,98.33,0.1875,81.52
5.133529,0,0,96.33,0.0625,83.84
5.217559,0,0,96.33,0.0625,57.71
5.27547,0,0,95.67,0.0213,87.2
5.36286,0,0,105.67,0.6463,61.27
5.42435,1,1,106.67,0.7088,61.93
5.486529,1,0,110.0,0.9207,69.1
5.555825,0,0,97.0,0.1052,80.5
