follower_freq_hz,rep,phase_gain,frequency_gain,sync_success,time_to_sync_s,steady_state_mae_s,steady_state_jitter_s,final_frequency_hz,flash_count_ratio,extra_flash_count
1.5,1,0.02,0.02,True,3.0,0.01,0.0,2.0,0.9917,-1
1.5,2,0.02,0.02,True,3.0,0.01,0.0,2.0,0.9917,-1
1.5,3,0.02,0.02,True,3.0,0.01,0.0,2.0,0.9917,-1
1.5,4,0.02,0.02,True,3.0,0.01,0.0,2.0,0.9917,-1
1.5,5,0.02,0.02,True,3.0,0.01,0.0,2.0,0.9917,-1
1.8,1,0.02,0.02,True,2.5,0.01,0.0,2.0,0.9917,-1
1.8,2,0.02,0.02,True,2.5,0.01,0.0,2.0,0.9917,-1
1.8,3,0.02,0.02,True,2.5,0.01,0.0,2.0,0.9917,-1
1.8,4,0.02,0.02,True,2.5,0.01,0.0,2.0,0.9917,-1
1.8,5,0.02,0.02,True,2.5,0.01,0.0,2.0,0.9917,-1
2.3,1,0.02,0.02,True,2.49,0.01,0.0,2.0,0.9917,-1
2.3,2,0.02,0.02,True,2.49,0.01,0.0,2.0,0.9917,-1
2.3,3,0.02,0.02,True,2.49,0.01,0.0,2.0,0.9917,-1
2.3,4,0.02,0.02,True,2.49,0.01,0.0,2.0,0.9917,-1
2.3,5,0.02,0.02,True,2.49,0.01,0.0,2.0,0.9917,-1
