t_s,state,virtual_event,brightness,signal_norm
1.1e-05,0,0,0,0
0.000454,0,0,0,0
0.000477,0,0,0,0
0.000485,0,0,0,0
0.000489,0,0,0,0
0.000494,0,0,0,0
0.000499,0,0,0,0
0.000503,0,0,0,0
0.000507,0,0,0,0
0.000511,0,0,0,0
0.000515,0,0,0,0
0.00052,0,0,0,0
0.000524,0,0,0,0
0.000532,0,0,0,0
0.000536,0,0,0,0
0.00054,0,0,0,0
0.000544,0,0,0,0
0.000548,0,0,0,0
0.000552,0,0,0,0
0.000556,0,0,0,0
0.00056,0,0,0,0
0.000564,0,0,0,0
0.000568,0,0,0,0
0.000571,0,0,0,0
0.000575,0,0,0,0
0.000579,0,0,0,0
0.000583,0,0,0,0
0.000587,0,0,0,0
0.000591,0,0,0,0
0.000595,0,0,0,0
0.000602,0,0,0,0
0.000606,0,0,0,0
0.00061,0,0,0,0
0.000613,0,0,0,0
0.000617,0,0,0,0
0.000621,0,0,0,0
0.000625,0,0,0,0
0.000628,0,0,0,0
0.000632,0,0,0,0
0.000636,0,0,0,0
0.000639,0,0,0,0
0.000643,0,0,0,0
0.000647,0,0,0,0
0.000651,0,0,0,0
0.000655,0,0,0,0
0.000659,0,0,0,0
0.000663,0,0,0,0
0.000667,0,0,0,0
0.00067,0,0,0,0
0.000674,0,0,0,0
0.000679,0,0,0,0
0.000683,0,0,0,0
0.000687,0,0,0,0
0.000691,0,0,0,0
0.000695,0,0,0,0
0.000698,0,0,0,0
0.000702,0,0,0,0
0.000706,0,0,0,0
0.00071,0,0,0,0
0.000714,0,0,0,0
0.000717,0,0,0,0
0.000721,0,0,0,0
0.000725,0,0,0,0
0.000728,0,0,0,0
0.000732,0,0,0,0
0.000737,0,0,0,0
0.000742,0,0,0,0
0.000746,0,0,0,0
0.000749,0,0,0,0
0.000754,0,0,0,0
0.000758,0,0,0,0
0.000761,0,0,0,0
0.000765,0,0,0,0
0.000769,0,0,0,0
0.000773,0,0,0,0
0.000776,0,0,0,0
0.00078,0,0,0,0
0.000785,0,0,0,0
0.00079,0,0,0,0
0.000794,0,0,0,0
0.000797,0,0,0,0
0.000801,0,0,0,0
0.000805,0,0,0,0
0.000808,0,0,0,0
0.000812,0,0,0,0
0.000817,0,0,0,0
0.00082,0,0,0,0
0.000824,0,0,0,0
0.000829,0,0,0,0
0.000833,0,0,0,0
0.000837,0,0,0,0
0.000841,0,0,0,0
0.000845,0,0,0,0
0.000849,0,0,0,0
0.000853,0,0,0,0
0.000857,0,0,0,0
0.000861,0,0,0,0
0.000864,0,0,0,0
0.000868,0,0,0,0
0.000872,0,0,0,0
0.000876,0,0,0,0
0.00088,0,0,0,0
0.000883,0,0,0,0
0.000887,0,0,0,0
0.000891,0,0,0,0
0.000895,0,0,0,0
0.000899,0,0,0,0
0.000903,0,0,0,0
0.000908,0,0,0,0
0.000914,0,0,0,0
0.000918,0,0,0,0
0.000922,0,0,0,0
0.000926,0,0,0,0
0.00093,0,0,0,0
0.000933,0,0,0,0
0.000937,0,0,0,0
0.000941,0,0,0,0
0.000946,0,0,0,0
0.00095,0,0,0,0
0.000954,0,0,0,0
0.000957,0,0,0,0
0.000961,0,0,0,0
0.000965,0,0,0,0
0.000969,0,0,0,0
0.000973,0,0,0,0
0.000977,0,0,0,0
0.00098,0,0,0,0
0.000984,0,0,0,0
0.000989,0,0,0,0
0.000994,0,0,0,0
0.000999,0,0,0,0
0.001003,0,0,0,0
0.001007,0,0,0,0
0.00101,0,0,0,0
0.001014,0,0,0,0
0.001018,0,0,0,0
