t_s,phase_rad,freq_hz,phase_err,coupling_term,flash
1.1e-05,0.000101,1.5,0.0,0.0,0
0.000454,0.004281,1.499944,-0.000101,-0.00010084506900241442,0
0.000477,0.004496,1.497616,-0.004281,-0.004280564494880779,0
0.000485,0.004567,1.497496,-0.004496,-0.004496046745333364,0
0.000489,0.004611,1.497456,-0.004567,-0.004566613823970807,0
0.000494,0.004659,1.497432,-0.004611,-0.004610834756902543,0
0.000499,0.004699,1.497405,-0.004659,-0.00465881839725292,0
0.000503,0.004736,1.497382,-0.004699,-0.004699274418628508,0
0.000507,0.004773,1.497362,-0.004736,-0.004735966504838592,0
0.000511,0.004814,1.497341,-0.004773,-0.00477265808383111,0
0.000515,0.004851,1.497318,-0.004814,-0.004814052899947872,0
0.00052,0.004898,1.497298,-0.004851,-0.004850743399339658,0
0.000524,0.00494,1.497272,-0.004898,-0.00489778192671393,0
0.000532,0.005014,1.497248,-0.00494,-0.004940115823859349,0
0.000536,0.00505,1.497207,-0.005014,-0.005013493329181086,0
0.00054,0.005085,1.497187,-0.00505,-0.005050181070153341,0
0.000544,0.005124,1.497167,-0.005085,-0.005084986893088574,0
0.000548,0.005163,1.497146,-0.005124,-0.0051235550306358724,0
0.000552,0.005201,1.497124,-0.005163,-0.005163063286294732,0
0.000556,0.005238,1.497103,-0.005201,-0.005200689622809183,0
0.00056,0.005273,1.497082,-0.005238,-0.005238315425198943,0
0.000564,0.005311,1.497063,-0.005273,-0.005273118778028508,0
0.000568,0.005347,1.497042,-0.005311,-0.005310743552100754,0
0.000571,0.005381,1.497022,-0.005347,-0.005346486566416329,0
0.000575,0.00542,1.497002,-0.005381,-0.005381288498459781,0
0.000579,0.005458,1.496981,-0.00542,-0.005419852324114064,0
0.000583,0.005494,1.49696,-0.005458,-0.005457474740583918,0
0.000587,0.005533,1.49694,-0.005494,-0.005494156335720302,0
0.000591,0.00557,1.496918,-0.005533,-0.005532718517992135,0
0.000595,0.005606,1.496897,-0.00557,-0.0055703396047655455,0
0.000602,0.005669,1.496877,-0.005606,-0.005606079115859334,0
0.000606,0.005706,1.496842,-0.005669,-0.005669092870341298,0
0.00061,0.005742,1.496822,-0.005706,-0.005705771533608164,0
0.000613,0.005778,1.496802,-0.005742,-0.005741509216109995,0
0.000617,0.005814,1.496781,-0.005778,-0.00577818687570684,0
0.000621,0.005849,1.496761,-0.005814,-0.005813923580194214,0
0.000625,0.005884,1.496742,-0.005849,-0.005848719367970427,0
0.000628,0.005919,1.496723,-0.005884,-0.0058835146980675415,0
0.000632,0.005954,1.496703,-0.005919,-0.005919249979703755,0
0.000636,0.005988,1.496683,-0.005954,-0.005954044381962573,0
0.000639,0.006023,1.496664,-0.005988,-0.00598789794225419,0
0.000643,0.00606,1.496645,-0.006023,-0.006022691441275684,0
0.000647,0.006096,1.496624,-0.00606,-0.006060305561699393,0
0.000651,0.00613,1.496604,-0.006096,-0.006096038454218133,0
0.000655,0.006165,1.496585,-0.00613,-0.006129890196374079,0
0.000659,0.006209,1.496566,-0.006165,-0.0061646818266108405,0
0.000663,0.006244,1.496541,-0.006209,-0.00620887609104124,0
0.000667,0.006278,1.496522,-0.006244,-0.00624366668142865,0
0.00067,0.006314,1.496503,-0.006278,-0.006278456813729373,0
0.000674,0.006351,1.496483,-0.006314,-0.00631418675666194,0
0.000679,0.006395,1.496462,-0.006351,-0.0063508564723654334,0
0.000683,0.006431,1.496438,-0.006395,-0.006395047348964748,0
0.000687,0.006467,1.496418,-0.006431,-0.00643077571480238,0
0.000691,0.006505,1.496398,-0.006467,-0.006466503597253375,0
0.000695,0.006542,1.496376,-0.006505,-0.006505051601662151,0
0.000698,0.006577,1.496356,-0.006542,-0.006541718667125044,0
0.000702,0.006611,1.496337,-0.006577,-0.006576504873266411,0
0.000706,0.006646,1.496317,-0.006611,-0.0066112906209779285,0
0.00071,0.006685,1.496298,-0.006646,-0.006646075910223746,0
0.000714,0.00672,1.496276,-0.006685,-0.00668462129230707,0
0.000717,0.006756,1.496256,-0.00672,-0.006720345739049577,0
0.000721,0.006791,1.496237,-0.006756,-0.006756069702090674,0
0.000725,0.006826,1.496217,-0.006791,-0.006790853082741775,0
0.000728,0.00686,1.496198,-0.006826,-0.006825636004742184,0
0.000732,0.006895,1.496179,-0.00686,-0.0068594783941944995,0
0.000737,0.00694,1.496159,-0.006895,-0.0068952004729766515,0
0.000742,0.006986,1.496134,-0.00694,-0.006940322558104286,0
0.000746,0.00702,1.496109,-0.006986,-0.00698544387106702,0
0.000749,0.007056,1.496089,-0.00702,-0.007020224226437552,0
0.000754,0.007099,1.49607,-0.007056,-0.007055944127399139,0
0.000758,0.007135,1.496045,-0.007099,-0.0070991834779785285,0
