trial_id,trial_dir,model,virtual_initial_freq,pi_initial_freq,duration,repeat,seed,trial_seed,random_phase_enabled,virtual_initial_phase_rad,pi_initial_phase_rad,initial_phase_difference_rad,feedback_enabled,model_parameters_json,eapf_g_p,eapf_g_f,eapf_alpha_p,eapf_alpha_f,eapf_delta_theta_max_rad,eapf_delta_f_max_hz,kuramoto_K,virtual_fire_count_start,virtual_fire_count_end,actual_virtual_flashes,pi_detected_virtual_flashes,actual_detection_fcr,nominal_expected_flashes,nominal_fcr,virtual_frequency_start,virtual_frequency_end,pi_final_frequency_hz,final_frequency_error_hz,mean_frequency_error_final_10s,median_frequency_error_final_10s,mean_timing_error_final_10s,median_timing_error_final_10s,time_to_frequency_lock_s,time_to_timing_lock_s,virtual_flash_count,pi_flash_count,flash_count_ratio,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,virtual_freq_final_5s_mean,pi_freq_final_5s_mean,frequency_error_final_5s_mean_abs,frequency_error_final_5s_abs_of_means,virtual_freq_final_5s_std,pi_freq_final_5s_std,loop_rate_hz,timeout_or_failure,error_message,model_parameters,pi_flash_events_consumed_end,pi_flash_events_consumed_start,pi_flash_posts_received_end,pi_flash_posts_received_start
eapf_consensus_V2_P1.2_r01,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.2_r01,eapf_consensus,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,59,59,55,0.9322,60,0.9167,2.0,1.943361,1.929749,0.001173,0.013947,0.007875,0.12593,0.107627,11.823546,6.713103,55,55,0.932203,55,55,55,1.94462,1.925422,0.020127,0.019198,0.000424,0.016494,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",55,0,55,0
eapf_consensus_V2_P1.2_r02,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.2_r02,eapf_consensus,2.0,1.2,30.0,2,20260620,20260627,True,5.033519,1.237926,2.487593,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,56,56,55,0.9821,60,0.9167,2.0,1.870299,1.865547,0.006776,0.014554,0.014474,0.069469,0.090568,8.490932,7.894751,55,52,0.928571,52,52,52,1.871385,1.855443,0.015942,0.015942,0.000435,0.004423,29.98,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",52,0,52,0
eapf_consensus_V2_P1.2_r03,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.2_r03,eapf_consensus,2.0,1.2,30.0,3,20260620,20260633,True,4.31308,1.59651,-2.71657,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,57,57,55,0.9649,60,0.9167,2.0,1.909504,1.916841,0.050799,0.045962,0.049274,0.074821,0.049306,4.220971,8.35608,55,54,0.947368,54,54,54,1.90886,1.857606,0.051253,0.051253,0.000302,0.002877,29.98,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",54,0,54,0
eapf_consensus_V2_P1.5_r01,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.5_r01,eapf_consensus,2.0,1.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,60,60,56,0.9333,60,0.9333,2.0,2.008677,1.974409,0.061231,0.111403,0.11422,0.097083,0.073086,,8.581298,56,53,0.883333,53,53,53,2.012236,1.88879,0.123445,0.123445,0.00176,0.006017,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",53,0,53,0
eapf_consensus_V2_P1.5_r02,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.5_r02,eapf_consensus,2.0,1.5,30.0,2,20260620,20260629,True,1.1689,0.933366,-0.235534,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,58,58,52,0.8966,60,0.8667,2.0,1.896483,1.839162,0.001355,0.03818,0.036625,0.109819,0.043533,15.818375,9.132676,52,54,0.931034,53,53,53,1.896658,1.862539,0.034118,0.034118,0.000192,0.003245,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",53,0,53,0
eapf_consensus_V2_P1.5_r03,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P1.5_r03,eapf_consensus,2.0,1.5,30.0,3,20260620,20260635,True,0.689713,4.479229,-2.49367,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,57,57,56,0.9825,60,0.9333,2.0,1.937031,1.906242,0.069559,0.093953,0.093545,0.06881,0.07047,,4.471088,56,54,0.947368,54,54,54,1.938699,1.845563,0.093136,0.093136,0.000782,0.001089,30.0,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",54,0,54,0
eapf_consensus_V2_P2.5_r01,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P2.5_r01,eapf_consensus,2.0,2.5,30.0,1,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,62,62,58,0.9355,60,0.9667,2.0,2.125498,2.083231,0.043291,0.044373,0.045322,0.166835,0.16245,,,58,63,1.016129,63,63,63,2.125299,2.146792,0.041867,0.021493,0.000297,0.041277,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",63,0,63,0
eapf_consensus_V2_P2.5_r02,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P2.5_r02,eapf_consensus,2.0,2.5,30.0,2,20260620,20260631,True,1.903392,2.352044,0.448652,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,62,62,58,0.9355,60,0.9667,2.0,2.104956,2.072423,0.019086,0.010991,0.011299,0.106363,0.103803,16.409083,12.526105,58,63,1.016129,63,63,63,2.106522,2.102749,0.01381,0.003773,0.000387,0.014832,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",63,0,63,0
eapf_consensus_V2_P2.5_r03,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/eapf_consensus_V2_P2.5_r03,eapf_consensus,2.0,2.5,30.0,3,20260620,20260637,True,3.398675,3.495964,0.097289,True,"{""alpha_f"": 0.2, ""alpha_p"": 0.2, ""delta_f_max_hz"": 0.05, ""delta_theta_max_rad"": 0.2, ""g_f"": 0.02, ""g_p"": 0.02}",0.02,0.02,0.2,0.2,0.2,0.05,,0,64,64,61,0.9531,60,1.0167,2.0,2.143957,2.131111,0.036511,0.023168,0.021757,0.094421,0.097875,9.653292,,61,65,1.015625,65,65,65,2.145554,2.166544,0.02099,0.02099,0.000974,0.00938,29.99,False,,"{'g_p': 0.02, 'g_f': 0.02, 'alpha_p': 0.2, 'alpha_f': 0.2, 'delta_theta_max_rad': 0.2, 'delta_f_max_hz': 0.05}",65,0,65,0
kuramoto_V2_P1.2_r01,experiments/logs/step5b_mutual_model_comparison/formal_step5b_chunked_20260621/kuramoto_V2_P1.2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 5.0}",,,,,,,5.0,0,53,53,49,0.9245,60,0.8167,2.0,1.782075,1.372974,0.455738,0.442939,0.321328,0.16031,0.171017,,9.406114,49,42,0.792453,42,42,42,1.639601,1.34098,0.415605,0.298621,0.151578,0.482775,29.98,False,,{'K': 5.0},42,0,42,0
