attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,22.443,POST /api/mode,1,ok,4556.888466
1,21.721,POST /api/pause,1,ok,4556.910922
1,14.592,POST /api/reset,1,ok,4556.932651
1,6.977,POST /api/agents/0,1,ok,4556.947254
1,9.296,POST /api/feedback,1,ok,4556.954239
1,9.881,POST /api/start,1,ok,4556.963542
1,7.766,GET /api/agents,1,ok,4556.97343
1,13.96,GET /api/agents,1,ok,4558.116372
1,13.774,GET /api/agents,1,ok,4558.159823
1,13.117,POST /api/pi_flash,1,ok,4558.233792
1,8.336,POST /api/pi_flash,1,ok,4558.361382
1,22.283,POST /api/pi_flash,1,ok,4559.048268
1,13.09,GET /api/agents,1,ok,4559.197998
1,13.736,POST /api/pi_flash,1,ok,4559.68543
1,13.568,GET /api/agents,1,ok,4560.201103
1,24.507,POST /api/pi_flash,1,ok,4560.329553
1,14.209,POST /api/pi_flash,1,ok,4560.8326
1,28.834,GET /api/agents,1,ok,4561.229029
1,10.382,POST /api/pi_flash,1,ok,4561.369067
1,14.316,POST /api/pi_flash,1,ok,4561.902081
1,13.619,GET /api/agents,1,ok,4562.247081
1,17.788,POST /api/pi_flash,1,ok,4562.456488
1,12.937,POST /api/pi_flash,1,ok,4562.969871
1,15.85,GET /api/agents,1,ok,4563.257202
1,22.891,POST /api/pi_flash,1,ok,4563.486946
1,7.121,POST /api/pi_flash,1,ok,4564.023706
1,14.423,GET /api/agents,1,ok,4564.299984
1,10.982,POST /api/pi_flash,1,ok,4564.521383
1,25.926,POST /api/pi_flash,1,ok,4565.027623
1,18.462,GET /api/agents,1,ok,4565.344496
1,12.003,POST /api/pi_flash,1,ok,4565.567208
1,9.884,POST /api/pi_flash,1,ok,4566.037664
1,11.132,GET /api/agents,1,ok,4566.356562
1,10.654,POST /api/pi_flash,1,ok,4566.551637
1,10.051,POST /api/pi_flash,1,ok,4567.095167
1,16.081,GET /api/agents,1,ok,4567.358437
1,11.329,POST /api/pi_flash,1,ok,4567.564048
1,13.439,POST /api/pi_flash,1,ok,4568.085071
1,12.651,GET /api/agents,1,ok,4568.388099
1,12.194,POST /api/pi_flash,1,ok,4568.567878
1,15.053,POST /api/pi_flash,1,ok,4569.051378
1,9.748,GET /api/agents,1,ok,4569.399768
1,12.977,POST /api/pi_flash,1,ok,4569.52406
1,5.75,POST /api/pi_flash,1,ok,4570.035356
1,20.098,GET /api/agents,1,ok,4570.405323
1,14.781,POST /api/pi_flash,1,ok,4570.557602
1,21.741,POST /api/pi_flash,1,ok,4571.053521
1,19.594,GET /api/agents,1,ok,4571.446751
1,9.85,POST /api/pi_flash,1,ok,4572.081831
1,7.97,GET /api/agents,1,ok,4572.471874
1,21.972,POST /api/pi_flash,1,ok,4573.071184
1,31.278,GET /api/agents,1,ok,4573.474612
1,15.018,POST /api/pi_flash,1,ok,4573.602535
1,8.364,POST /api/pi_flash,1,ok,4574.122092
1,7.892,GET /api/agents,1,ok,4574.483126
1,9.745,POST /api/pi_flash,1,ok,4574.584443
1,9.85,POST /api/pi_flash,1,ok,4575.106904
1,10.857,GET /api/agents,1,ok,4575.493606
1,8.619,POST /api/pi_flash,1,ok,4575.595778
1,10.534,POST /api/pi_flash,1,ok,4576.067092
1,26.542,GET /api/agents,1,ok,4576.513949
1,9.829,POST /api/pi_flash,1,ok,4577.079273
1,7.587,POST /api/pi_flash,1,ok,4577.568306
1,10.565,GET /api/agents,1,ok,4577.628201
1,8.51,POST /api/pi_flash,1,ok,4578.104533
1,26.508,POST /api/pi_flash,1,ok,4578.568462
1,16.913,GET /api/agents,1,ok,4578.645106
1,10.982,POST /api/pi_flash,1,ok,4579.066445
1,11.609,POST /api/pi_flash,1,ok,4579.571212
1,9.146,GET /api/agents,1,ok,4579.654154
1,17.229,POST /api/pi_flash,1,ok,4580.077149
1,14.355,POST /api/pi_flash,1,ok,4580.548487
1,12.891,GET /api/agents,1,ok,4580.680863
1,9.843,POST /api/pi_flash,1,ok,4581.050925
1,17.67,POST /api/pi_flash,1,ok,4581.572325
1,12.641,GET /api/agents,1,ok,4581.697672
1,9.088,POST /api/pi_flash,1,ok,4582.079897
1,13.833,POST /api/pi_flash,1,ok,4582.603444
1,9.393,GET /api/agents,1,ok,4582.730231
1,8.251,POST /api/pi_flash,1,ok,4583.13075
1,9.29,POST /api/pi_flash,1,ok,4583.62951
1,11.994,GET /api/agents,1,ok,4583.741821
1,8.371,POST /api/pi_flash,1,ok,4584.146072
1,12.013,POST /api/pi_flash,1,ok,4584.648391
1,8.596,GET /api/agents,1,ok,4584.781767
1,15.016,POST /api/pi_flash,1,ok,4585.650605
1,13.608,GET /api/agents,1,ok,4585.800374
1,12.017,POST /api/pi_flash,1,ok,4586.157507
1,13.331,POST /api/pi_flash,1,ok,4586.677494
1,9.306,GET /api/agents,1,ok,4586.842579
1,13.755,GET /api/agents,1,ok,4586.90636
1,8.526,POST /api/pause,1,ok,4586.920132
