brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
159.0,339.221,0.0,0,0.082048,0
165.0,36.017,0.0,0,0.435286,0
164.0,55.324,0.0,0,0.471336,0
163.0,49.494,0.0,0,0.526694,0
164.0,50.73,0.0,0,0.576221,0
137.0,60.223,0.0,0,0.627014,0
135.0,50.122,0.0,0,0.687271,0
136.0,32.286,0.0,0,0.806002,0
137.0,22.639,0.0,0,0.838322,0
149.0,22.203,0.4645,0,0.860995,0
165.0,38.718,1.0,1,0.883229,1
165.0,38.952,1.0,1,0.922029,0
165.0,42.17,1.0,1,0.961058,0
164.0,45.267,0.9652,1,1.003308,0
146.0,49.717,0.3357,0,1.048652,0
138.0,49.665,0.0526,0,1.098447,0
136.0,40.827,0.0,0,1.157742,0
140.0,50.811,0.1379,0,1.198647,0
138.0,23.353,0.069,0,1.249537,0
137.0,22.986,0.0345,0,1.272967,0
138.0,20.22,0.069,0,1.29602,0
138.0,21.486,0.0657,0,1.316307,0
142.0,36.022,0.2014,0,1.337859,0
142.0,36.84,0.1986,0,1.373947,0
167.0,45.611,1.0,1,1.481513,1
167.0,35.856,1.0,1,1.527244,0
164.0,38.239,0.9648,1,1.563166,0
144.0,42.548,0.258,0,1.60147,0
138.0,45.118,0.0426,0,1.644083,0
138.0,48.835,0.0391,0,1.689265,0
140.0,46.274,0.1071,0,1.738166,0
139.0,21.833,0.0714,0,1.784503,0
138.0,21.274,0.0357,0,1.806402,0
143.0,18.913,0.2143,0,1.827761,0
162.0,19.769,0.8929,1,1.846739,1
167.0,34.283,1.0,1,1.866613,0
167.0,35.111,1.0,1,1.900959,0
165.0,37.572,0.979,1,1.936135,0
164.0,41.88,0.9507,1,1.973772,0
151.0,44.354,0.4965,1,2.015715,0
138.0,48.984,0.0357,0,2.060135,0
137.0,50.326,0.0,0,2.109186,0
138.0,41.58,0.0357,0,2.168566,0
139.0,24.07,0.0714,0,2.210212,0
137.0,22.497,0.0,0,2.234348,0
138.0,20.601,0.0357,0,2.25691,0
138.0,21.187,0.0357,0,2.277575,0
142.0,36.725,0.1786,0,2.298828,0
142.0,36.402,0.1786,0,2.335618,0
154.0,33.924,0.6071,0,2.372087,0
166.0,34.029,1.0,1,2.406073,1
169.0,32.701,1.0,1,2.440207,0
169.0,33.588,1.0,1,2.472972,0
167.0,37.234,1.0,1,2.506625,0
166.0,41.366,0.9667,1,2.543923,0
143.0,43.888,0.2,0,2.585352,0
139.0,30.263,0.0667,0,2.697908,0
143.0,47.644,0.2,0,2.728236,0
142.0,22.548,0.1667,0,2.775945,0
141.0,21.331,0.1333,0,2.798558,0
