coupling_term,follower_flash_event,freq_error_hz,frequency_error_hz,frequency_hz,loop_dt_ms,model,phase_error_rad,phase_rad,t_s,virtual_frequency_hz
,0,0.0,0.5,2.5,0.001,eapf_consensus,0.0,2.352062,0.096872,2.0
,1,0.0,0.5,2.5,342.305,eapf_consensus,0.0,1.44579,0.439177,2.0
,0,0.0,0.5,2.5,112.703,eapf_consensus,0.0,3.21613,0.55188,2.0
,0,0.0,0.5,2.5,39.18,eapf_consensus,0.0,3.831563,0.59106,2.0
,0,0.0,0.5,2.5,50.078,eapf_consensus,0.0,4.618179,0.641138,2.0
,0,0.0,0.5,2.5,37.946,eapf_consensus,0.0,5.214231,0.679083,2.0
,0,0.0,0.5,2.5,32.275,eapf_consensus,0.0,5.721199,0.711358,2.0
,0,0.0,0.5,2.5,28.903,eapf_consensus,0.0,6.17521,0.740261,2.0
,1,0.0,0.5,2.5,28.889,eapf_consensus,0.0,0.345809,0.76915,2.0
,0,0.0,0.5,2.5,95.937,eapf_consensus,-0.345809,1.851397,0.865087,2.0
,0,0.0,0.5,2.5,21.023,eapf_consensus,-0.344426,2.179139,0.88611,2.0
,0,0.0,0.5,2.5,30.525,eapf_consensus,-0.341942,2.655276,0.916635,2.0
,0,0.0,0.5,2.5,33.09,eapf_consensus,-0.338587,3.171009,0.949725,2.0
,0,0.0,0.5,2.5,37.899,eapf_consensus,-0.334548,3.761757,0.987624,2.0
,0,0.0,0.5,2.5,41.836,eapf_consensus,-0.329979,4.413942,1.02946,2.0
,0,0.0,0.5,2.5,45.334,eapf_consensus,-0.325004,5.120771,1.074794,2.0
,0,0.0,0.4958777983765179,2.5,48.034,eapf_consensus,-0.319724,5.869787,1.122828,2.004122201623482
,1,0.0,0.4958777983765179,2.5,60.075,eapf_consensus,-0.314221,0.524591,1.182903,2.004122201623482
,0,-0.199321,0.49508079837651797,2.499203,116.838,eapf_consensus,-0.670915,2.352668,1.299741,2.004122201623482
,0,-0.198523,0.4936487983765181,2.497771,41.831,eapf_consensus,-0.715882,3.000905,1.341572,2.004122201623482
