event,model,source,t_s
pi_flash,eapf_consensus,pi_oscillator,0.423631
pi_flash,eapf_consensus,pi_oscillator,0.667997
virtual_flash,eapf_consensus,camera,0.852756
pi_flash,eapf_consensus,pi_oscillator,1.100729
virtual_flash,eapf_consensus,camera,1.229049
pi_flash,eapf_consensus,pi_oscillator,1.519714
virtual_flash,eapf_consensus,camera,1.73574
pi_flash,eapf_consensus,pi_oscillator,1.88967
virtual_flash,eapf_consensus,camera,2.282759
pi_flash,eapf_consensus,pi_oscillator,2.282759
pi_flash,eapf_consensus,pi_oscillator,2.669094
virtual_flash,eapf_consensus,camera,2.765112
pi_flash,eapf_consensus,pi_oscillator,3.095802
virtual_flash,eapf_consensus,camera,3.198801
pi_flash,eapf_consensus,pi_oscillator,3.524063
virtual_flash,eapf_consensus,camera,3.673562
pi_flash,eapf_consensus,pi_oscillator,3.993604
virtual_flash,eapf_consensus,camera,4.211292
pi_flash,eapf_consensus,pi_oscillator,4.492964
virtual_flash,eapf_consensus,camera,4.624821
pi_flash,eapf_consensus,pi_oscillator,4.938339
virtual_flash,eapf_consensus,camera,5.200668
pi_flash,eapf_consensus,pi_oscillator,5.662218
pi_flash,eapf_consensus,pi_oscillator,5.888629
virtual_flash,eapf_consensus,camera,6.156043
pi_flash,eapf_consensus,pi_oscillator,6.297151
virtual_flash,eapf_consensus,camera,6.597791
pi_flash,eapf_consensus,pi_oscillator,6.732558
virtual_flash,eapf_consensus,camera,7.140187
pi_flash,eapf_consensus,pi_oscillator,7.173811
virtual_flash,eapf_consensus,camera,7.570817
pi_flash,eapf_consensus,pi_oscillator,7.661144
virtual_flash,eapf_consensus,camera,7.993157
pi_flash,eapf_consensus,pi_oscillator,8.125666
virtual_flash,eapf_consensus,camera,8.536678
pi_flash,eapf_consensus,pi_oscillator,8.605776
virtual_flash,eapf_consensus,camera,8.977385
pi_flash,eapf_consensus,pi_oscillator,9.072865
virtual_flash,eapf_consensus,camera,9.392156
pi_flash,eapf_consensus,pi_oscillator,9.520169
virtual_flash,eapf_consensus,camera,9.952535
pi_flash,eapf_consensus,pi_oscillator,9.973389
virtual_flash,eapf_consensus,camera,10.370086
pi_flash,eapf_consensus,pi_oscillator,10.450803
pi_flash,eapf_consensus,pi_oscillator,10.861655
virtual_flash,eapf_consensus,camera,10.977341
pi_flash,eapf_consensus,pi_oscillator,11.322146
virtual_flash,eapf_consensus,camera,11.414432
pi_flash,eapf_consensus,pi_oscillator,11.779367
virtual_flash,eapf_consensus,camera,11.878625
pi_flash,eapf_consensus,pi_oscillator,12.238999
virtual_flash,eapf_consensus,camera,12.338159
pi_flash,eapf_consensus,pi_oscillator,12.693003
