event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.664237
virtual_flash,kuramoto,camera,0.950119
pi_flash,kuramoto,pi_oscillator,1.076996
pi_flash,kuramoto,pi_oscillator,1.408517
virtual_flash,kuramoto,camera,1.625236
pi_flash,kuramoto,pi_oscillator,1.823648
pi_flash,kuramoto,pi_oscillator,2.193816
virtual_flash,kuramoto,camera,2.350777
pi_flash,kuramoto,pi_oscillator,2.707538
virtual_flash,kuramoto,camera,2.811344
pi_flash,kuramoto,pi_oscillator,3.226053
virtual_flash,kuramoto,camera,3.671146
pi_flash,kuramoto,pi_oscillator,3.73892
virtual_flash,kuramoto,camera,4.18254
pi_flash,kuramoto,pi_oscillator,4.18254
virtual_flash,kuramoto,camera,4.630905
pi_flash,kuramoto,pi_oscillator,4.651682
pi_flash,kuramoto,pi_oscillator,5.096012
virtual_flash,kuramoto,camera,5.204368
virtual_flash,kuramoto,camera,5.610837
pi_flash,kuramoto,pi_oscillator,5.610837
virtual_flash,kuramoto,camera,6.027138
pi_flash,kuramoto,pi_oscillator,6.048055
pi_flash,kuramoto,pi_oscillator,6.4511
virtual_flash,kuramoto,camera,6.570215
pi_flash,kuramoto,pi_oscillator,6.976021
virtual_flash,kuramoto,camera,7.411052
pi_flash,kuramoto,pi_oscillator,7.456965
pi_flash,kuramoto,pi_oscillator,7.846044
pi_flash,kuramoto,pi_oscillator,8.385101
virtual_flash,kuramoto,camera,8.492896
pi_flash,kuramoto,pi_oscillator,8.928434
virtual_flash,kuramoto,camera,9.29075
pi_flash,kuramoto,pi_oscillator,9.389566
pi_flash,kuramoto,pi_oscillator,9.767961
virtual_flash,kuramoto,camera,9.935437
pi_flash,kuramoto,pi_oscillator,10.27092
virtual_flash,kuramoto,camera,10.371927
pi_flash,kuramoto,pi_oscillator,10.82827
virtual_flash,kuramoto,camera,11.21855
pi_flash,kuramoto,pi_oscillator,11.300925
pi_flash,kuramoto,pi_oscillator,11.704789
virtual_flash,kuramoto,camera,12.290876
pi_flash,kuramoto,pi_oscillator,12.311982
pi_flash,kuramoto,pi_oscillator,12.822022
virtual_flash,kuramoto,camera,12.918826
virtual_flash,kuramoto,camera,13.278827
pi_flash,kuramoto,pi_oscillator,13.338417
virtual_flash,kuramoto,camera,13.823305
pi_flash,kuramoto,pi_oscillator,13.858171
virtual_flash,kuramoto,camera,14.357632
pi_flash,kuramoto,pi_oscillator,14.391936
pi_flash,kuramoto,pi_oscillator,14.827347
virtual_flash,kuramoto,camera,15.334352
pi_flash,kuramoto,pi_oscillator,15.414028
pi_flash,kuramoto,pi_oscillator,15.818516
virtual_flash,kuramoto,camera,16.003159
pi_flash,kuramoto,pi_oscillator,16.377714
virtual_flash,kuramoto,camera,16.477148
pi_flash,kuramoto,pi_oscillator,16.93416
virtual_flash,kuramoto,camera,17.396432
pi_flash,kuramoto,pi_oscillator,17.43267
pi_flash,kuramoto,pi_oscillator,17.874328
virtual_flash,kuramoto,camera,17.969025
virtual_flash,kuramoto,camera,18.361593
pi_flash,kuramoto,pi_oscillator,18.382065
virtual_flash,kuramoto,camera,18.788582
pi_flash,kuramoto,pi_oscillator,18.810774
pi_flash,kuramoto,pi_oscillator,19.224142
virtual_flash,kuramoto,camera,19.342746
virtual_flash,kuramoto,camera,19.774124
pi_flash,kuramoto,pi_oscillator,19.774124
virtual_flash,kuramoto,camera,20.192417
pi_flash,kuramoto,pi_oscillator,20.192417
pi_flash,kuramoto,pi_oscillator,20.696981
virtual_flash,kuramoto,camera,20.849459
pi_flash,kuramoto,pi_oscillator,21.235323
virtual_flash,kuramoto,camera,21.707521
pi_flash,kuramoto,pi_oscillator,21.728994
pi_flash,kuramoto,pi_oscillator,22.139943
virtual_flash,kuramoto,camera,22.232201
pi_flash,kuramoto,pi_oscillator,22.67709
virtual_flash,kuramoto,camera,22.771349
pi_flash,kuramoto,pi_oscillator,23.183868
virtual_flash,kuramoto,camera,23.665197
pi_flash,kuramoto,pi_oscillator,23.709587
pi_flash,kuramoto,pi_oscillator,24.106391
virtual_flash,kuramoto,camera,24.195886
pi_flash,kuramoto,pi_oscillator,24.612889
virtual_flash,kuramoto,camera,24.703966
virtual_flash,kuramoto,camera,25.082135
pi_flash,kuramoto,pi_oscillator,25.112122
pi_flash,kuramoto,pi_oscillator,25.532651
virtual_flash,kuramoto,camera,25.638257
virtual_flash,kuramoto,camera,26.03669
pi_flash,kuramoto,pi_oscillator,26.03669
virtual_flash,kuramoto,camera,26.466242
pi_flash,kuramoto,pi_oscillator,26.466242
pi_flash,kuramoto,pi_oscillator,26.88678
virtual_flash,kuramoto,camera,27.024711
virtual_flash,kuramoto,camera,27.454955
pi_flash,kuramoto,pi_oscillator,27.454955
virtual_flash,kuramoto,camera,27.873097
pi_flash,kuramoto,pi_oscillator,27.873097
pi_flash,kuramoto,pi_oscillator,28.268336
virtual_flash,kuramoto,camera,28.426981
pi_flash,kuramoto,pi_oscillator,28.804946
virtual_flash,kuramoto,camera,29.179232
pi_flash,kuramoto,pi_oscillator,29.236821
pi_flash,kuramoto,pi_oscillator,29.606918
virtual_flash,kuramoto,camera,29.742418
