K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
5.0,0,0.138607276,0.840044095,0.033,0.374744352,0,0,0,2.668485851,2.0,0.5,0.41469023,6.253808547,5.700511041,0.553297506,0.553297506,0,0.033476,frequency_step_gt_0.5hz;phase_jump_gt_0.5rad,0.997364496
5.0,0,0.124910138,0.757031142,0.033,0.384256808,1,1,1,2.602426242,2.668485851,0.5,0.829380461,0.510223609,6.253808547,0.539600369,0.539600369,0,0.066871,phase_jump_gt_0.5rad,0.858757221
5.0,0,0.110505688,0.66973144,0.033,0.394795748,1,0,0,2.532955346,2.602426242,0.5,1.244070691,1.035419526,0.510223609,0.525195918,0.525195918,0,0.100411,phase_jump_gt_0.5rad,0.733847082
5.0,0,0.096318981,0.583751401,0.033,0.40575612,1,0,0,2.464534605,2.532955346,0.5,1.658760921,1.546428738,1.035419526,0.511009211,0.511009211,0,0.133959,phase_jump_gt_0.5rad,0.623341395
5.0,0,0.082988734,0.502962021,0.033,0.41662423,1,0,0,2.400244459,2.464534605,0.5,2.073451151,2.044107702,1.546428738,0.497678964,0.497678964,0,0.167228,,0.527022413
5.0,0,0.070881602,0.429585469,0.033,0.427012238,1,0,0,2.341853254,2.400244459,0.5,2.488141382,2.529679534,2.044107702,0.485571833,0.485571833,0,0.200635,,0.44403368
5.0,0,0.060151146,0.364552399,0.033,0.436661853,1,0,0,2.290101581,2.341853254,0.5,2.902831612,3.00452091,2.529679534,0.474841376,0.474841376,0,0.23383,,0.373152078
5.0,0,0.050805999,0.307915147,0.033,0.44542813,1,0,0,2.245031088,2.290101581,0.5,3.317521842,3.47001714,3.00452091,0.465496229,0.465496229,0,0.266996,,0.313000932
5.0,0,0.04276818,0.259201092,0.033,0.45325457,1,0,0,2.206265675,2.245031088,0.5,3.732212072,3.92747555,3.47001714,0.45745841,0.45745841,0,0.300348,,0.262194933
5.0,0,0.035915576,0.217670156,0.033,0.460147456,1,0,0,2.173216407,2.206265675,0.5,4.146902303,4.378081356,3.92747555,0.450605806,0.450605806,0,0.333827,,0.219426752
5.0,0,0.03010968,0.182482912,0.033,0.46615368,1,0,0,2.145215287,2.173216407,0.5,4.561592533,4.822881267,4.378081356,0.444799911,0.444799911,0,0.367403,,0.183511177
5.0,0,0.025212093,0.152800563,0.033,0.471343533,1,0,0,2.121594824,2.145215287,0.5,4.976282763,5.26278359,4.822881267,0.439902323,0.439902323,0,0.400984,,0.153401496
5.0,0,0.021093371,0.127838613,0.033,0.475798342,1,0,0,2.101730735,2.121594824,0.5,5.390972994,5.698567192,5.26278359,0.435783601,0.435783601,0,0.434202,,0.128189403
5.0,0,0.017637085,0.106891426,0.033,0.479602162,1,0,0,2.085061494,2.101730735,0.5,5.805663224,6.130894507,5.698567192,0.432327316,0.432327316,0,0.467724,,0.107096032
5.0,0,0.014741046,0.089339673,0.033,0.482836548,2,1,1,2.071094253,2.085061494,0.5,6.220353454,0.277140476,6.130894507,0.429431276,0.429431276,0,0.50096,,0.089458947
5.0,0,0.012316986,0.074648398,0.033,0.485577544,2,0,0,2.059403308,2.071094253,0.5,0.351858377,0.704147692,0.277140476,0.427007216,0.427007216,0,0.534518,,0.074717901
5.0,0,0.01028947,0.062360426,0.033,0.487894163,2,0,0,2.049624851,2.059403308,0.5,0.766548607,1.129127393,0.704147692,0.424979701,0.424979701,0,0.567936,,0.062400915
5.0,0,0.008594497,0.052087863,0.033,0.489847853,2,0,0,2.041450204,2.049624851,0.5,1.181238838,1.55241212,1.129127393,0.423284728,0.423284728,0,0.601492,,0.052111445
5.0,0,0.00717803,0.043503214,0.033,0.491492569,2,0,0,2.034618758,2.041450204,0.5,1.595929068,1.974280381,1.55241212,0.421868261,0.421868261,0,0.634725,,0.043516948
5.0,0,0.005994602,0.03633092,0.033,0.492875187,2,0,0,2.028911228,2.034618758,0.5,2.010619298,2.394965213,1.974280381,0.420684832,0.420684832,0,0.668353,,0.036338917
5.0,0,0.005006044,0.030339659,0.033,0.494036111,2,0,0,2.024143534,2.028911228,0.5,2.425309529,2.814661487,2.394965213,0.419696274,0.419696274,0,0.701898,,0.030344316
5.0,0,-0.111454922,-0.675484375,0.033,0.683776293,2,0,0,1.462466613,2.024143534,0.5,0.41469023,3.117896795,2.814661487,0.303235308,0.303235308,1,0.73521,frequency_step_gt_0.5hz,-2.399971257
5.0,0,-0.124295682,-0.753307165,0.033,0.714011735,2,0,0,1.400537205,1.462466613,0.5,0.829380461,3.408291343,3.117896795,0.290394548,0.290394548,0,0.768357,,-2.288516335
