attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,6.625,POST /api/mode,1,ok,5085.860404
1,12.931,POST /api/pause,1,ok,5085.867038
1,9.097,POST /api/reset,1,ok,5085.879976
1,8.405,POST /api/agents/0,1,ok,5085.889082
1,13.284,POST /api/feedback,1,ok,5085.897495
1,6.466,POST /api/start,1,ok,5085.910786
1,8.817,GET /api/agents,1,ok,5085.917258
1,11.348,GET /api/agents,1,ok,5086.281661
1,7.99,POST /api/pi_flash,1,ok,5086.709282
1,10.848,GET /api/agents,1,ok,5086.970887
1,10.107,POST /api/pi_flash,1,ok,5087.068056
1,13.28,POST /api/pi_flash,1,ok,5087.439085
1,68.668,POST /api/pi_flash,1,ok,5087.828022
1,14.746,GET /api/agents,1,ok,5088.008367
1,20.222,POST /api/pi_flash,1,ok,5088.278019
1,13.299,POST /api/pi_flash,1,ok,5088.739428
1,12.274,GET /api/agents,1,ok,5089.04582
1,10.328,POST /api/pi_flash,1,ok,5089.154154
1,12.425,POST /api/pi_flash,1,ok,5089.601799
1,14.569,POST /api/pi_flash,1,ok,5089.988382
1,8.846,GET /api/agents,1,ok,5090.031173
1,12.542,POST /api/pi_flash,1,ok,5090.437482
1,15.392,POST /api/pi_flash,1,ok,5090.890256
1,10.145,GET /api/agents,1,ok,5091.065312
1,10.989,POST /api/pi_flash,1,ok,5091.27084
1,9.478,POST /api/pi_flash,1,ok,5091.735689
1,9.209,GET /api/agents,1,ok,5092.055272
1,19.244,POST /api/pi_flash,1,ok,5092.179756
1,11.716,POST /api/pi_flash,1,ok,5092.570066
1,10.176,POST /api/pi_flash,1,ok,5093.073443
1,6.035,GET /api/agents,1,ok,5093.141081
1,13.606,POST /api/pi_flash,1,ok,5093.451757
1,15.32,POST /api/pi_flash,1,ok,5093.981897
1,9.375,GET /api/agents,1,ok,5094.148551
1,9.421,POST /api/pi_flash,1,ok,5094.507838
1,7.934,POST /api/pi_flash,1,ok,5094.969345
1,10.719,GET /api/agents,1,ok,5095.194531
1,11.224,POST /api/pi_flash,1,ok,5095.354344
1,9.539,POST /api/pi_flash,1,ok,5095.853731
1,13.705,GET /api/agents,1,ok,5096.194277
1,11.551,POST /api/pi_flash,1,ok,5096.287221
1,10.501,POST /api/pi_flash,1,ok,5096.814407
1,13.908,GET /api/agents,1,ok,5097.200248
1,11.624,POST /api/pi_flash,1,ok,5097.296287
1,9.117,POST /api/pi_flash,1,ok,5097.731335
1,57.157,POST /api/pi_flash,1,ok,5098.12675
1,58.049,GET /api/agents,1,ok,5098.234255
1,91.298,POST /api/pi_flash,1,ok,5098.672486
1,9.916,POST /api/pi_flash,1,ok,5099.134514
1,80.225,GET /api/agents,1,ok,5099.249554
1,11.259,POST /api/pi_flash,1,ok,5099.586756
1,10.656,POST /api/pi_flash,1,ok,5100.086719
1,24.157,GET /api/agents,1,ok,5100.251783
1,8.985,POST /api/pi_flash,1,ok,5100.479885
1,8.66,POST /api/pi_flash,1,ok,5100.988048
1,9.996,GET /api/agents,1,ok,5101.234633
1,9.789,POST /api/pi_flash,1,ok,5101.488904
1,26.466,POST /api/pi_flash,1,ok,5101.883284
1,8.783,GET /api/agents,1,ok,5102.248452
1,10.194,POST /api/pi_flash,1,ok,5102.426213
1,7.616,POST /api/pi_flash,1,ok,5102.864587
1,17.514,POST /api/pi_flash,1,ok,5103.280965
1,6.675,GET /api/agents,1,ok,5103.334872
1,9.951,POST /api/pi_flash,1,ok,5103.831126
1,18.443,POST /api/pi_flash,1,ok,5104.250575
1,13.728,GET /api/agents,1,ok,5104.362311
1,10.456,POST /api/pi_flash,1,ok,5104.776736
1,72.719,POST /api/pi_flash,1,ok,5105.273848
1,101.43,GET /api/agents,1,ok,5105.409637
1,27.929,POST /api/pi_flash,1,ok,5105.734343
1,12.809,POST /api/pi_flash,1,ok,5106.118889
1,1023.917,GET /api/agents,1,ok,5106.412693
1,14.334,GET /api/agents,1,ok,5107.479426
1,8.013,POST /api/pi_flash,1,ok,5107.554018
1,12.072,POST /api/pi_flash,1,ok,5107.93391
1,11.809,POST /api/pi_flash,1,ok,5108.404322
1,12.731,GET /api/agents,1,ok,5108.457053
1,10.849,POST /api/pi_flash,1,ok,5108.918652
1,12.21,POST /api/pi_flash,1,ok,5109.370967
1,8.802,GET /api/agents,1,ok,5109.497045
1,8.598,POST /api/pi_flash,1,ok,5109.770057
1,12.176,POST /api/pi_flash,1,ok,5110.302568
1,8.758,GET /api/agents,1,ok,5110.495751
1,10.596,POST /api/pi_flash,1,ok,5110.79083
1,10.43,POST /api/pi_flash,1,ok,5111.215384
1,15.703,GET /api/agents,1,ok,5111.492352
1,9.279,POST /api/pi_flash,1,ok,5111.748091
1,9.086,POST /api/pi_flash,1,ok,5112.172707
1,11.931,GET /api/agents,1,ok,5112.514278
1,6.696,POST /api/pi_flash,1,ok,5112.586368
1,8.653,POST /api/pi_flash,1,ok,5113.106762
1,10.114,GET /api/agents,1,ok,5113.52897
1,5.637,POST /api/pi_flash,1,ok,5113.59924
1,9.827,POST /api/pi_flash,1,ok,5113.977209
1,12.872,POST /api/pi_flash,1,ok,5114.522725
1,8.182,GET /api/agents,1,ok,5114.554187
1,17.16,POST /api/pi_flash,1,ok,5115.009869
1,12.206,POST /api/pi_flash,1,ok,5115.431701
1,9.317,GET /api/agents,1,ok,5115.583566
1,10.605,GET /api/agents,1,ok,5115.866128
1,20.793,POST /api/pause,1,ok,5115.876747
