brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
130.0,332.581,0.0,0,0.088696,0
145.0,38.495,0.0,0,0.432672,0
108.0,20.729,0.0,0,0.471202,0
142.0,32.742,0.0,0,0.491963,0
145.0,45.556,0.0,0,0.524739,0
145.0,29.827,0.0,0,0.57033,0
144.0,29.989,0.0,0,0.600193,0
153.0,29.733,0.0,0,0.630216,0
166.0,30.065,0.0,0,0.659984,0
166.0,30.632,1.0,1,0.690084,1
170.0,31.475,1.0,1,0.720752,0
169.0,36.473,1.0,1,0.752261,0
144.0,66.194,0.3222,0,0.856905,0
143.0,50.519,0.2725,0,0.923133,0
145.0,48.764,0.3091,0,0.973685,0
144.0,23.732,0.254,0,1.022483,0
142.0,23.027,0.16,0,1.046249,0
155.0,20.36,0.5825,0,1.069311,0
166.0,20.797,0.9778,1,1.089705,1
170.0,26.019,1.0,1,1.121491,0
168.0,52.509,0.963,1,1.217793,0
168.0,47.323,0.9665,1,1.270336,0
170.0,50.222,1.0,1,1.317692,0
147.0,50.149,0.1805,0,1.367947,0
139.0,50.538,0.0,0,1.41813,0
137.0,49.826,0.0,0,1.468703,0
138.0,26.349,0.0126,0,1.591994,0
140.0,22.496,0.0728,0,1.618378,0
140.0,22.56,0.0701,0,1.640907,0
144.0,38.514,0.1955,0,1.663502,0
144.0,39.214,0.1935,0,1.702049,0
146.0,35.868,0.2565,0,1.741296,0
146.0,18.874,0.2549,0,1.777197,0
146.0,48.722,0.2533,0,1.796105,0
146.0,32.967,0.2517,0,1.844861,0
146.0,29.595,0.25,0,1.877863,0
148.0,21.361,0.3154,0,2.036321,0
166.0,29.676,0.9223,1,2.057717,1
165.0,30.785,0.8912,1,2.087471,0
169.0,29.694,1.0,1,2.11829,0
147.0,22.227,0.2667,0,2.162779,0
144.0,40.551,0.1644,0,2.185043,0
142.0,43.93,0.0946,0,2.225629,0
144.0,44.572,0.1599,0,2.269594,0
144.0,43.258,0.1575,0,2.314204,0
170.0,55.674,1.0,1,2.437874,1
169.0,44.263,1.0,1,2.493639,0
168.0,44.174,0.9659,1,2.537941,0
142.0,48.124,0.0753,0,2.582156,0
140.0,50.089,0.0034,0,2.630322,0
139.0,46.805,0.0,0,2.68045,0
141.0,22.734,0.0635,0,2.727289,0
138.0,24.159,0.0,0,2.750058,0
140.0,23.55,0.0333,0,2.774251,0
163.0,20.989,0.8,1,2.797836,1
166.0,48.273,0.9,1,2.892358,0
166.0,45.928,0.9,1,2.940665,0
145.0,48.717,0.2,0,2.986625,0
138.0,50.003,0.0,0,3.035375,0
138.0,50.064,0.0,0,3.085413,0
141.0,49.924,0.0968,0,3.135512,0
140.0,35.846,0.0617,0,3.19776,0
168.0,48.999,0.9739,1,3.304113,1
166.0,41.691,0.9112,1,3.353192,0
153.0,45.749,0.4834,1,3.394917,0
138.0,48.309,0.0,0,3.440702,0
139.0,49.489,0.0329,0,3.489046,0
137.0,50.322,0.0,0,3.538569,0
139.0,25.436,0.0331,0,3.588926,0
138.0,23.915,0.0,0,3.614395,0
141.0,21.104,0.1,0,3.638344,0
163.0,21.72,0.8333,1,3.659482,1
166.0,46.221,0.9333,1,3.753855,0
165.0,44.917,0.9,1,3.80011,0
142.0,47.621,0.1333,0,3.845061,0
138.0,50.906,0.0,0,3.892717,0
137.0,49.837,0.0,0,3.943687,0
139.0,49.737,0.0333,0,3.993561,0
139.0,24.497,0.0333,0,4.043331,0
168.0,28.205,1.0,1,4.142582,1
168.0,29.743,1.0,1,4.179767,0
166.0,42.194,0.9333,1,4.209543,0
157.0,45.58,0.6333,1,4.251772,0
138.0,48.417,0.0,0,4.297386,0
137.0,49.416,0.0,0,4.345835,0
136.0,50.184,0.0,0,4.395285,0
138.0,25.431,0.0,0,4.445502,0
136.0,24.187,0.0,0,4.470967,0
144.0,21.746,0.2,0,4.495188,0
168.0,26.952,1.0,1,4.589654,1
165.0,41.658,0.9,1,4.616685,0
164.0,45.308,0.8667,1,4.658377,0
141.0,48.208,0.1,0,4.70372,0
138.0,50.054,0.0,0,4.751968,0
136.0,50.296,0.0,0,4.802056,0
139.0,49.762,0.0333,0,4.852386,0
139.0,24.792,0.0333,0,4.902182,0
143.0,22.611,0.1667,0,4.927008,0
164.0,20.007,0.8667,1,4.949652,1
167.0,23.553,0.9667,1,5.045279,0
165.0,42.045,0.9,1,5.068867,0
147.0,45.684,0.3,0,5.110946,0
138.0,48.266,0.0,0,5.156663,0
137.0,39.584,0.0,0,5.215123,0
138.0,48.856,0.0,0,5.254742,0
139.0,23.727,0.0333,0,5.303662,0
137.0,22.866,0.0,0,5.327423,0
168.0,42.636,1.0,1,5.421459,1
166.0,40.915,0.9333,1,5.464178,0
165.0,43.463,0.9,1,5.505141,0
145.0,47.803,0.2333,0,5.548639,0
137.0,49.54,0.0,0,5.596475,0
137.0,50.431,0.0,0,5.64605,0
139.0,49.634,0.0554,0,5.696515,0
138.0,25.224,0.0228,0,5.746183,0
136.0,23.188,0.0,0,5.771442,0
153.0,20.478,0.5161,0,5.794663,0
153.0,28.19,0.5161,0,5.884798,0
139.0,41.372,0.0645,0,5.913022,0
138.0,45.442,0.0323,0,5.954427,0
138.0,44.649,0.0323,0,5.999903,0
140.0,21.713,0.0968,0,6.044585,0
141.0,21.257,0.129,0,6.066332,0
142.0,19.54,0.1613,0,6.087621,0
142.0,19.118,0.1613,0,6.107194,0
145.0,34.048,0.2581,0,6.126346,0
145.0,34.46,0.2581,0,6.160428,0
146.0,23.446,0.2903,0,6.204147,0
158.0,31.514,0.6774,1,6.227654,1
170.0,53.091,1.0,1,6.338631,0
167.0,42.414,1.0,1,6.391756,0
142.0,46.474,0.1667,0,6.434204,0
139.0,48.166,0.0476,0,6.480713,0
139.0,49.28,0.0444,0,6.528914,0
140.0,49.349,0.0785,0,6.578228,0
141.0,21.907,0.1126,0,6.627611,0
168.0,27.634,1.0,1,6.721412,1
168.0,36.96,1.0,1,6.749128,0
167.0,41.185,0.9672,1,6.786123,0
165.0,44.14,0.9016,1,6.827343,0
140.0,49.534,0.085,0,6.871518,0
138.0,48.365,0.0164,0,6.921086,0
137.0,49.364,0.0,0,6.969486,0
139.0,26.319,0.0645,0,7.018885,0
137.0,24.159,0.0,0,7.045239,0
138.0,22.522,0.0323,0,7.069432,0
149.0,22.517,0.3871,0,7.091988,0
167.0,38.313,0.9901,1,7.114539,1
165.0,57.444,0.918,1,7.223251,0
145.0,44.709,0.2623,0,7.286787,0
