attempt,elapsed_ms,endpoint,ok,status,t_monotonic
1,12.95,POST /api/mode,1,ok,11602.596369
1,11.078,POST /api/pause,1,ok,11602.609329
1,15.198,POST /api/reset,1,ok,11602.620415
1,10.516,POST /api/agents/0,1,ok,11602.635623
1,7.768,POST /api/feedback,1,ok,11602.646148
1,9.645,POST /api/start,1,ok,11602.653923
1,8.711,GET /api/agents,1,ok,11602.663574
1,15.666,GET /api/agents,1,ok,11603.018978
1,9.31,POST /api/pi_flash,1,ok,11603.346016
1,28.333,GET /api/agents,1,ok,11603.809725
1,21.1,POST /api/pi_flash,1,ok,11604.290252
1,16.563,GET /api/agents,1,ok,11604.830971
1,9.313,POST /api/pi_flash,1,ok,11605.290174
1,9.235,GET /api/agents,1,ok,11605.826112
1,14.795,POST /api/pi_flash,1,ok,11606.122699
1,32.323,GET /api/agents,1,ok,11606.867791
1,9.188,POST /api/pi_flash,1,ok,11607.072519
1,14.609,POST /api/pi_flash,1,ok,11607.756683
1,14.755,GET /api/agents,1,ok,11607.878856
1,12.681,POST /api/pi_flash,1,ok,11608.694394
1,10.351,GET /api/agents,1,ok,11608.908663
1,9.783,POST /api/pi_flash,1,ok,11609.5316
1,12.856,GET /api/agents,1,ok,11609.941415
1,9.417,POST /api/pi_flash,1,ok,11610.452169
1,13.453,GET /api/agents,1,ok,11611.014222
1,11.292,POST /api/pi_flash,1,ok,11611.341775
1,9.91,GET /api/agents,1,ok,11612.02479
1,6.089,POST /api/pi_flash,1,ok,11612.094866
1,8.666,POST /api/pi_flash,1,ok,11612.738433
1,14.469,GET /api/agents,1,ok,11613.03034
1,16.973,POST /api/pi_flash,1,ok,11613.747747
1,14.112,GET /api/agents,1,ok,11614.049455
1,8.817,POST /api/pi_flash,1,ok,11614.503414
1,19.553,GET /api/agents,1,ok,11615.078775
1,10.403,POST /api/pi_flash,1,ok,11615.198669
1,8.329,POST /api/pi_flash,1,ok,11615.91783
1,12.833,GET /api/agents,1,ok,11616.107959
1,9.748,POST /api/pi_flash,1,ok,11616.849519
1,9.464,GET /api/agents,1,ok,11617.129793
1,7.544,POST /api/pi_flash,1,ok,11617.545492
1,8.915,GET /api/agents,1,ok,11618.190663
1,12.771,POST /api/pi_flash,1,ok,11618.414251
1,9.297,GET /api/agents,1,ok,11619.222637
1,11.242,POST /api/pi_flash,1,ok,11619.354906
1,10.846,POST /api/pi_flash,1,ok,11620.126359
1,13.596,GET /api/agents,1,ok,11620.223924
1,11.631,POST /api/pi_flash,1,ok,11620.776718
1,11.84,GET /api/agents,1,ok,11621.242432
1,13.304,POST /api/pi_flash,1,ok,11621.426655
1,11.349,GET /api/agents,1,ok,11622.280427
1,12.237,POST /api/pi_flash,1,ok,11622.435068
1,7.926,POST /api/pi_flash,1,ok,11623.212702
1,9.617,GET /api/agents,1,ok,11623.352828
1,12.81,POST /api/pi_flash,1,ok,11624.145348
1,12.784,GET /api/agents,1,ok,11624.357047
1,8.495,POST /api/pi_flash,1,ok,11624.887976
1,10.117,GET /api/agents,1,ok,11625.367976
1,13.187,POST /api/pi_flash,1,ok,11625.879578
1,55.025,GET /api/agents,1,ok,11626.361523
1,233.757,POST /api/pi_flash,1,ok,11626.641479
1,11.807,GET /api/agents,1,ok,11627.435346
1,7.638,POST /api/pi_flash,1,ok,11627.612081
1,21.847,POST /api/pi_flash,1,ok,11628.353614
1,11.196,GET /api/agents,1,ok,11628.425884
1,8.466,POST /api/pi_flash,1,ok,11629.347519
1,5.504,GET /api/agents,1,ok,11629.430239
1,11.404,POST /api/pi_flash,1,ok,11630.031112
1,23.275,GET /api/agents,1,ok,11630.462922
1,99.68,POST /api/pi_flash,1,ok,11630.961658
1,10.729,GET /api/agents,1,ok,11631.508166
1,52.338,POST /api/pi_flash,1,ok,11631.768719
1,12.325,GET /api/agents,1,ok,11632.564062
1,99.601,GET /api/agents,1,ok,11632.63145
1,7.302,POST /api/pause,1,ok,11632.73107
