K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
3.0,0,0.078846119,0.79642544,0.033,0.420121265,0,0,0,2.380265137,2.0,0.5,4.705428666,4.277603956,3.784067607,0.493536349,0.493536349,0,0.033601,,0.921361059
3.0,0,0.07388562,0.746319393,0.033,0.424386746,0,0,0,2.356341261,2.380265137,0.5,5.120118897,4.766179806,4.277603956,0.48857585,0.48857585,0,0.067063,,0.842514941
3.0,0,0.068819905,0.69515056,0.033,0.428833027,0,0,0,2.331909943,2.356341261,0.5,5.534809127,5.249689942,4.766179806,0.483510136,0.483510136,0,0.100294,,0.768629321
3.0,0,0.063763119,0.644071908,0.033,0.433365375,0,0,0,2.307521684,2.331909943,0.5,5.949499357,5.728143291,5.249689942,0.478453349,0.478453349,0,0.133816,,0.699809415
3.0,0,0.058807934,0.594019533,0.033,0.437900568,0,0,0,2.283623435,2.307521684,0.5,0.08100428,6.201641455,5.728143291,0.473498164,0.473498164,0,0.167384,,0.636046296
3.0,0,0.054025473,0.545711843,0.033,0.442368613,1,1,1,2.260558212,2.283623435,0.5,0.495694511,0.387171851,6.201641455,0.468715703,0.468715703,0,0.201022,,0.577238363
3.0,0,0.049466912,0.499665776,0.033,0.446713185,1,0,0,2.238572835,2.260558212,0.5,0.910384741,0.851328993,0.387171851,0.464157142,0.464157142,0,0.234492,,0.52321289
3.0,0,0.045166067,0.456222896,0.033,0.450891108,1,0,0,2.217830387,2.238572835,0.5,1.325074971,1.31118529,0.851328993,0.459856297,0.459856297,0,0.268063,,0.473745978
3.0,0,0.041142378,0.415579571,0.033,0.454871178,1,0,0,2.198424629,2.217830387,0.5,1.739765201,1.767017897,1.31118529,0.455832608,0.455832608,0,0.30146,,0.428579912
3.0,0,0.037403895,0.377817122,0.033,0.458632624,1,0,0,2.180394387,2.198424629,0.5,2.154455432,2.219112023,1.767017897,0.452094125,0.452094125,0,0.334999,,0.387437534
3.0,0,0.033950011,0.342929407,0.033,0.462163435,1,0,0,2.163736731,2.180394387,0.5,2.569145662,2.667752264,2.219112023,0.448640242,0.448640242,0,0.368426,,0.350033639
3.0,0,0.030773813,0.310846599,0.033,0.465458701,1,0,0,2.148418318,2.163736731,0.5,2.983835892,3.113216308,2.667752264,0.445464044,0.445464044,0,0.401596,,0.316083628
3.0,0,0.027864021,0.281454755,0.033,0.46851909,1,0,0,2.134384747,2.148418318,0.5,3.398526122,3.555770559,3.113216308,0.442554251,0.442554251,0,0.435129,,0.285309815
3.0,0,0.025206524,0.254611357,0.033,0.4713495,1,0,0,2.121567968,2.134384747,0.5,3.813216353,3.995667314,3.555770559,0.439896755,0.439896755,0,0.468356,,0.257445794
3.0,0,0.022785568,0.230157252,0.033,0.47395791,1,0,0,2.109891993,2.121567968,0.5,4.227906583,4.433143112,3.995667314,0.437475798,0.437475798,0,0.501907,,0.23223927
3.0,0,0.020584632,0.207925572,0.033,0.476354445,1,0,0,2.099277148,2.109891993,0.5,4.642596813,4.868417974,4.433143112,0.435274862,0.435274862,0,0.535445,,0.209453702
3.0,0,0.018587071,0.187748196,0.033,0.478550606,1,0,0,2.089643161,2.099277148,0.5,5.057287044,5.301695275,4.868417974,0.433277302,0.433277302,0,0.568952,,0.18886907
