brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
197.0,324.553,0.0,0,0.126058,0
153.0,52.166,0.0,0,0.465498,0
131.0,67.03,0.0,0,0.517699,0
137.0,66.58,0.0,0,0.584763,0
171.0,50.247,0.0,0,0.651377,0
170.0,46.317,0.0,0,0.772804,0
169.0,49.672,0.0,0,0.819156,0
169.0,58.089,0.0,0,0.868863,0
166.0,50.184,0.0,0,0.926994,0
183.0,42.382,0.9708,1,0.977222,1
162.0,50.077,0.5435,1,1.019643,0
163.0,55.468,0.5648,1,1.069754,0
157.0,61.283,0.4158,1,1.125257,0
166.0,53.969,0.6436,1,1.186575,0
170.0,27.321,0.7644,1,1.252201,0
171.0,36.542,0.8125,1,1.279557,0
169.0,33.235,0.7671,1,1.316134,0
163.0,49.33,0.5606,1,1.349404,0
174.0,50.349,0.9308,1,1.398768,0
158.0,50.57,0.2809,0,1.449183,0
172.0,50.031,0.9048,1,1.499788,1
173.0,49.51,0.9561,1,1.549895,0
172.0,35.464,0.91,1,1.664582,0
173.0,50.089,0.9641,1,1.700081,0
160.0,49.328,0.2842,0,1.750205,0
170.0,49.892,0.8108,1,1.799568,0
153.0,50.277,0.0,0,1.849495,0
172.0,50.692,0.936,1,1.899806,1
173.0,50.049,0.9901,1,1.950574,0
174.0,49.508,1.0,1,2.000658,0
173.0,50.681,0.9524,1,2.0502,0
173.0,49.38,0.9561,1,2.100915,0
172.0,50.207,0.91,1,2.15033,0
145.0,49.783,0.0,0,2.200573,0
168.0,41.469,0.7282,1,2.258725,1
165.0,50.156,0.5854,1,2.30027,0
159.0,31.266,0.2941,0,2.419097,0
170.0,50.733,0.8374,1,2.450398,0
162.0,57.922,0.4455,1,2.501197,0
169.0,53.424,0.796,1,2.559153,0
174.0,49.598,1.0,1,2.612611,0
173.0,35.885,0.9561,1,2.662246,0
171.0,32.386,0.86,1,2.698166,0
152.0,49.574,0.0,0,2.730585,0
175.0,49.882,1.0,1,2.780194,1
170.0,49.961,0.8095,1,2.830153,0
170.0,50.401,0.8095,1,2.88015,0
186.0,49.958,1.0,1,2.930586,0
193.0,50.693,1.0,1,2.980579,0
