coupling_term,follower_flash_event,freq_error_hz,frequency_error_hz,frequency_hz,loop_dt_ms,model,phase_error_rad,phase_rad,t_s,virtual_frequency_hz
0.944272,0,0.0,0.3844348956750021,2.026,0.001,kuramoto,1.906216,4.376988,0.079352,1.6415651043249977
0.944278,0,0.0,0.38443789567500253,2.026003,328.386,kuramoto,1.906197,5.649963,0.407738,1.6415651043249977
0.591745,0,0.0,0.1880618956750022,1.829627,38.42,kuramoto,0.633222,6.091632,0.446158,1.6415651043249977
0.190384,1,0.0,0.03551310432499766,1.606052,49.779,kuramoto,0.191554,0.310777,0.495937,1.6415651043249977
-0.305799,0,0.0,0.3119081043249976,1.329657,101.243,kuramoto,-0.310777,1.146226,0.597181,1.6415651043249977
-0.911216,0,0.0,0.6491511043249977,0.992414,25.001,kuramoto,-1.146226,1.30212,0.622182,1.6415651043249977
-0.964123,0,0.0,0.6786221043249977,0.962943,66.966,kuramoto,-1.30212,1.707286,0.689147,1.6415651043249977
-0.9907,0,0.0,0.6934271043249977,0.948138,67.377,kuramoto,-1.707286,2.108675,0.756525,1.6415651043249977
-0.858798,0,0.0,0.6199521043249976,1.021613,66.038,kuramoto,-2.108675,2.532574,0.822563,1.6415651043249977
-0.572063,0,0.0,0.4602281043249976,1.181337,67.728,kuramoto,-2.532574,3.035287,0.890291,1.6415651043249977
-0.106105,0,0.0,0.20067010432499766,1.440895,66.907,kuramoto,-3.035287,3.641025,0.957198,1.6415651043249977
0.478927,0,0.0,0.1252178956750023,1.766783,66.305,kuramoto,2.64216,4.377082,1.023503,1.6415651043249977
0.576726,0,0.0,0.17969589567500233,1.821261,49.4,kuramoto,2.526878,4.942377,1.072903,1.6415651043249977
0.521669,0,0.0,0.37236202627815174,1.790592,50.23,kuramoto,2.592787,5.507492,1.123132,2.1629540262781517
0.38851,0,0.0,0.44653802627815176,1.716416,56.89,kuramoto,2.742579,6.121031,1.180023,2.1629540262781517
0.310159,1,0.0,0.4901820262781518,1.672772,55.481,kuramoto,2.826232,0.420968,1.235504,2.1629540262781517
-0.783811,0,0.0,1.0995700262781516,1.063384,143.181,kuramoto,-2.240814,1.089112,1.378684,2.1629540262781517
-0.817602,0,0.0,1.1183930262781516,1.044561,57.662,kuramoto,-2.184359,1.467556,1.436346,2.1629540262781517
-0.994675,0,0.0,1.2170300262781517,0.945924,50.096,kuramoto,-1.467556,1.765298,1.486442,2.1629540262781517
-0.888355,0,0.0,1.1578050262781516,1.005149,49.479,kuramoto,-1.093749,2.077785,1.535921,2.1629540262781517
-0.70163,0,0.0,1.0537920262781517,1.109162,46.311,kuramoto,-0.777683,2.400531,1.582233,2.1629540262781517
-0.343495,0,0.0,0.8542950262781517,1.308659,55.244,kuramoto,-0.350636,2.854777,1.637477,2.1629540262781517
0.029263,0,0.0,0.6466530262781518,1.516301,61.459,kuramoto,0.029267,3.440313,1.698936,2.1629540262781517
0.325335,0,0.0,0.4817280262781516,1.681226,65.4,kuramoto,0.331366,4.131164,1.764336,2.1629540262781517
0.516285,0,0.0,0.3753610262781517,1.787593,66.458,kuramoto,0.542508,4.877604,1.830794,2.1629540262781517
0.986383,0,0.0,0.11349702627815184,2.049457,63.305,kuramoto,1.405581,5.692789,1.894099,2.1629540262781517
0.94791,0,0.0,0.1349280262781516,2.028026,45.462,kuramoto,1.246611,6.272092,1.939561,2.1629540262781517
0.958013,1,0.0,0.12930002627815185,2.033654,42.446,kuramoto,1.279989,0.531281,1.982008,2.1629540262781517
0.74609,0,0.0,0.2473500262781516,1.915604,108.202,kuramoto,2.299422,1.73489,2.090209,2.1629540262781517
0.9785,0,0.0,0.32767669906912333,2.045066,47.299,kuramoto,1.778535,2.342659,2.137508,1.7173893009308765
-0.699235,0,0.0,0.6068923009308764,1.110497,300.542,kuramoto,-0.774326,3.040404,2.438051,1.7173893009308765
-0.101016,0,0.0,0.27365930093087654,1.44373,19.55,kuramoto,-3.040404,3.217746,2.457601,1.7173893009308765
-0.572139,0,0.0,0.5360953009308764,1.181294,50.49,kuramoto,-2.532481,3.592495,2.50809,1.7173893009308765
-0.7888,0,0.0,0.6567843009308765,1.060605,49.696,kuramoto,-2.232739,3.923668,2.557786,1.7173893009308765
-0.952021,0,0.0,0.7477053009308765,0.969684,50.256,kuramoto,-1.88182,4.229862,2.608042,1.7173893009308765
-0.997748,0,0.0,0.7731773009308764,0.944212,50.421,kuramoto,-1.503677,4.528994,2.658463,1.7173893009308765
-0.85589,0,0.0,0.6941563009308764,1.023233,57.141,kuramoto,-1.02727,4.896363,2.715604,1.7173893009308765
-0.526483,0,0.0,0.5106623009308764,1.206727,61.904,kuramoto,-0.554459,5.365722,2.777508,1.7173893009308765
-0.109978,0,0.0,0.2786513009308764,1.438738,67.314,kuramoto,-0.110201,5.974235,2.844822,1.7173893009308765
0.281192,1,0.0,0.0607533009308765,1.656636,73.955,kuramoto,0.285036,0.460847,2.918778,1.7173893009308765
0.968458,0,0.0,0.32208269906912346,2.039472,132.897,kuramoto,1.318967,1.742285,3.051675,1.7173893009308765
-0.985332,0,0.0,0.7662613009308765,0.951128,61.11,kuramoto,-1.742285,2.107483,3.112784,1.7173893009308765
-0.997392,0,0.0,1.472566902518384,0.944411,49.738,kuramoto,-1.498556,2.402624,3.162522,2.416977902518384
-0.894217,0,0.0,1.4150939025183842,1.001884,56.117,kuramoto,-1.106678,2.75588,3.218639,2.416977902518384
-0.810992,0,0.0,1.3687349025183841,1.048243,41.992,kuramoto,-0.945845,3.032449,3.260631,2.416977902518384
-0.579527,0,0.0,1.2397989025183842,1.177179,49.357,kuramoto,-0.618148,3.397518,3.309988,2.416977902518384
-0.284449,0,0.0,1.0754279025183842,1.34155,56.751,kuramoto,-0.288432,3.875885,3.366739,2.416977902518384
-0.010472,0,0.0,0.9228109025183842,1.494167,61.778,kuramoto,-0.010472,4.455865,3.428517,2.416977902518384
0.178414,0,0.0,0.8175939025183843,1.599384,62.881,kuramoto,0.179375,5.087767,3.491398,2.416977902518384
0.082937,0,0.0,0.8707789025183841,1.546199,43.745,kuramoto,0.083032,5.512755,3.535143,2.416977902518384
0.121856,0,0.0,0.8490989025183842,1.567879,37.91,kuramoto,0.12216,5.886213,3.573053,2.416977902518384
0.156654,0,0.0,0.8297149025183841,1.587263,33.375,kuramoto,0.157302,6.219066,3.606428,2.416977902518384
0.064076,1,0.0,0.8812849025183842,1.535693,49.83,kuramoto,0.06412,0.41669,3.656258,2.416977902518384
0.876805,0,0.0,0.4285609025183841,1.988417,128.522,kuramoto,1.069177,1.66605,3.78478,2.416977902518384
0.078718,0,0.0,0.8731289025183842,1.543849,22.401,kuramoto,0.0788,1.883347,3.807181,2.416977902518384
0.428191,0,0.0,0.6784569025183842,1.738521,50.253,kuramoto,0.44249,2.432287,3.857435,2.416977902518384
0.502529,0,0.0,0.6370479025183842,1.77993,54.75,kuramoto,0.526522,3.044589,3.912184,2.416977902518384
0.582611,0,0.0,0.5924389025183843,1.824539,61.215,kuramoto,0.621938,3.746354,3.9734,2.416977902518384
0.533783,0,0.0,0.6196379025183842,1.79734,55.608,kuramoto,0.563068,4.374338,4.029008,2.416977902518384
0.943403,0,0.0,0.3914629025183842,2.025515,40.289,kuramoto,1.908847,4.887085,4.069297,2.416977902518384
0.958717,0,0.0,0.38293190251838416,2.034046,37.083,kuramoto,1.859136,5.361023,4.10638,2.416977902518384
0.970925,0,0.0,0.376131902518384,2.040846,34.224,kuramoto,1.812526,5.799876,4.140604,2.416977902518384
0.90949,1,0.0,0.5223122281273354,2.006624,50.124,kuramoto,1.999537,0.148653,4.190728,1.4843117718726646
0.186444,0,0.0,0.11954522812733548,1.603857,127.057,kuramoto,2.954051,1.156386,4.317786,1.4843117718726646
0.644128,0,0.0,0.3744952281273355,1.858807,39.675,kuramoto,2.441709,1.619757,4.35746,1.4843117718726646
0.335841,0,0.0,0.20276622812733547,1.687078,65.733,kuramoto,2.799094,2.316536,4.423193,1.4843117718726646
0.199865,0,0.0,0.1270212281273353,1.611333,67.118,kuramoto,2.940372,2.996061,4.490311,1.4843117718726646
0.046849,0,0.0,0.04178522812733543,1.526097,66.783,kuramoto,3.094726,3.636431,4.557094,1.4843117718726646
-0.146272,0,0.0,0.0657917718726646,1.41852,66.796,kuramoto,-2.994794,4.231772,4.62389,1.4843117718726646
0.88671,0,0.0,0.5096232281273354,1.993935,67.101,kuramoto,2.051413,5.072431,4.690991,1.4843117718726646
0.979218,0,0.0,0.5611542281273352,2.045466,48.807,kuramoto,1.775021,5.699702,4.739799,1.4843117718726646
0.987745,1,0.0,0.5659042281273352,2.050216,50.147,kuramoto,1.727513,0.06251,4.789946,1.4843117718726646
0.643031,0,0.0,0.37388422812733535,1.858196,117.776,kuramoto,2.443143,1.230048,4.907722,1.4843117718726646
0.938085,0,0.0,0.5382412281273352,2.022553,56.13,kuramoto,1.924532,1.943353,4.963852,1.4843117718726646
0.916718,0,0.0,0.5263392281273356,2.010651,66.652,kuramoto,1.981806,2.785392,5.030504,1.4843117718726646
0.940738,0,0.0,0.5397192281273353,2.024031,67.21,kuramoto,1.916794,3.640126,5.097714,1.4843117718726646
0.966252,0,0.0,0.5539312281273354,2.038243,66.54,kuramoto,1.831334,4.492276,5.164254,1.4843117718726646
0.975873,0,0.0,0.43722450306702765,2.043602,66.844,kuramoto,1.79091,5.350572,5.231097,1.6063774969329723
0.998045,0,0.0,0.44957550306702787,2.055953,60.422,kuramoto,1.633339,6.131105,5.29152,1.6063774969329723
0.960469,1,0.0,0.42864450306702784,2.035022,37.585,kuramoto,1.28868,0.328496,5.329105,1.6063774969329723
0.841028,0,0.0,0.36211050306702774,1.968488,115.055,kuramoto,2.142411,1.565334,5.44416,1.6063774969329723
0.999508,0,0.0,0.45039050306702766,2.056768,54.656,kuramoto,1.539422,2.271654,5.498816,1.6063774969329723
0.999338,0,0.0,0.4502955030670277,2.056673,66.749,kuramoto,1.607193,3.134213,5.565565,1.6063774969329723
0.998738,0,0.0,0.4499625030670278,2.05634,66.907,kuramoto,1.52056,3.998674,5.632471,1.6063774969329723
0.991264,0,0.0,0.4457985030670275,2.052176,67.467,kuramoto,1.438516,4.868602,5.699938,1.6063774969329723
0.974246,0,0.0,0.4363185030670276,2.042696,66.807,kuramoto,1.343351,5.726042,5.766745,1.6063774969329723
0.871273,1,0.0,0.3789585030670277,1.985336,49.312,kuramoto,1.057791,0.05799,5.816057,1.6063774969329723
-0.057958,0,0.0,0.13866249693297217,1.467715,124.006,kuramoto,-0.05799,0.980183,5.940063,1.6063774969329723
-0.676063,0,0.0,0.4829734969329722,1.123404,20.567,kuramoto,-0.742407,1.125355,5.96063,1.6063774969329723
-0.301648,0,0.0,0.2744084969329723,1.331969,50.268,kuramoto,-0.306421,1.546049,6.010898,1.6063774969329723
-0.145262,0,0.0,0.18729449693297218,1.419083,50.284,kuramoto,-0.145777,1.994397,6.061182,1.6063774969329723
0.001128,0,0.0,0.1057494969329722,1.500628,51.487,kuramoto,0.001128,2.479856,6.112669,1.6063774969329723
0.186,0,0.0,0.002767496932972291,1.60361,58.076,kuramoto,0.18709,3.065013,6.170745,1.6063774969329723
0.328302,0,0.0,0.07357303262110682,1.682878,63.365,kuramoto,0.334506,3.735024,6.23411,1.756451032621107
