brightness,camera_processing_time_ms,signal_norm,state,t_s,virtual_event
197.0,316.6,0.0,0,0.085048,0
145.0,53.945,0.0,0,0.415244,0
127.0,66.572,0.0,0,0.469224,0
137.0,66.909,0.0,0,0.535831,0
169.0,33.231,0.0,0,0.602774,0
178.0,50.226,0.0,0,0.704577,0
184.0,50.387,0.0,0,0.754838,0
192.0,49.733,0.0,0,0.805258,0
162.0,56.064,0.0,0,0.855026,0
157.0,61.718,0.3717,0,0.911126,0
152.0,65.21,0.2727,0,0.972879,0
160.0,58.265,0.4157,0,1.038123,0
192.0,41.092,1.0,1,1.096422,1
190.0,30.934,0.962,1,1.145177,0
189.0,50.044,0.9421,1,1.176147,0
193.0,52.341,1.0,1,1.226227,0
151.0,58.609,0.1818,0,1.278602,0
154.0,62.988,0.2294,0,1.337246,0
150.0,67.433,0.1352,0,1.400269,0
161.0,59.993,0.3507,0,1.467737,0
164.0,43.322,0.4043,0,1.527765,0
169.0,39.893,0.5054,0,1.571121,0
156.0,36.771,0.2174,0,1.61105,0
185.0,49.562,0.8462,1,1.647856,1
184.0,29.693,0.8222,1,1.768166,0
170.0,49.673,0.5056,1,1.797895,0
163.0,56.96,0.3409,0,1.847603,0
157.0,60.927,0.1954,0,1.904598,0
158.0,60.686,0.2093,0,1.96556,0
155.0,43.403,0.1294,0,2.026282,0
190.0,38.682,0.9524,1,2.06972,1
188.0,36.399,0.9089,1,2.108481,0
185.0,35.346,0.8406,1,2.159799,0
193.0,50.37,1.0,1,2.195181,0
193.0,57.177,1.0,1,2.245585,0
194.0,62.658,1.0,1,2.302798,0
170.0,63.636,0.4575,1,2.434535,0
140.0,66.843,0.0,0,2.498206,0
138.0,67.168,0.0,0,2.565086,0
143.0,66.725,0.006,0,2.63229,0
165.0,49.319,0.44,0,2.69905,0
193.0,50.586,1.0,1,2.748404,1
192.0,46.5,0.9798,1,2.799069,0
193.0,57.454,1.0,1,2.845605,0
194.0,63.442,1.0,1,2.903093,0
196.0,66.543,1.0,1,2.96657,0
200.0,66.916,1.0,1,3.033151,0
153.0,66.763,0.1759,0,3.100102,0
139.0,66.708,0.0,0,3.1669,0
137.0,55.744,0.0,0,3.244817,0
147.0,67.052,0.1321,0,3.300596,0
157.0,24.257,0.3169,0,3.44165,0
192.0,45.235,0.9809,1,3.465943,1
191.0,50.111,0.9616,1,3.511258,0
160.0,50.15,0.3629,1,3.561404,0
169.0,52.135,0.534,1,3.611589,0
160.0,58.841,0.3555,1,3.663758,0
169.0,52.043,0.5285,1,3.722634,0
174.0,49.815,0.6245,1,3.774712,0
172.0,35.132,0.5825,1,3.824563,0
163.0,49.723,0.4,1,3.85973,0
178.0,50.149,0.6988,1,3.909488,0
174.0,49.692,0.6169,1,3.959671,0
171.0,49.779,0.5547,1,4.009398,0
187.0,50.12,0.878,1,4.059211,0
193.0,51.065,1.0,1,4.109368,0
157.0,53.816,0.2623,0,4.228024,0
151.0,56.983,0.1358,0,4.291554,0
144.0,66.729,0.0041,0,4.348574,0
152.0,50.081,0.165,0,4.415338,0
159.0,47.217,0.3061,0,4.465453,0
164.0,43.78,0.407,0,4.512704,0
191.0,49.148,0.959,1,4.556518,1
186.0,49.939,0.8563,1,4.605745,0
182.0,50.679,0.7737,1,4.65572,0
192.0,49.478,0.9794,1,4.706436,0
196.0,50.677,1.0,1,4.829723,0
196.0,65.29,1.0,1,4.880446,0
155.0,67.257,0.2116,0,4.945778,0
142.0,60.263,0.0,0,5.013077,0
138.0,65.803,0.0,0,5.073376,0
150.0,67.356,0.1383,0,5.139214,0
194.0,49.338,1.0,1,5.206605,1
192.0,48.225,0.9799,1,5.256023,0
191.0,33.315,0.9597,1,5.314811,0
195.0,52.706,1.0,1,5.420837,0
159.0,67.269,0.2931,0,5.473577,0
142.0,66.972,0.0,0,5.540882,0
138.0,66.594,0.0,0,5.607889,0
147.0,66.352,0.0726,0,5.674518,0
151.0,50.335,0.1532,0,5.740905,0
156.0,48.135,0.254,0,5.791275,0
161.0,43.819,0.3548,0,5.839445,0
192.0,50.283,0.9798,1,5.883305,1
191.0,32.039,0.9597,1,6.001479,0
192.0,55.153,0.9798,1,6.033555,0
192.0,61.259,0.9799,1,6.088743,0
148.0,65.097,0.0946,0,6.150035,0
148.0,66.741,0.0964,0,6.215167,0
142.0,67.168,0.0,0,6.281943,0
149.0,25.232,0.1321,0,6.374059,0
190.0,47.785,0.9408,1,6.399326,1
190.0,43.604,0.9408,1,6.447192,0
192.0,50.458,0.9803,1,6.490831,0
191.0,56.804,0.9606,1,6.541324,0
155.0,55.015,0.2534,0,6.671148,0
144.0,67.448,0.0354,0,6.726198,0
139.0,66.645,0.0,0,6.793681,0
149.0,66.803,0.1373,0,6.860362,0
192.0,49.25,0.9804,1,6.927208,1
190.0,47.456,0.9412,1,6.97654,0
190.0,43.527,0.9412,1,7.024031,0
192.0,59.475,0.9804,1,7.067594,0
193.0,64.307,1.0,1,7.127104,0
196.0,63.209,1.0,1,7.261351,0
145.0,67.245,0.0587,0,7.324597,0
138.0,51.423,0.0,0,7.407068,0
136.0,66.801,0.0,0,7.458527,0
144.0,50.348,0.0392,0,7.525363,0
192.0,48.896,0.9804,1,7.575745,1
191.0,49.117,0.9608,1,7.624723,0
191.0,53.139,0.9608,1,7.673876,0
191.0,59.317,0.9608,1,7.727051,0
192.0,63.771,0.9804,1,7.786404,0
